Subject,ML Score,MERCI Score,BLAST Score,Hybrid Score,Prediction
antigen_2|A5UE38|Thiosulfate|WP_005658417.1|tpos:1-105,0.3,0.0,0.0,0.3,Non-Allergen
antigen_33|P44193|Uncharacterized|WP_015702396.1|tpos:111-193,0.206,0.0,0.0,0.206,Non-Allergen
antigen_77|P44248|Uncharacterized|WP_015702364.1|tpos:1-184,0.17,0.0,0.0,0.17,Non-Allergen
antigen_79|P44658|Putative|WP_015701591.1|tpos:1-314,0.212,0.5,0.0,0.712,Allergen
antigen_0|P43761|Anthranilate|WP_015702256.1|tpos:1-518,0.09,0.0,-0.5,-0.41,Non-Allergen
antigen_35|P45252|UPF0162|WP_065245275.1|tpos:1-267,0.124,0.0,-0.5,-0.376,Non-Allergen
antigen_42|P45052|Oligopeptide|WP_005647625.1|tpos:1-323,0.156,0.0,-0.5,-0.344,Non-Allergen
antigen_61|P44337|Regulatory|WP_005649540.1|tpos:1-150,0.048,0.0,-0.5,-0.452,Non-Allergen
antigen_84|P44514|Succinyl-diaminopimelate|WP_077643844.1|tpos:1-377,0.208,0.5,-0.5,0.208,Non-Allergen
antigen_52|A5UAL5|Glutamate--tRNA|WP_015701545.1|tpos:1-480,0.101,0.0,-0.5,-0.399,Non-Allergen
antigen_60|P44914|dTDP-glucose|WP_005651396.1|tpos:1-334,0.18,0.0,-0.5,-0.32,Non-Allergen
antigen_86|A5UDT9|Large|WP_005625888.1|tpos:1-63,0.251,0.0,-0.5,-0.249,Non-Allergen
antigen_95|P45324|Transcriptional|WP_015702481.1|tpos:1-255,0.016,0.0,0.0,0.016,Non-Allergen
antigen_48|P44133|Uncharacterized|WP_015702139.1|tpos:1-266,0.031,0.0,0.0,0.031,Non-Allergen
antigen_51|P31770|Competence|WP_077643691.1|tpos:1-173,0.107,0.0,0.0,0.107,Non-Allergen
antigen_54|A5UID3|Ribonuclease|WP_077643659.1|tpos:1-119,0.073,0.0,0.0,0.073,Non-Allergen
antigen_56|P71390|Mu-like|WP_032823678.1|tpos:1-38,0.351,0.0,0.0,0.351,Allergen
antigen_74|P44654|Periplasmic|WP_005649106.1|tpos:1-147,0.166,0.0,-0.5,-0.334,Non-Allergen
antigen_76|Q57486|Uncharacterized|WP_005688232.1|tpos:1-461,0.028,0.5,-0.5,0.028,Non-Allergen
antigen_81|P44826|Glycerol|WP_005689987.1|tpos:1-264,0.085,0.0,-0.5,-0.415,Non-Allergen
antigen_178|A5UFV3|N-acetylneuraminate|WP_105875977.1|tpos:1-375,0.592,0.5,-0.5,0.592,Allergen
antigen_186|A5UEI7|Cytidine|WP_015702229.1|tpos:1-292,0.142,0.0,0.0,0.142,Non-Allergen
antigen_191|P43758|RNA|WP_011271805.1|tpos:1-145,0.187,0.0,-0.5,-0.313,Non-Allergen
antigen_127|A5UGC4|Recombination-associated|WP_015701565.1|tpos:1-302,0.148,0.0,0.0,0.148,Non-Allergen
antigen_134|A5UBA3|Putative|WP_050848840.1|tpos:1-551,0.025,0.0,-0.5,-0.475,Non-Allergen
antigen_147|P44078|Uncharacterized|WP_015701949.1|tpos:1-139,0.13,0.0,0.0,0.13,Non-Allergen
antigen_151|A5U9U8|Small|WP_005627620.1|tpos:1-125,0.09,0.0,-0.5,-0.41,Non-Allergen
antigen_65|A5UBB0|UPF0250|WP_005649857.1|tpos:1-92,0.175,0.0,0.0,0.175,Non-Allergen
antigen_67|A5UBU4|NADPH-dependent|WP_111742171.1|tpos:1-279,0.051,0.0,0.0,0.051,Non-Allergen
antigen_31|P44372|Small|WP_005625894.1|tpos:1-235,0.103,0.0,-0.5,-0.397,Non-Allergen
antigen_4|P44290|UPF0319|WP_077643929.1|tpos:1-221,0.131,0.0,-0.5,-0.369,Non-Allergen
antigen_13|A5UBN7|Orotidine|WP_015702130.1|tpos:1-230,0.015,0.0,-0.5,-0.485,Non-Allergen
antigen_12|P44613|Isochorismate|WP_172451695.1|tpos:1-423,0.106,0.5,-0.5,0.106,Non-Allergen
antigen_89|A5UH41|Urease|WP_015701721.1|tpos:1-271,0.055,0.5,-0.5,0.055,Non-Allergen
antigen_96|P43902|T-protein|WP_015702176.1|tpos:1-374,0.026,0.0,0.0,0.026,Non-Allergen
antigen_104|A5UDW7|Large|WP_005625828.1|tpos:1-70,0.366,0.0,0.0,0.366,Allergen
antigen_37|P71399|Lsg|WP_077643926.1|tpos:1-401,0.039,0.0,0.0,0.039,Non-Allergen
antigen_39|P43871|Type|WP_005693969.1|tpos:1-309,0.133,0.0,-0.5,-0.367,Non-Allergen
antigen_43|P43712|Malonyl|WP_013527535.1|tpos:1-312,0.337,0.0,-0.5,-0.163,Non-Allergen
antigen_47|P45249|Malonyl-[acyl-carrier|WP_015702370.1|tpos:1-260,0.182,0.0,-0.5,-0.318,Non-Allergen
antigen_53|A5UDU5|Large|WP_005632756.1|tpos:1-87,0.142,0.5,-0.5,0.142,Non-Allergen
antigen_59|Q4QNM3|Probable|WP_005649034.1|tpos:1-246,0.295,0.0,-0.5,-0.205,Non-Allergen
antigen_68|Q4QLV1|UPF0270|WP_005647999.1|tpos:1-83,0.114,0.0,0.0,0.114,Non-Allergen
antigen_69|P44875|Acetate|WP_005648442.1|tpos:1-217,0.281,0.0,0.0,0.281,Non-Allergen
antigen_187|P43769|Tol-Pal|WP_005649190.1|tpos:1-139,0.079,0.0,0.0,0.079,Non-Allergen
antigen_189|P44843|Trk|WP_015701824.1|tpos:1-487,0.014,0.0,0.0,0.014,Non-Allergen
antigen_195|P44199|Putative|WP_077643798.1|tpos:1-107,0.28,0.0,0.0,0.28,Non-Allergen
antigen_120|P44800|Probable|WP_005690110.1|tpos:1-310,0.066,0.5,0.0,0.566,Allergen
antigen_18|P44328|Ribose-phosphate|WP_005657007.1|tpos:1-315,0.111,0.0,-0.5,-0.389,Non-Allergen
antigen_72|P44798|Trimethylamine-N-oxide|WP_077643744.1|tpos:104-806,0.184,0.5,-0.5,0.184,Non-Allergen
antigen_46|P45277|HTH-type|WP_077643941.1|tpos:1-135,0.047,0.0,-0.5,-0.453,Non-Allergen
antigen_49|P44664|D-alanyl-D-alanine|WP_077643707.1|tpos:1-292,0.06,0.0,0.0,0.06,Non-Allergen
antigen_66|P43773|ATP-dependent|WP_013527418.1|tpos:1-444,0.026,0.0,0.0,0.026,Non-Allergen
antigen_70|A5UCR5|Ribosomal|WP_015702116.1|tpos:1-363,0.106,0.0,0.0,0.106,Non-Allergen
antigen_5|P45267|Inorganic|WP_065245260.1|tpos:1-348,0.123,0.0,0.0,0.123,Non-Allergen
antigen_160|P43925|Elongation|WP_077643676.1|tpos:1-700,0.068,0.5,-0.5,0.068,Non-Allergen
antigen_173|P44131|Uncharacterized|WP_015702135.1|tpos:326-480,0.132,0.0,0.0,0.132,Non-Allergen
antigen_175|P44096|Nucleotide-binding|WP_015702028.1|tpos:1-163,0.061,0.0,0.0,0.061,Non-Allergen
antigen_196|P44638|Lactoylglutathione|WP_005688980.1|tpos:1-135,0.276,0.0,0.5,0.776,Allergen
