antigen41|Q5HEC4|CP000253.1|mhcii|seq1298	antigen41|Q5HEC4|CP000253.1|mhcii|seq1298
antigen41|Q5HEC4|CP000253.1|mhcii|seq1362	antigen41|Q5HEC4|CP000253.1|mhcii|seq1362
antigen41|Q5HEC4|CP000253.1|mhcii|seq147	antigen41|Q5HEC4|CP000253.1|mhcii|seq147
antigen41|Q5HEC4|CP000253.1|mhcii|seq211	antigen41|Q5HEC4|CP000253.1|mhcii|seq211
antigen41|Q5HEC4|CP000253.1|mhcii|seq243	antigen41|Q5HEC4|CP000253.1|mhcii|seq243
antigen41|Q5HEC4|CP000253.1|mhcii|seq243	antigen41|Q5HEC4|CP000253.1|mhcii|seq1004
antigen41|Q5HEC4|CP000253.1|mhcii|seq243	antigen41|Q5HEC4|CP000253.1|mhcii|seq1006
antigen41|Q5HEC4|CP000253.1|mhcii|seq243	antigen41|Q5HEC4|CP000253.1|mhcii|seq1007
antigen41|Q5HEC4|CP000253.1|mhcii|seq243	antigen41|Q5HEC4|CP000253.1|mhcii|seq624
antigen41|Q5HEC4|CP000253.1|mhcii|seq243	antigen41|Q5HEC4|CP000253.1|mhcii|seq241
antigen41|Q5HEC4|CP000253.1|mhcii|seq243	antigen41|Q5HEC4|CP000253.1|mhcii|seq242
antigen41|Q5HEC4|CP000253.1|mhcii|seq243	antigen41|Q5HEC4|CP000253.1|mhcii|seq244
antigen41|Q5HEC4|CP000253.1|mhcii|seq243	antigen41|Q5HEC4|CP000253.1|mhcii|seq1637
antigen41|Q5HEC4|CP000253.1|mhcii|seq243	antigen41|Q5HEC4|CP000253.1|mhcii|seq1636
antigen41|Q5HEC4|CP000253.1|mhcii|seq243	antigen41|Q5HEC4|CP000253.1|mhcii|seq1638
antigen41|Q5HEC4|CP000253.1|mhcii|seq243	antigen41|Q5HEC4|CP000253.1|mhcii|seq1639
antigen41|Q5HEC4|CP000253.1|mhcii|seq243	antigen41|Q5HEC4|CP000253.1|mhcii|seq1005
antigen41|Q5HEC4|CP000253.1|mhcii|seq243	antigen41|Q5HEC4|CP000253.1|mhcii|seq622
antigen41|Q5HEC4|CP000253.1|mhcii|seq243	antigen41|Q5HEC4|CP000253.1|mhcii|seq621
antigen41|Q5HEC4|CP000253.1|mhcii|seq243	antigen41|Q5HEC4|CP000253.1|mhcii|seq623
antigen41|Q5HEC4|CP000253.1|mhcii|seq243	antigen41|Q5HEC4|CP000253.1|mhcii|seq438
antigen41|Q5HEC4|CP000253.1|mhcii|seq243	antigen41|Q5HEC4|CP000253.1|mhcii|seq436
antigen41|Q5HEC4|CP000253.1|mhcii|seq243	antigen41|Q5HEC4|CP000253.1|mhcii|seq437
antigen41|Q5HEC4|CP000253.1|mhcii|seq787	antigen41|Q5HEC4|CP000253.1|mhcii|seq787
antigen41|Q5HEC4|CP000253.1|mhcii|seq787	antigen41|Q5HEC4|CP000253.1|mhcii|seq786
antigen41|Q5HEC4|CP000253.1|mhcii|seq787	antigen41|Q5HEC4|CP000253.1|mhcii|seq595
antigen41|Q5HEC4|CP000253.1|mhcii|seq787	antigen41|Q5HEC4|CP000253.1|mhcii|seq106
antigen41|Q5HEC4|CP000253.1|mhcii|seq787	antigen41|Q5HEC4|CP000253.1|mhcii|seq594
antigen41|Q5HEC4|CP000253.1|mhcii|seq787	antigen41|Q5HEC4|CP000253.1|mhcii|seq318
antigen41|Q5HEC4|CP000253.1|mhcii|seq787	antigen41|Q5HEC4|CP000253.1|mhcii|seq321
antigen41|Q5HEC4|CP000253.1|mhcii|seq787	antigen41|Q5HEC4|CP000253.1|mhcii|seq322
antigen41|Q5HEC4|CP000253.1|mhcii|seq787	antigen41|Q5HEC4|CP000253.1|mhcii|seq323
antigen41|Q5HEC4|CP000253.1|mhcii|seq787	antigen41|Q5HEC4|CP000253.1|mhcii|seq324
antigen41|Q5HEC4|CP000253.1|mhcii|seq787	antigen41|Q5HEC4|CP000253.1|mhcii|seq320
antigen41|Q5HEC4|CP000253.1|mhcii|seq787	antigen41|Q5HEC4|CP000253.1|mhcii|seq451
antigen41|Q5HEC4|CP000253.1|mhcii|seq787	antigen41|Q5HEC4|CP000253.1|mhcii|seq452
antigen41|Q5HEC4|CP000253.1|mhcii|seq787	antigen41|Q5HEC4|CP000253.1|mhcii|seq453
antigen41|Q5HEC4|CP000253.1|mhcii|seq787	antigen41|Q5HEC4|CP000253.1|mhcii|seq1516
antigen41|Q5HEC4|CP000253.1|mhcii|seq787	antigen41|Q5HEC4|CP000253.1|mhcii|seq1513
antigen41|Q5HEC4|CP000253.1|mhcii|seq787	antigen41|Q5HEC4|CP000253.1|mhcii|seq1514
antigen41|Q5HEC4|CP000253.1|mhcii|seq787	antigen41|Q5HEC4|CP000253.1|mhcii|seq1515
antigen41|Q5HEC4|CP000253.1|mhcii|seq787	antigen41|Q5HEC4|CP000253.1|mhcii|seq1517
antigen41|Q5HEC4|CP000253.1|mhcii|seq787	antigen41|Q5HEC4|CP000253.1|mhcii|seq1518
antigen41|Q5HEC4|CP000253.1|mhcii|seq787	antigen41|Q5HEC4|CP000253.1|mhcii|seq1172
antigen41|Q5HEC4|CP000253.1|mhcii|seq787	antigen41|Q5HEC4|CP000253.1|mhcii|seq1173
antigen41|Q5HEC4|CP000253.1|mhcii|seq787	antigen41|Q5HEC4|CP000253.1|mhcii|seq1174
antigen41|Q5HEC4|CP000253.1|mhcii|seq787	antigen41|Q5HEC4|CP000253.1|mhcii|seq1175
antigen41|Q5HEC4|CP000253.1|mhcii|seq787	antigen41|Q5HEC4|CP000253.1|mhcii|seq1176
antigen41|Q5HEC4|CP000253.1|mhcii|seq787	antigen41|Q5HEC4|CP000253.1|mhcii|seq1177
antigen41|Q5HEC4|CP000253.1|mhcii|seq787	antigen41|Q5HEC4|CP000253.1|mhcii|seq1178
antigen41|Q5HEC4|CP000253.1|mhcii|seq787	antigen41|Q5HEC4|CP000253.1|mhcii|seq1179
antigen41|Q5HEC4|CP000253.1|mhcii|seq787	antigen41|Q5HEC4|CP000253.1|mhcii|seq316
antigen41|Q5HEC4|CP000253.1|mhcii|seq787	antigen41|Q5HEC4|CP000253.1|mhcii|seq668
antigen41|Q5HEC4|CP000253.1|mhcii|seq787	antigen41|Q5HEC4|CP000253.1|mhcii|seq666
antigen41|Q5HEC4|CP000253.1|mhcii|seq787	antigen41|Q5HEC4|CP000253.1|mhcii|seq667
antigen41|Q5HEC4|CP000253.1|mhcii|seq787	antigen41|Q5HEC4|CP000253.1|mhcii|seq669
antigen41|Q5HEC4|CP000253.1|mhcii|seq787	antigen41|Q5HEC4|CP000253.1|mhcii|seq670
antigen41|Q5HEC4|CP000253.1|mhcii|seq787	antigen41|Q5HEC4|CP000253.1|mhcii|seq671
antigen41|Q5HEC4|CP000253.1|mhcii|seq787	antigen41|Q5HEC4|CP000253.1|mhcii|seq317
antigen41|Q5HEC4|CP000253.1|mhcii|seq787	antigen41|Q5HEC4|CP000253.1|mhcii|seq319
antigen41|Q5HEC4|CP000253.1|mhcii|seq1171	antigen41|Q5HEC4|CP000253.1|mhcii|seq1171
antigen41|Q5HEC4|CP000253.1|mhcii|seq1363	antigen41|Q5HEC4|CP000253.1|mhcii|seq1363
antigen41|Q5HEC4|CP000253.1|mhcii|seq1363	antigen41|Q5HEC4|CP000253.1|mhcii|seq1364
antigen41|Q5HEC4|CP000253.1|mhcii|seq1363	antigen41|Q5HEC4|CP000253.1|mhcii|seq1365
antigen41|Q5HEC4|CP000253.1|mhcii|seq148	antigen41|Q5HEC4|CP000253.1|mhcii|seq148
antigen41|Q5HEC4|CP000253.1|mhcii|seq212	antigen41|Q5HEC4|CP000253.1|mhcii|seq212
antigen41|Q5HEC4|CP000253.1|mhcii|seq1296	antigen41|Q5HEC4|CP000253.1|mhcii|seq1296
antigen41|Q5HEC4|CP000253.1|mhcii|seq177	antigen41|Q5HEC4|CP000253.1|mhcii|seq177
antigen41|Q5HEC4|CP000253.1|mhcii|seq177	antigen41|Q5HEC4|CP000253.1|mhcii|seq1248
antigen41|Q5HEC4|CP000253.1|mhcii|seq177	antigen41|Q5HEC4|CP000253.1|mhcii|seq1359
antigen41|Q5HEC4|CP000253.1|mhcii|seq177	antigen41|Q5HEC4|CP000253.1|mhcii|seq972
antigen41|Q5HEC4|CP000253.1|mhcii|seq177	antigen41|Q5HEC4|CP000253.1|mhcii|seq1249
antigen41|Q5HEC4|CP000253.1|mhcii|seq177	antigen41|Q5HEC4|CP000253.1|mhcii|seq1360
antigen41|Q5HEC4|CP000253.1|mhcii|seq177	antigen41|Q5HEC4|CP000253.1|mhcii|seq1250
antigen41|Q5HEC4|CP000253.1|mhcii|seq177	antigen41|Q5HEC4|CP000253.1|mhcii|seq1361
antigen41|Q5HEC4|CP000253.1|mhcii|seq177	antigen41|Q5HEC4|CP000253.1|mhcii|seq487
antigen41|Q5HEC4|CP000253.1|mhcii|seq177	antigen41|Q5HEC4|CP000253.1|mhcii|seq488
antigen41|Q5HEC4|CP000253.1|mhcii|seq177	antigen41|Q5HEC4|CP000253.1|mhcii|seq905
antigen41|Q5HEC4|CP000253.1|mhcii|seq177	antigen41|Q5HEC4|CP000253.1|mhcii|seq906
antigen41|Q5HEC4|CP000253.1|mhcii|seq177	antigen41|Q5HEC4|CP000253.1|mhcii|seq971
antigen41|Q5HEC4|CP000253.1|mhcii|seq177	antigen41|Q5HEC4|CP000253.1|mhcii|seq973
antigen41|Q5HEC4|CP000253.1|mhcii|seq177	antigen41|Q5HEC4|CP000253.1|mhcii|seq850
antigen41|Q5HEC4|CP000253.1|mhcii|seq177	antigen41|Q5HEC4|CP000253.1|mhcii|seq851
antigen41|Q5HEC4|CP000253.1|mhcii|seq177	antigen41|Q5HEC4|CP000253.1|mhcii|seq178
antigen41|Q5HEC4|CP000253.1|mhcii|seq177	antigen41|Q5HEC4|CP000253.1|mhcii|seq1558
antigen41|Q5HEC4|CP000253.1|mhcii|seq177	antigen41|Q5HEC4|CP000253.1|mhcii|seq179
antigen41|Q5HEC4|CP000253.1|mhcii|seq177	antigen41|Q5HEC4|CP000253.1|mhcii|seq1064
antigen41|Q5HEC4|CP000253.1|mhcii|seq177	antigen41|Q5HEC4|CP000253.1|mhcii|seq1065
antigen41|Q5HEC4|CP000253.1|mhcii|seq177	antigen41|Q5HEC4|CP000253.1|mhcii|seq1557
antigen41|Q5HEC4|CP000253.1|mhcii|seq177	antigen41|Q5HEC4|CP000253.1|mhcii|seq1559
antigen41|Q5HEC4|CP000253.1|mhcii|seq177	antigen41|Q5HEC4|CP000253.1|mhcii|seq180
antigen41|Q5HEC4|CP000253.1|mhcii|seq177	antigen41|Q5HEC4|CP000253.1|mhcii|seq1246
antigen41|Q5HEC4|CP000253.1|mhcii|seq177	antigen41|Q5HEC4|CP000253.1|mhcii|seq1357
antigen41|Q5HEC4|CP000253.1|mhcii|seq177	antigen41|Q5HEC4|CP000253.1|mhcii|seq1247
antigen41|Q5HEC4|CP000253.1|mhcii|seq177	antigen41|Q5HEC4|CP000253.1|mhcii|seq1358
antigen41|Q5HEC4|CP000253.1|mhcii|seq1297	antigen41|Q5HEC4|CP000253.1|mhcii|seq1297
antigen41|Q5HEC4|CP000253.1|mhcii|seq1	antigen41|Q5HEC4|CP000253.1|mhcii|seq1
antigen41|Q5HEC4|CP000253.1|mhcii|seq161	antigen41|Q5HEC4|CP000253.1|mhcii|seq161
antigen41|Q5HEC4|CP000253.1|mhcii|seq161	antigen41|Q5HEC4|CP000253.1|mhcii|seq547
antigen41|Q5HEC4|CP000253.1|mhcii|seq161	antigen41|Q5HEC4|CP000253.1|mhcii|seq548
antigen41|Q5HEC4|CP000253.1|mhcii|seq161	antigen41|Q5HEC4|CP000253.1|mhcii|seq1478
antigen41|Q5HEC4|CP000253.1|mhcii|seq161	antigen41|Q5HEC4|CP000253.1|mhcii|seq1479
antigen41|Q5HEC4|CP000253.1|mhcii|seq161	antigen41|Q5HEC4|CP000253.1|mhcii|seq40
antigen41|Q5HEC4|CP000253.1|mhcii|seq161	antigen41|Q5HEC4|CP000253.1|mhcii|seq1480
antigen41|Q5HEC4|CP000253.1|mhcii|seq161	antigen41|Q5HEC4|CP000253.1|mhcii|seq41
antigen41|Q5HEC4|CP000253.1|mhcii|seq161	antigen41|Q5HEC4|CP000253.1|mhcii|seq1321
