antigen30|P65288|BX571856.1|mhcii|seq9729	antigen30|P65288|BX571856.1|mhcii|seq9729
antigen30|P65288|BX571856.1|mhcii|seq66	antigen30|P65288|BX571856.1|mhcii|seq66
antigen30|P65288|BX571856.1|mhcii|seq66	antigen30|P65288|BX571856.1|mhcii|seq228
antigen30|P65288|BX571856.1|mhcii|seq66	antigen30|P65288|BX571856.1|mhcii|seq2737
antigen30|P65288|BX571856.1|mhcii|seq66	antigen30|P65288|BX571856.1|mhcii|seq65
antigen30|P65288|BX571856.1|mhcii|seq66	antigen30|P65288|BX571856.1|mhcii|seq227
antigen30|P65288|BX571856.1|mhcii|seq66	antigen30|P65288|BX571856.1|mhcii|seq2736
antigen30|P65288|BX571856.1|mhcii|seq66	antigen30|P65288|BX571856.1|mhcii|seq78
antigen30|P65288|BX571856.1|mhcii|seq66	antigen30|P65288|BX571856.1|mhcii|seq330
antigen30|P65288|BX571856.1|mhcii|seq66	antigen30|P65288|BX571856.1|mhcii|seq4376
antigen30|P65288|BX571856.1|mhcii|seq66	antigen30|P65288|BX571856.1|mhcii|seq2001
antigen30|P65288|BX571856.1|mhcii|seq66	antigen30|P65288|BX571856.1|mhcii|seq63
antigen30|P65288|BX571856.1|mhcii|seq66	antigen30|P65288|BX571856.1|mhcii|seq225
antigen30|P65288|BX571856.1|mhcii|seq66	antigen30|P65288|BX571856.1|mhcii|seq2734
antigen30|P65288|BX571856.1|mhcii|seq66	antigen30|P65288|BX571856.1|mhcii|seq1291
antigen30|P65288|BX571856.1|mhcii|seq66	antigen30|P65288|BX571856.1|mhcii|seq1288
antigen30|P65288|BX571856.1|mhcii|seq66	antigen30|P65288|BX571856.1|mhcii|seq1289
antigen30|P65288|BX571856.1|mhcii|seq66	antigen30|P65288|BX571856.1|mhcii|seq1290
antigen30|P65288|BX571856.1|mhcii|seq66	antigen30|P65288|BX571856.1|mhcii|seq1292
antigen30|P65288|BX571856.1|mhcii|seq66	antigen30|P65288|BX571856.1|mhcii|seq9612
antigen30|P65288|BX571856.1|mhcii|seq66	antigen30|P65288|BX571856.1|mhcii|seq1293
antigen30|P65288|BX571856.1|mhcii|seq66	antigen30|P65288|BX571856.1|mhcii|seq9613
antigen30|P65288|BX571856.1|mhcii|seq66	antigen30|P65288|BX571856.1|mhcii|seq1998
antigen30|P65288|BX571856.1|mhcii|seq66	antigen30|P65288|BX571856.1|mhcii|seq9614
antigen30|P65288|BX571856.1|mhcii|seq66	antigen30|P65288|BX571856.1|mhcii|seq1999
antigen30|P65288|BX571856.1|mhcii|seq66	antigen30|P65288|BX571856.1|mhcii|seq9615
antigen30|P65288|BX571856.1|mhcii|seq66	antigen30|P65288|BX571856.1|mhcii|seq2000
antigen30|P65288|BX571856.1|mhcii|seq66	antigen30|P65288|BX571856.1|mhcii|seq9616
antigen30|P65288|BX571856.1|mhcii|seq66	antigen30|P65288|BX571856.1|mhcii|seq9617
antigen30|P65288|BX571856.1|mhcii|seq66	antigen30|P65288|BX571856.1|mhcii|seq2515
antigen30|P65288|BX571856.1|mhcii|seq66	antigen30|P65288|BX571856.1|mhcii|seq2516
antigen30|P65288|BX571856.1|mhcii|seq66	antigen30|P65288|BX571856.1|mhcii|seq2517
antigen30|P65288|BX571856.1|mhcii|seq66	antigen30|P65288|BX571856.1|mhcii|seq8983
antigen30|P65288|BX571856.1|mhcii|seq66	antigen30|P65288|BX571856.1|mhcii|seq8984
antigen30|P65288|BX571856.1|mhcii|seq66	antigen30|P65288|BX571856.1|mhcii|seq8985
antigen30|P65288|BX571856.1|mhcii|seq66	antigen30|P65288|BX571856.1|mhcii|seq7418
antigen30|P65288|BX571856.1|mhcii|seq66	antigen30|P65288|BX571856.1|mhcii|seq8986
antigen30|P65288|BX571856.1|mhcii|seq66	antigen30|P65288|BX571856.1|mhcii|seq7419
antigen30|P65288|BX571856.1|mhcii|seq66	antigen30|P65288|BX571856.1|mhcii|seq8987
antigen30|P65288|BX571856.1|mhcii|seq66	antigen30|P65288|BX571856.1|mhcii|seq7420
antigen30|P65288|BX571856.1|mhcii|seq66	antigen30|P65288|BX571856.1|mhcii|seq7421
antigen30|P65288|BX571856.1|mhcii|seq66	antigen30|P65288|BX571856.1|mhcii|seq64
antigen30|P65288|BX571856.1|mhcii|seq66	antigen30|P65288|BX571856.1|mhcii|seq226
antigen30|P65288|BX571856.1|mhcii|seq66	antigen30|P65288|BX571856.1|mhcii|seq2735
antigen30|P65288|BX571856.1|mhcii|seq66	antigen30|P65288|BX571856.1|mhcii|seq79
antigen30|P65288|BX571856.1|mhcii|seq66	antigen30|P65288|BX571856.1|mhcii|seq331
antigen30|P65288|BX571856.1|mhcii|seq66	antigen30|P65288|BX571856.1|mhcii|seq4377
antigen30|P65288|BX571856.1|mhcii|seq194	antigen30|P65288|BX571856.1|mhcii|seq194
antigen30|P65288|BX571856.1|mhcii|seq578	antigen30|P65288|BX571856.1|mhcii|seq578
antigen30|P65288|BX571856.1|mhcii|seq578	antigen30|P65288|BX571856.1|mhcii|seq577
antigen30|P65288|BX571856.1|mhcii|seq578	antigen30|P65288|BX571856.1|mhcii|seq8161
antigen30|P65288|BX571856.1|mhcii|seq578	antigen30|P65288|BX571856.1|mhcii|seq8162
antigen30|P65288|BX571856.1|mhcii|seq578	antigen30|P65288|BX571856.1|mhcii|seq1801
antigen30|P65288|BX571856.1|mhcii|seq578	antigen30|P65288|BX571856.1|mhcii|seq1802
antigen30|P65288|BX571856.1|mhcii|seq578	antigen30|P65288|BX571856.1|mhcii|seq7467
antigen30|P65288|BX571856.1|mhcii|seq578	antigen30|P65288|BX571856.1|mhcii|seq7468
antigen30|P65288|BX571856.1|mhcii|seq578	antigen30|P65288|BX571856.1|mhcii|seq7469
antigen30|P65288|BX571856.1|mhcii|seq578	antigen30|P65288|BX571856.1|mhcii|seq6478
antigen30|P65288|BX571856.1|mhcii|seq578	antigen30|P65288|BX571856.1|mhcii|seq7470
antigen30|P65288|BX571856.1|mhcii|seq578	antigen30|P65288|BX571856.1|mhcii|seq6479
antigen30|P65288|BX571856.1|mhcii|seq578	antigen30|P65288|BX571856.1|mhcii|seq6480
antigen30|P65288|BX571856.1|mhcii|seq578	antigen30|P65288|BX571856.1|mhcii|seq6481
antigen30|P65288|BX571856.1|mhcii|seq578	antigen30|P65288|BX571856.1|mhcii|seq6482
antigen30|P65288|BX571856.1|mhcii|seq578	antigen30|P65288|BX571856.1|mhcii|seq9303
antigen30|P65288|BX571856.1|mhcii|seq578	antigen30|P65288|BX571856.1|mhcii|seq3000
antigen30|P65288|BX571856.1|mhcii|seq578	antigen30|P65288|BX571856.1|mhcii|seq9304
antigen30|P65288|BX571856.1|mhcii|seq578	antigen30|P65288|BX571856.1|mhcii|seq3001
antigen30|P65288|BX571856.1|mhcii|seq578	antigen30|P65288|BX571856.1|mhcii|seq9305
antigen30|P65288|BX571856.1|mhcii|seq578	antigen30|P65288|BX571856.1|mhcii|seq218
antigen30|P65288|BX571856.1|mhcii|seq578	antigen30|P65288|BX571856.1|mhcii|seq3002
antigen30|P65288|BX571856.1|mhcii|seq578	antigen30|P65288|BX571856.1|mhcii|seq9306
antigen30|P65288|BX571856.1|mhcii|seq578	antigen30|P65288|BX571856.1|mhcii|seq219
antigen30|P65288|BX571856.1|mhcii|seq578	antigen30|P65288|BX571856.1|mhcii|seq3003
antigen30|P65288|BX571856.1|mhcii|seq578	antigen30|P65288|BX571856.1|mhcii|seq9307
antigen30|P65288|BX571856.1|mhcii|seq578	antigen30|P65288|BX571856.1|mhcii|seq220
antigen30|P65288|BX571856.1|mhcii|seq578	antigen30|P65288|BX571856.1|mhcii|seq573
antigen30|P65288|BX571856.1|mhcii|seq578	antigen30|P65288|BX571856.1|mhcii|seq8157
antigen30|P65288|BX571856.1|mhcii|seq578	antigen30|P65288|BX571856.1|mhcii|seq574
antigen30|P65288|BX571856.1|mhcii|seq578	antigen30|P65288|BX571856.1|mhcii|seq8158
antigen30|P65288|BX571856.1|mhcii|seq578	antigen30|P65288|BX571856.1|mhcii|seq575
antigen30|P65288|BX571856.1|mhcii|seq578	antigen30|P65288|BX571856.1|mhcii|seq8159
antigen30|P65288|BX571856.1|mhcii|seq578	antigen30|P65288|BX571856.1|mhcii|seq576
antigen30|P65288|BX571856.1|mhcii|seq578	antigen30|P65288|BX571856.1|mhcii|seq8160
antigen30|P65288|BX571856.1|mhcii|seq834	antigen30|P65288|BX571856.1|mhcii|seq834
antigen30|P65288|BX571856.1|mhcii|seq1090	antigen30|P65288|BX571856.1|mhcii|seq1090
antigen30|P65288|BX571856.1|mhcii|seq1314	antigen30|P65288|BX571856.1|mhcii|seq1314
antigen30|P65288|BX571856.1|mhcii|seq1314	antigen30|P65288|BX571856.1|mhcii|seq1313
antigen30|P65288|BX571856.1|mhcii|seq1314	antigen30|P65288|BX571856.1|mhcii|seq4193
antigen30|P65288|BX571856.1|mhcii|seq1314	antigen30|P65288|BX571856.1|mhcii|seq4194
antigen30|P65288|BX571856.1|mhcii|seq1314	antigen30|P65288|BX571856.1|mhcii|seq4195
antigen30|P65288|BX571856.1|mhcii|seq1314	antigen30|P65288|BX571856.1|mhcii|seq9318
antigen30|P65288|BX571856.1|mhcii|seq1314	antigen30|P65288|BX571856.1|mhcii|seq9319
antigen30|P65288|BX571856.1|mhcii|seq1314	antigen30|P65288|BX571856.1|mhcii|seq9320
antigen30|P65288|BX571856.1|mhcii|seq1314	antigen30|P65288|BX571856.1|mhcii|seq3209
antigen30|P65288|BX571856.1|mhcii|seq1314	antigen30|P65288|BX571856.1|mhcii|seq9321
antigen30|P65288|BX571856.1|mhcii|seq1314	antigen30|P65288|BX571856.1|mhcii|seq3210
antigen30|P65288|BX571856.1|mhcii|seq1314	antigen30|P65288|BX571856.1|mhcii|seq9322
antigen30|P65288|BX571856.1|mhcii|seq1314	antigen30|P65288|BX571856.1|mhcii|seq3211
antigen30|P65288|BX571856.1|mhcii|seq1314	antigen30|P65288|BX571856.1|mhcii|seq9323
antigen30|P65288|BX571856.1|mhcii|seq1314	antigen30|P65288|BX571856.1|mhcii|seq3212
antigen30|P65288|BX571856.1|mhcii|seq1314	antigen30|P65288|BX571856.1|mhcii|seq9708
antigen30|P65288|BX571856.1|mhcii|seq1314	antigen30|P65288|BX571856.1|mhcii|seq3213
antigen30|P65288|BX571856.1|mhcii|seq1314	antigen30|P65288|BX571856.1|mhcii|seq7437
antigen30|P65288|BX571856.1|mhcii|seq1314	antigen30|P65288|BX571856.1|mhcii|seq9709
antigen30|P65288|BX571856.1|mhcii|seq1314	antigen30|P65288|BX571856.1|mhcii|seq7438
antigen30|P65288|BX571856.1|mhcii|seq1314	antigen30|P65288|BX571856.1|mhcii|seq9710
antigen30|P65288|BX571856.1|mhcii|seq1314	antigen30|P65288|BX571856.1|mhcii|seq7439
antigen30|P65288|BX571856.1|mhcii|seq1314	antigen30|P65288|BX571856.1|mhcii|seq8175
antigen30|P65288|BX571856.1|mhcii|seq1314	antigen30|P65288|BX571856.1|mhcii|seq9711
antigen30|P65288|BX571856.1|mhcii|seq1314	antigen30|P65288|BX571856.1|mhcii|seq7440
antigen30|P65288|BX571856.1|mhcii|seq1314	antigen30|P65288|BX571856.1|mhcii|seq8176
antigen30|P65288|BX571856.1|mhcii|seq1314	antigen30|P65288|BX571856.1|mhcii|seq9680
antigen30|P65288|BX571856.1|mhcii|seq1314	antigen30|P65288|BX571856.1|mhcii|seq9712
antigen30|P65288|BX571856.1|mhcii|seq1314	antigen30|P65288|BX571856.1|mhcii|seq3377
antigen30|P65288|BX571856.1|mhcii|seq1314	antigen30|P65288|BX571856.1|mhcii|seq7441
antigen30|P65288|BX571856.1|mhcii|seq1314	antigen30|P65288|BX571856.1|mhcii|seq8177
antigen30|P65288|BX571856.1|mhcii|seq1314	antigen30|P65288|BX571856.1|mhcii|seq9681
antigen30|P65288|BX571856.1|mhcii|seq1314	antigen30|P65288|BX571856.1|mhcii|seq9713
antigen30|P65288|BX571856.1|mhcii|seq1314	antigen30|P65288|BX571856.1|mhcii|seq3378
antigen30|P65288|BX571856.1|mhcii|seq1314	antigen30|P65288|BX571856.1|mhcii|seq7442
antigen30|P65288|BX571856.1|mhcii|seq1314	antigen30|P65288|BX571856.1|mhcii|seq9682
antigen30|P65288|BX571856.1|mhcii|seq1314	antigen30|P65288|BX571856.1|mhcii|seq1715
antigen30|P65288|BX571856.1|mhcii|seq1314	antigen30|P65288|BX571856.1|mhcii|seq3379
antigen30|P65288|BX571856.1|mhcii|seq1314	antigen30|P65288|BX571856.1|mhcii|seq9683
antigen30|P65288|BX571856.1|mhcii|seq1314	antigen30|P65288|BX571856.1|mhcii|seq1716
antigen30|P65288|BX571856.1|mhcii|seq1314	antigen30|P65288|BX571856.1|mhcii|seq3380
antigen30|P65288|BX571856.1|mhcii|seq1314	antigen30|P65288|BX571856.1|mhcii|seq3381
antigen30|P65288|BX571856.1|mhcii|seq1314	antigen30|P65288|BX571856.1|mhcii|seq5333
antigen30|P65288|BX571856.1|mhcii|seq1314	antigen30|P65288|BX571856.1|mhcii|seq3382
antigen30|P65288|BX571856.1|mhcii|seq1314	antigen30|P65288|BX571856.1|mhcii|seq1309
antigen30|P65288|BX571856.1|mhcii|seq1314	antigen30|P65288|BX571856.1|mhcii|seq1310
antigen30|P65288|BX571856.1|mhcii|seq1314	antigen30|P65288|BX571856.1|mhcii|seq4190
antigen30|P65288|BX571856.1|mhcii|seq1314	antigen30|P65288|BX571856.1|mhcii|seq1311
antigen30|P65288|BX571856.1|mhcii|seq1314	antigen30|P65288|BX571856.1|mhcii|seq4191
antigen30|P65288|BX571856.1|mhcii|seq1314	antigen30|P65288|BX571856.1|mhcii|seq1312
antigen30|P65288|BX571856.1|mhcii|seq1314	antigen30|P65288|BX571856.1|mhcii|seq4192
antigen30|P65288|BX571856.1|mhcii|seq1762	antigen30|P65288|BX571856.1|mhcii|seq1762
antigen30|P65288|BX571856.1|mhcii|seq1762	antigen30|P65288|BX571856.1|mhcii|seq1763
antigen30|P65288|BX571856.1|mhcii|seq1762	antigen30|P65288|BX571856.1|mhcii|seq8285
antigen30|P65288|BX571856.1|mhcii|seq1762	antigen30|P65288|BX571856.1|mhcii|seq8284
antigen30|P65288|BX571856.1|mhcii|seq1762	antigen30|P65288|BX571856.1|mhcii|seq8283
antigen30|P65288|BX571856.1|mhcii|seq1986	antigen30|P65288|BX571856.1|mhcii|seq1986
antigen30|P65288|BX571856.1|mhcii|seq1986	antigen30|P65288|BX571856.1|mhcii|seq1985
antigen30|P65288|BX571856.1|mhcii|seq1986	antigen30|P65288|BX571856.1|mhcii|seq9453
antigen30|P65288|BX571856.1|mhcii|seq1986	antigen30|P65288|BX571856.1|mhcii|seq9454
antigen30|P65288|BX571856.1|mhcii|seq1986	antigen30|P65288|BX571856.1|mhcii|seq9455
antigen30|P65288|BX571856.1|mhcii|seq1986	antigen30|P65288|BX571856.1|mhcii|seq9456
antigen30|P65288|BX571856.1|mhcii|seq1986	antigen30|P65288|BX571856.1|mhcii|seq9393
antigen30|P65288|BX571856.1|mhcii|seq1986	antigen30|P65288|BX571856.1|mhcii|seq9457
antigen30|P65288|BX571856.1|mhcii|seq1986	antigen30|P65288|BX571856.1|mhcii|seq8658
antigen30|P65288|BX571856.1|mhcii|seq1986	antigen30|P65288|BX571856.1|mhcii|seq9394
antigen30|P65288|BX571856.1|mhcii|seq1986	antigen30|P65288|BX571856.1|mhcii|seq9458
antigen30|P65288|BX571856.1|mhcii|seq1986	antigen30|P65288|BX571856.1|mhcii|seq2803
antigen30|P65288|BX571856.1|mhcii|seq1986	antigen30|P65288|BX571856.1|mhcii|seq8659
antigen30|P65288|BX571856.1|mhcii|seq1986	antigen30|P65288|BX571856.1|mhcii|seq9395
antigen30|P65288|BX571856.1|mhcii|seq1986	antigen30|P65288|BX571856.1|mhcii|seq2804
antigen30|P65288|BX571856.1|mhcii|seq1986	antigen30|P65288|BX571856.1|mhcii|seq7572
antigen30|P65288|BX571856.1|mhcii|seq1986	antigen30|P65288|BX571856.1|mhcii|seq8660
antigen30|P65288|BX571856.1|mhcii|seq1986	antigen30|P65288|BX571856.1|mhcii|seq9396
antigen30|P65288|BX571856.1|mhcii|seq1986	antigen30|P65288|BX571856.1|mhcii|seq2805
antigen30|P65288|BX571856.1|mhcii|seq1986	antigen30|P65288|BX571856.1|mhcii|seq7573
antigen30|P65288|BX571856.1|mhcii|seq1986	antigen30|P65288|BX571856.1|mhcii|seq8661
antigen30|P65288|BX571856.1|mhcii|seq1986	antigen30|P65288|BX571856.1|mhcii|seq9397
antigen30|P65288|BX571856.1|mhcii|seq1986	antigen30|P65288|BX571856.1|mhcii|seq7574
antigen30|P65288|BX571856.1|mhcii|seq1986	antigen30|P65288|BX571856.1|mhcii|seq8662
antigen30|P65288|BX571856.1|mhcii|seq1986	antigen30|P65288|BX571856.1|mhcii|seq9398
antigen30|P65288|BX571856.1|mhcii|seq1986	antigen30|P65288|BX571856.1|mhcii|seq7575
antigen30|P65288|BX571856.1|mhcii|seq1986	antigen30|P65288|BX571856.1|mhcii|seq1981
antigen30|P65288|BX571856.1|mhcii|seq1986	antigen30|P65288|BX571856.1|mhcii|seq1982
antigen30|P65288|BX571856.1|mhcii|seq1986	antigen30|P65288|BX571856.1|mhcii|seq1983
antigen30|P65288|BX571856.1|mhcii|seq1986	antigen30|P65288|BX571856.1|mhcii|seq1984
antigen30|P65288|BX571856.1|mhcii|seq2114	antigen30|P65288|BX571856.1|mhcii|seq2114
