antigen63|P65177|CP002114.3|bcell|seq5	antigen63|P65177|CP002114.3|bcell|seq5
antigen99|Q2YT14|CP002114.3|bcell|seq3	antigen99|Q2YT14|CP002114.3|bcell|seq3
antigen140|Q7A417|CP002114.3|bcell|seq11	antigen140|Q7A417|CP002114.3|bcell|seq11
antigen134|A7X1P4|CP002114.3|bcell|seq11	antigen134|A7X1P4|CP002114.3|bcell|seq11
antigen137|Q5HHB7|CP002114.3|bcell|seq10	antigen137|Q5HHB7|CP002114.3|bcell|seq10
antigen119|Q99UI1|CP002114.3|bcell|seq9	antigen119|Q99UI1|CP002114.3|bcell|seq9
antigen109|Q6GHU5|CP002114.3|bcell|seq5	antigen109|Q6GHU5|CP002114.3|bcell|seq5
antigen63|P65177|CP002114.3|bcell|seq6	antigen63|P65177|CP002114.3|bcell|seq6
antigen113|Q2FKQ5|CP002114.3|bcell|seq2	antigen113|Q2FKQ5|CP002114.3|bcell|seq2
antigen99|Q2YT14|CP002114.3|bcell|seq4	antigen99|Q2YT14|CP002114.3|bcell|seq4
antigen156|A8YZL5|CP002114.3|bcell|seq4	antigen156|A8YZL5|CP002114.3|bcell|seq4
antigen103|Q6GJE9|CP002114.3|bcell|seq7	antigen103|Q6GJE9|CP002114.3|bcell|seq7
antigen150|O50581|CP002114.3|bcell|seq2	antigen150|O50581|CP002114.3|bcell|seq2
antigen140|Q7A417|CP002114.3|bcell|seq12	antigen140|Q7A417|CP002114.3|bcell|seq12
antigen134|A7X1P4|CP002114.3|bcell|seq12	antigen134|A7X1P4|CP002114.3|bcell|seq12
antigen137|Q5HHB7|CP002114.3|bcell|seq11	antigen137|Q5HHB7|CP002114.3|bcell|seq11
antigen119|Q99UI1|CP002114.3|bcell|seq10	antigen119|Q99UI1|CP002114.3|bcell|seq10
antigen7|Q99WM3|CP002114.3|bcell|seq12	antigen7|Q99WM3|CP002114.3|bcell|seq12
antigen28|A6U0V5|CP002114.3|bcell|seq10	antigen28|A6U0V5|CP002114.3|bcell|seq10
antigen109|Q6GHU5|CP002114.3|bcell|seq6	antigen109|Q6GHU5|CP002114.3|bcell|seq6
antigen84|A5ITJ2|CP002114.3|bcell|seq5	antigen84|A5ITJ2|CP002114.3|bcell|seq5
antigen113|Q2FKQ5|CP002114.3|bcell|seq3	antigen113|Q2FKQ5|CP002114.3|bcell|seq3
antigen99|Q2YT14|CP002114.3|bcell|seq5	antigen99|Q2YT14|CP002114.3|bcell|seq5
antigen156|A8YZL5|CP002114.3|bcell|seq5	antigen156|A8YZL5|CP002114.3|bcell|seq5
antigen103|Q6GJE9|CP002114.3|bcell|seq8	antigen103|Q6GJE9|CP002114.3|bcell|seq8
antigen150|O50581|CP002114.3|bcell|seq3	antigen150|O50581|CP002114.3|bcell|seq3
antigen89|Q2YU53|CP002114.3|bcell|seq2	antigen89|Q2YU53|CP002114.3|bcell|seq2
antigen134|A7X1P4|CP002114.3|bcell|seq13	antigen134|A7X1P4|CP002114.3|bcell|seq13
antigen119|Q99UI1|CP002114.3|bcell|seq11	antigen119|Q99UI1|CP002114.3|bcell|seq11
antigen149|Q99QV7|CP002114.3|bcell|seq7	antigen149|Q99QV7|CP002114.3|bcell|seq7
antigen61|Q6GIN8|CP002114.3|bcell|seq12	antigen61|Q6GIN8|CP002114.3|bcell|seq12
antigen84|A5ITJ2|CP002114.3|bcell|seq6	antigen84|A5ITJ2|CP002114.3|bcell|seq6
antigen112|Q99V03|CP002114.3|bcell|seq11	antigen112|Q99V03|CP002114.3|bcell|seq11
antigen63|P65177|CP002114.3|bcell|seq8	antigen63|P65177|CP002114.3|bcell|seq8
antigen113|Q2FKQ5|CP002114.3|bcell|seq4	antigen113|Q2FKQ5|CP002114.3|bcell|seq4
antigen134|A7X1P4|CP002114.3|bcell|seq14	antigen134|A7X1P4|CP002114.3|bcell|seq14
antigen7|Q99WM3|CP002114.3|bcell|seq14	antigen7|Q99WM3|CP002114.3|bcell|seq14
antigen149|Q99QV7|CP002114.3|bcell|seq8	antigen149|Q99QV7|CP002114.3|bcell|seq8
