antigen139|P65968|BX571857.1|mhcii|seq1451	antigen139|P65968|BX571857.1|mhcii|seq1451
antigen139|P65968|BX571857.1|mhcii|seq140	antigen139|P65968|BX571857.1|mhcii|seq140
antigen139|P65968|BX571857.1|mhcii|seq140	antigen139|P65968|BX571857.1|mhcii|seq1455
antigen139|P65968|BX571857.1|mhcii|seq140	antigen139|P65968|BX571857.1|mhcii|seq137
antigen139|P65968|BX571857.1|mhcii|seq140	antigen139|P65968|BX571857.1|mhcii|seq138
antigen139|P65968|BX571857.1|mhcii|seq140	antigen139|P65968|BX571857.1|mhcii|seq139
antigen139|P65968|BX571857.1|mhcii|seq140	antigen139|P65968|BX571857.1|mhcii|seq1452
antigen139|P65968|BX571857.1|mhcii|seq140	antigen139|P65968|BX571857.1|mhcii|seq1453
antigen139|P65968|BX571857.1|mhcii|seq140	antigen139|P65968|BX571857.1|mhcii|seq1070
antigen139|P65968|BX571857.1|mhcii|seq140	antigen139|P65968|BX571857.1|mhcii|seq1454
antigen139|P65968|BX571857.1|mhcii|seq140	antigen139|P65968|BX571857.1|mhcii|seq1071
antigen139|P65968|BX571857.1|mhcii|seq140	antigen139|P65968|BX571857.1|mhcii|seq1072
antigen139|P65968|BX571857.1|mhcii|seq140	antigen139|P65968|BX571857.1|mhcii|seq273
antigen139|P65968|BX571857.1|mhcii|seq140	antigen139|P65968|BX571857.1|mhcii|seq274
antigen139|P65968|BX571857.1|mhcii|seq140	antigen139|P65968|BX571857.1|mhcii|seq438
antigen139|P65968|BX571857.1|mhcii|seq140	antigen139|P65968|BX571857.1|mhcii|seq1189
antigen139|P65968|BX571857.1|mhcii|seq140	antigen139|P65968|BX571857.1|mhcii|seq1479
antigen139|P65968|BX571857.1|mhcii|seq140	antigen139|P65968|BX571857.1|mhcii|seq1073
antigen139|P65968|BX571857.1|mhcii|seq140	antigen139|P65968|BX571857.1|mhcii|seq436
antigen139|P65968|BX571857.1|mhcii|seq140	antigen139|P65968|BX571857.1|mhcii|seq1187
antigen139|P65968|BX571857.1|mhcii|seq140	antigen139|P65968|BX571857.1|mhcii|seq437
antigen139|P65968|BX571857.1|mhcii|seq140	antigen139|P65968|BX571857.1|mhcii|seq1188
antigen139|P65968|BX571857.1|mhcii|seq140	antigen139|P65968|BX571857.1|mhcii|seq439
antigen139|P65968|BX571857.1|mhcii|seq140	antigen139|P65968|BX571857.1|mhcii|seq1190
antigen139|P65968|BX571857.1|mhcii|seq140	antigen139|P65968|BX571857.1|mhcii|seq440
antigen139|P65968|BX571857.1|mhcii|seq140	antigen139|P65968|BX571857.1|mhcii|seq1191
antigen139|P65968|BX571857.1|mhcii|seq140	antigen139|P65968|BX571857.1|mhcii|seq284
antigen139|P65968|BX571857.1|mhcii|seq140	antigen139|P65968|BX571857.1|mhcii|seq285
antigen139|P65968|BX571857.1|mhcii|seq140	antigen139|P65968|BX571857.1|mhcii|seq1468
antigen139|P65968|BX571857.1|mhcii|seq300	antigen139|P65968|BX571857.1|mhcii|seq300
antigen139|P65968|BX571857.1|mhcii|seq460	antigen139|P65968|BX571857.1|mhcii|seq460
antigen139|P65968|BX571857.1|mhcii|seq460	antigen139|P65968|BX571857.1|mhcii|seq461
antigen139|P65968|BX571857.1|mhcii|seq460	antigen139|P65968|BX571857.1|mhcii|seq462
antigen139|P65968|BX571857.1|mhcii|seq812	antigen139|P65968|BX571857.1|mhcii|seq812
antigen139|P65968|BX571857.1|mhcii|seq812	antigen139|P65968|BX571857.1|mhcii|seq1409
antigen139|P65968|BX571857.1|mhcii|seq812	antigen139|P65968|BX571857.1|mhcii|seq1320
antigen139|P65968|BX571857.1|mhcii|seq812	antigen139|P65968|BX571857.1|mhcii|seq705
antigen139|P65968|BX571857.1|mhcii|seq812	antigen139|P65968|BX571857.1|mhcii|seq706
antigen139|P65968|BX571857.1|mhcii|seq812	antigen139|P65968|BX571857.1|mhcii|seq1410
antigen139|P65968|BX571857.1|mhcii|seq812	antigen139|P65968|BX571857.1|mhcii|seq1321
antigen139|P65968|BX571857.1|mhcii|seq812	antigen139|P65968|BX571857.1|mhcii|seq707
antigen139|P65968|BX571857.1|mhcii|seq812	antigen139|P65968|BX571857.1|mhcii|seq1411
antigen139|P65968|BX571857.1|mhcii|seq812	antigen139|P65968|BX571857.1|mhcii|seq1322
antigen139|P65968|BX571857.1|mhcii|seq812	antigen139|P65968|BX571857.1|mhcii|seq708
antigen139|P65968|BX571857.1|mhcii|seq812	antigen139|P65968|BX571857.1|mhcii|seq1412
antigen139|P65968|BX571857.1|mhcii|seq812	antigen139|P65968|BX571857.1|mhcii|seq1323
antigen139|P65968|BX571857.1|mhcii|seq812	antigen139|P65968|BX571857.1|mhcii|seq709
antigen139|P65968|BX571857.1|mhcii|seq812	antigen139|P65968|BX571857.1|mhcii|seq813
antigen139|P65968|BX571857.1|mhcii|seq812	antigen139|P65968|BX571857.1|mhcii|seq398
antigen139|P65968|BX571857.1|mhcii|seq812	antigen139|P65968|BX571857.1|mhcii|seq814
antigen139|P65968|BX571857.1|mhcii|seq812	antigen139|P65968|BX571857.1|mhcii|seq399
antigen139|P65968|BX571857.1|mhcii|seq812	antigen139|P65968|BX571857.1|mhcii|seq815
antigen139|P65968|BX571857.1|mhcii|seq812	antigen139|P65968|BX571857.1|mhcii|seq400
antigen139|P65968|BX571857.1|mhcii|seq812	antigen139|P65968|BX571857.1|mhcii|seq401
antigen139|P65968|BX571857.1|mhcii|seq812	antigen139|P65968|BX571857.1|mhcii|seq342
antigen139|P65968|BX571857.1|mhcii|seq812	antigen139|P65968|BX571857.1|mhcii|seq343
antigen139|P65968|BX571857.1|mhcii|seq812	antigen139|P65968|BX571857.1|mhcii|seq1407
antigen139|P65968|BX571857.1|mhcii|seq812	antigen139|P65968|BX571857.1|mhcii|seq1318
antigen139|P65968|BX571857.1|mhcii|seq812	antigen139|P65968|BX571857.1|mhcii|seq1408
antigen139|P65968|BX571857.1|mhcii|seq812	antigen139|P65968|BX571857.1|mhcii|seq1319
antigen139|P65968|BX571857.1|mhcii|seq812	antigen139|P65968|BX571857.1|mhcii|seq665
antigen139|P65968|BX571857.1|mhcii|seq812	antigen139|P65968|BX571857.1|mhcii|seq38
antigen139|P65968|BX571857.1|mhcii|seq397	antigen139|P65968|BX571857.1|mhcii|seq397
antigen139|P65968|BX571857.1|mhcii|seq749	antigen139|P65968|BX571857.1|mhcii|seq749
antigen139|P65968|BX571857.1|mhcii|seq1069	antigen139|P65968|BX571857.1|mhcii|seq1069
antigen139|P65968|BX571857.1|mhcii|seq565	antigen139|P65968|BX571857.1|mhcii|seq565
antigen139|P65968|BX571857.1|mhcii|seq565	antigen139|P65968|BX571857.1|mhcii|seq566
antigen139|P65968|BX571857.1|mhcii|seq597	antigen139|P65968|BX571857.1|mhcii|seq597
antigen139|P65968|BX571857.1|mhcii|seq597	antigen139|P65968|BX571857.1|mhcii|seq257
antigen139|P65968|BX571857.1|mhcii|seq597	antigen139|P65968|BX571857.1|mhcii|seq258
antigen139|P65968|BX571857.1|mhcii|seq597	antigen139|P65968|BX571857.1|mhcii|seq931
antigen139|P65968|BX571857.1|mhcii|seq597	antigen139|P65968|BX571857.1|mhcii|seq929
antigen139|P65968|BX571857.1|mhcii|seq597	antigen139|P65968|BX571857.1|mhcii|seq930
antigen139|P65968|BX571857.1|mhcii|seq597	antigen139|P65968|BX571857.1|mhcii|seq932
antigen139|P65968|BX571857.1|mhcii|seq597	antigen139|P65968|BX571857.1|mhcii|seq933
antigen139|P65968|BX571857.1|mhcii|seq597	antigen139|P65968|BX571857.1|mhcii|seq402
antigen139|P65968|BX571857.1|mhcii|seq597	antigen139|P65968|BX571857.1|mhcii|seq403
antigen139|P65968|BX571857.1|mhcii|seq597	antigen139|P65968|BX571857.1|mhcii|seq595
antigen139|P65968|BX571857.1|mhcii|seq597	antigen139|P65968|BX571857.1|mhcii|seq1331
antigen139|P65968|BX571857.1|mhcii|seq597	antigen139|P65968|BX571857.1|mhcii|seq596
antigen139|P65968|BX571857.1|mhcii|seq597	antigen139|P65968|BX571857.1|mhcii|seq1332
antigen139|P65968|BX571857.1|mhcii|seq597	antigen139|P65968|BX571857.1|mhcii|seq1333
antigen139|P65968|BX571857.1|mhcii|seq597	antigen139|P65968|BX571857.1|mhcii|seq598
antigen139|P65968|BX571857.1|mhcii|seq597	antigen139|P65968|BX571857.1|mhcii|seq599
antigen139|P65968|BX571857.1|mhcii|seq597	antigen139|P65968|BX571857.1|mhcii|seq92
antigen139|P65968|BX571857.1|mhcii|seq597	antigen139|P65968|BX571857.1|mhcii|seq93
antigen139|P65968|BX571857.1|mhcii|seq597	antigen139|P65968|BX571857.1|mhcii|seq94
antigen139|P65968|BX571857.1|mhcii|seq597	antigen139|P65968|BX571857.1|mhcii|seq95
antigen139|P65968|BX571857.1|mhcii|seq597	antigen139|P65968|BX571857.1|mhcii|seq255
antigen139|P65968|BX571857.1|mhcii|seq597	antigen139|P65968|BX571857.1|mhcii|seq96
antigen139|P65968|BX571857.1|mhcii|seq597	antigen139|P65968|BX571857.1|mhcii|seq256
antigen139|P65968|BX571857.1|mhcii|seq1301	antigen139|P65968|BX571857.1|mhcii|seq1301
antigen139|P65968|BX571857.1|mhcii|seq208	antigen139|P65968|BX571857.1|mhcii|seq208
antigen139|P65968|BX571857.1|mhcii|seq944	antigen139|P65968|BX571857.1|mhcii|seq944
antigen139|P65968|BX571857.1|mhcii|seq944	antigen139|P65968|BX571857.1|mhcii|seq1302
antigen139|P65968|BX571857.1|mhcii|seq944	antigen139|P65968|BX571857.1|mhcii|seq945
antigen139|P65968|BX571857.1|mhcii|seq944	antigen139|P65968|BX571857.1|mhcii|seq1303
antigen139|P65968|BX571857.1|mhcii|seq625	antigen139|P65968|BX571857.1|mhcii|seq625
antigen139|P65968|BX571857.1|mhcii|seq753	antigen139|P65968|BX571857.1|mhcii|seq753
antigen139|P65968|BX571857.1|mhcii|seq753	antigen139|P65968|BX571857.1|mhcii|seq195
antigen139|P65968|BX571857.1|mhcii|seq753	antigen139|P65968|BX571857.1|mhcii|seq196
antigen139|P65968|BX571857.1|mhcii|seq753	antigen139|P65968|BX571857.1|mhcii|seq197
antigen139|P65968|BX571857.1|mhcii|seq753	antigen139|P65968|BX571857.1|mhcii|seq198
antigen139|P65968|BX571857.1|mhcii|seq753	antigen139|P65968|BX571857.1|mhcii|seq199
antigen139|P65968|BX571857.1|mhcii|seq753	antigen139|P65968|BX571857.1|mhcii|seq200
antigen139|P65968|BX571857.1|mhcii|seq753	antigen139|P65968|BX571857.1|mhcii|seq750
antigen139|P65968|BX571857.1|mhcii|seq753	antigen139|P65968|BX571857.1|mhcii|seq271
antigen139|P65968|BX571857.1|mhcii|seq753	antigen139|P65968|BX571857.1|mhcii|seq751
antigen139|P65968|BX571857.1|mhcii|seq753	antigen139|P65968|BX571857.1|mhcii|seq272
antigen139|P65968|BX571857.1|mhcii|seq753	antigen139|P65968|BX571857.1|mhcii|seq752
antigen139|P65968|BX571857.1|mhcii|seq753	antigen139|P65968|BX571857.1|mhcii|seq754
antigen139|P65968|BX571857.1|mhcii|seq753	antigen139|P65968|BX571857.1|mhcii|seq755
antigen139|P65968|BX571857.1|mhcii|seq753	antigen139|P65968|BX571857.1|mhcii|seq915
antigen139|P65968|BX571857.1|mhcii|seq753	antigen139|P65968|BX571857.1|mhcii|seq756
antigen139|P65968|BX571857.1|mhcii|seq753	antigen139|P65968|BX571857.1|mhcii|seq916
antigen139|P65968|BX571857.1|mhcii|seq753	antigen139|P65968|BX571857.1|mhcii|seq917
antigen139|P65968|BX571857.1|mhcii|seq753	antigen139|P65968|BX571857.1|mhcii|seq918
antigen139|P65968|BX571857.1|mhcii|seq753	antigen139|P65968|BX571857.1|mhcii|seq919
antigen139|P65968|BX571857.1|mhcii|seq753	antigen139|P65968|BX571857.1|mhcii|seq1015
antigen139|P65968|BX571857.1|mhcii|seq753	antigen139|P65968|BX571857.1|mhcii|seq1016
antigen139|P65968|BX571857.1|mhcii|seq753	antigen139|P65968|BX571857.1|mhcii|seq1465
antigen139|P65968|BX571857.1|mhcii|seq753	antigen139|P65968|BX571857.1|mhcii|seq1466
antigen139|P65968|BX571857.1|mhcii|seq753	antigen139|P65968|BX571857.1|mhcii|seq1467
antigen139|P65968|BX571857.1|mhcii|seq914	antigen139|P65968|BX571857.1|mhcii|seq914
antigen139|P65968|BX571857.1|mhcii|seq1010	antigen139|P65968|BX571857.1|mhcii|seq1010
antigen139|P65968|BX571857.1|mhcii|seq1010	antigen139|P65968|BX571857.1|mhcii|seq1009
antigen139|P65968|BX571857.1|mhcii|seq1010	antigen139|P65968|BX571857.1|mhcii|seq1011
antigen139|P65968|BX571857.1|mhcii|seq1010	antigen139|P65968|BX571857.1|mhcii|seq193
antigen139|P65968|BX571857.1|mhcii|seq1010	antigen139|P65968|BX571857.1|mhcii|seq194
antigen139|P65968|BX571857.1|mhcii|seq1010	antigen139|P65968|BX571857.1|mhcii|seq855
antigen139|P65968|BX571857.1|mhcii|seq1010	antigen139|P65968|BX571857.1|mhcii|seq854
antigen139|P65968|BX571857.1|mhcii|seq1010	antigen139|P65968|BX571857.1|mhcii|seq856
antigen139|P65968|BX571857.1|mhcii|seq435	antigen139|P65968|BX571857.1|mhcii|seq435
antigen139|P65968|BX571857.1|mhcii|seq435	antigen139|P65968|BX571857.1|mhcii|seq1125
antigen139|P65968|BX571857.1|mhcii|seq435	antigen139|P65968|BX571857.1|mhcii|seq238
antigen139|P65968|BX571857.1|mhcii|seq435	antigen139|P65968|BX571857.1|mhcii|seq239
antigen139|P65968|BX571857.1|mhcii|seq435	antigen139|P65968|BX571857.1|mhcii|seq433
antigen139|P65968|BX571857.1|mhcii|seq435	antigen139|P65968|BX571857.1|mhcii|seq434
antigen139|P65968|BX571857.1|mhcii|seq659	antigen139|P65968|BX571857.1|mhcii|seq659
antigen139|P65968|BX571857.1|mhcii|seq659	antigen139|P65968|BX571857.1|mhcii|seq32
antigen139|P65968|BX571857.1|mhcii|seq979	antigen139|P65968|BX571857.1|mhcii|seq979
antigen139|P65968|BX571857.1|mhcii|seq1142	antigen139|P65968|BX571857.1|mhcii|seq1142
antigen139|P65968|BX571857.1|mhcii|seq1142	antigen139|P65968|BX571857.1|mhcii|seq1143
antigen139|P65968|BX571857.1|mhcii|seq1142	antigen139|P65968|BX571857.1|mhcii|seq1144
antigen139|P65968|BX571857.1|mhcii|seq1142	antigen139|P65968|BX571857.1|mhcii|seq241
antigen139|P65968|BX571857.1|mhcii|seq1142	antigen139|P65968|BX571857.1|mhcii|seq3
antigen139|P65968|BX571857.1|mhcii|seq1142	antigen139|P65968|BX571857.1|mhcii|seq240
antigen139|P65968|BX571857.1|mhcii|seq1142	antigen139|P65968|BX571857.1|mhcii|seq2
antigen139|P65968|BX571857.1|mhcii|seq1142	antigen139|P65968|BX571857.1|mhcii|seq242
antigen139|P65968|BX571857.1|mhcii|seq1142	antigen139|P65968|BX571857.1|mhcii|seq4
antigen139|P65968|BX571857.1|mhcii|seq1142	antigen139|P65968|BX571857.1|mhcii|seq243
antigen139|P65968|BX571857.1|mhcii|seq1142	antigen139|P65968|BX571857.1|mhcii|seq5
antigen139|P65968|BX571857.1|mhcii|seq1142	antigen139|P65968|BX571857.1|mhcii|seq244
antigen139|P65968|BX571857.1|mhcii|seq1142	antigen139|P65968|BX571857.1|mhcii|seq6
antigen139|P65968|BX571857.1|mhcii|seq1142	antigen139|P65968|BX571857.1|mhcii|seq1361
antigen139|P65968|BX571857.1|mhcii|seq1142	antigen139|P65968|BX571857.1|mhcii|seq1362
antigen139|P65968|BX571857.1|mhcii|seq1142	antigen139|P65968|BX571857.1|mhcii|seq1363
antigen139|P65968|BX571857.1|mhcii|seq1142	antigen139|P65968|BX571857.1|mhcii|seq1141
antigen139|P65968|BX571857.1|mhcii|seq1142	antigen139|P65968|BX571857.1|mhcii|seq1084
antigen139|P65968|BX571857.1|mhcii|seq1111	antigen139|P65968|BX571857.1|mhcii|seq1111
antigen139|P65968|BX571857.1|mhcii|seq1111	antigen139|P65968|BX571857.1|mhcii|seq764
antigen139|P65968|BX571857.1|mhcii|seq1111	antigen139|P65968|BX571857.1|mhcii|seq765
antigen139|P65968|BX571857.1|mhcii|seq1399	antigen139|P65968|BX571857.1|mhcii|seq1399
antigen139|P65968|BX571857.1|mhcii|seq1399	antigen139|P65968|BX571857.1|mhcii|seq1398
antigen139|P65968|BX571857.1|mhcii|seq824	antigen139|P65968|BX571857.1|mhcii|seq824
antigen139|P65968|BX571857.1|mhcii|seq1437	antigen139|P65968|BX571857.1|mhcii|seq1437
antigen139|P65968|BX571857.1|mhcii|seq1437	antigen139|P65968|BX571857.1|mhcii|seq1421
antigen139|P65968|BX571857.1|mhcii|seq1437	antigen139|P65968|BX571857.1|mhcii|seq149
antigen139|P65968|BX571857.1|mhcii|seq1437	antigen139|P65968|BX571857.1|mhcii|seq1258
antigen139|P65968|BX571857.1|mhcii|seq1437	antigen139|P65968|BX571857.1|mhcii|seq148
antigen139|P65968|BX571857.1|mhcii|seq1437	antigen139|P65968|BX571857.1|mhcii|seq1257
antigen139|P65968|BX571857.1|mhcii|seq1437	antigen139|P65968|BX571857.1|mhcii|seq1436
antigen139|P65968|BX571857.1|mhcii|seq1437	antigen139|P65968|BX571857.1|mhcii|seq509
antigen139|P65968|BX571857.1|mhcii|seq1437	antigen139|P65968|BX571857.1|mhcii|seq1291
antigen139|P65968|BX571857.1|mhcii|seq1437	antigen139|P65968|BX571857.1|mhcii|seq506
antigen139|P65968|BX571857.1|mhcii|seq1437	antigen139|P65968|BX571857.1|mhcii|seq1288
antigen139|P65968|BX571857.1|mhcii|seq1437	antigen139|P65968|BX571857.1|mhcii|seq507
antigen139|P65968|BX571857.1|mhcii|seq1437	antigen139|P65968|BX571857.1|mhcii|seq1289
antigen139|P65968|BX571857.1|mhcii|seq1437	antigen139|P65968|BX571857.1|mhcii|seq508
antigen139|P65968|BX571857.1|mhcii|seq1437	antigen139|P65968|BX571857.1|mhcii|seq1290
antigen139|P65968|BX571857.1|mhcii|seq286	antigen139|P65968|BX571857.1|mhcii|seq286
antigen139|P65968|BX571857.1|mhcii|seq286	antigen139|P65968|BX571857.1|mhcii|seq287
antigen139|P65968|BX571857.1|mhcii|seq286	antigen139|P65968|BX571857.1|mhcii|seq1483
antigen139|P65968|BX571857.1|mhcii|seq286	antigen139|P65968|BX571857.1|mhcii|seq289
