antigen26|Q5HHQ3|BX571857.1|mhcii|seq2906	antigen26|Q5HHQ3|BX571857.1|mhcii|seq2906
antigen26|Q5HHQ3|BX571857.1|mhcii|seq3898	antigen26|Q5HHQ3|BX571857.1|mhcii|seq3898
antigen26|Q5HHQ3|BX571857.1|mhcii|seq3898	antigen26|Q5HHQ3|BX571857.1|mhcii|seq1477
antigen26|Q5HHQ3|BX571857.1|mhcii|seq3898	antigen26|Q5HHQ3|BX571857.1|mhcii|seq3897
antigen26|Q5HHQ3|BX571857.1|mhcii|seq91	antigen26|Q5HHQ3|BX571857.1|mhcii|seq91
antigen26|Q5HHQ3|BX571857.1|mhcii|seq1	antigen26|Q5HHQ3|BX571857.1|mhcii|seq1
antigen26|Q5HHQ3|BX571857.1|mhcii|seq225	antigen26|Q5HHQ3|BX571857.1|mhcii|seq225
antigen26|Q5HHQ3|BX571857.1|mhcii|seq225	antigen26|Q5HHQ3|BX571857.1|mhcii|seq390
antigen26|Q5HHQ3|BX571857.1|mhcii|seq225	antigen26|Q5HHQ3|BX571857.1|mhcii|seq902
antigen26|Q5HHQ3|BX571857.1|mhcii|seq225	antigen26|Q5HHQ3|BX571857.1|mhcii|seq2310
antigen26|Q5HHQ3|BX571857.1|mhcii|seq225	antigen26|Q5HHQ3|BX571857.1|mhcii|seq903
antigen26|Q5HHQ3|BX571857.1|mhcii|seq225	antigen26|Q5HHQ3|BX571857.1|mhcii|seq2311
antigen26|Q5HHQ3|BX571857.1|mhcii|seq225	antigen26|Q5HHQ3|BX571857.1|mhcii|seq2599
antigen26|Q5HHQ3|BX571857.1|mhcii|seq225	antigen26|Q5HHQ3|BX571857.1|mhcii|seq904
antigen26|Q5HHQ3|BX571857.1|mhcii|seq225	antigen26|Q5HHQ3|BX571857.1|mhcii|seq2312
antigen26|Q5HHQ3|BX571857.1|mhcii|seq225	antigen26|Q5HHQ3|BX571857.1|mhcii|seq2600
antigen26|Q5HHQ3|BX571857.1|mhcii|seq225	antigen26|Q5HHQ3|BX571857.1|mhcii|seq905
antigen26|Q5HHQ3|BX571857.1|mhcii|seq225	antigen26|Q5HHQ3|BX571857.1|mhcii|seq2313
antigen26|Q5HHQ3|BX571857.1|mhcii|seq225	antigen26|Q5HHQ3|BX571857.1|mhcii|seq906
antigen26|Q5HHQ3|BX571857.1|mhcii|seq225	antigen26|Q5HHQ3|BX571857.1|mhcii|seq2314
antigen26|Q5HHQ3|BX571857.1|mhcii|seq225	antigen26|Q5HHQ3|BX571857.1|mhcii|seq2315
antigen26|Q5HHQ3|BX571857.1|mhcii|seq225	antigen26|Q5HHQ3|BX571857.1|mhcii|seq400
antigen26|Q5HHQ3|BX571857.1|mhcii|seq225	antigen26|Q5HHQ3|BX571857.1|mhcii|seq401
antigen26|Q5HHQ3|BX571857.1|mhcii|seq225	antigen26|Q5HHQ3|BX571857.1|mhcii|seq402
antigen26|Q5HHQ3|BX571857.1|mhcii|seq225	antigen26|Q5HHQ3|BX571857.1|mhcii|seq2930
antigen26|Q5HHQ3|BX571857.1|mhcii|seq225	antigen26|Q5HHQ3|BX571857.1|mhcii|seq403
antigen26|Q5HHQ3|BX571857.1|mhcii|seq225	antigen26|Q5HHQ3|BX571857.1|mhcii|seq2931
antigen26|Q5HHQ3|BX571857.1|mhcii|seq225	antigen26|Q5HHQ3|BX571857.1|mhcii|seq404
antigen26|Q5HHQ3|BX571857.1|mhcii|seq225	antigen26|Q5HHQ3|BX571857.1|mhcii|seq2932
antigen26|Q5HHQ3|BX571857.1|mhcii|seq225	antigen26|Q5HHQ3|BX571857.1|mhcii|seq405
antigen26|Q5HHQ3|BX571857.1|mhcii|seq225	antigen26|Q5HHQ3|BX571857.1|mhcii|seq2933
antigen26|Q5HHQ3|BX571857.1|mhcii|seq225	antigen26|Q5HHQ3|BX571857.1|mhcii|seq1334
antigen26|Q5HHQ3|BX571857.1|mhcii|seq225	antigen26|Q5HHQ3|BX571857.1|mhcii|seq2934
antigen26|Q5HHQ3|BX571857.1|mhcii|seq225	antigen26|Q5HHQ3|BX571857.1|mhcii|seq1335
antigen26|Q5HHQ3|BX571857.1|mhcii|seq225	antigen26|Q5HHQ3|BX571857.1|mhcii|seq2935
antigen26|Q5HHQ3|BX571857.1|mhcii|seq225	antigen26|Q5HHQ3|BX571857.1|mhcii|seq3831
antigen26|Q5HHQ3|BX571857.1|mhcii|seq225	antigen26|Q5HHQ3|BX571857.1|mhcii|seq1336
antigen26|Q5HHQ3|BX571857.1|mhcii|seq225	antigen26|Q5HHQ3|BX571857.1|mhcii|seq3832
antigen26|Q5HHQ3|BX571857.1|mhcii|seq225	antigen26|Q5HHQ3|BX571857.1|mhcii|seq2713
antigen26|Q5HHQ3|BX571857.1|mhcii|seq225	antigen26|Q5HHQ3|BX571857.1|mhcii|seq3833
antigen26|Q5HHQ3|BX571857.1|mhcii|seq225	antigen26|Q5HHQ3|BX571857.1|mhcii|seq2714
antigen26|Q5HHQ3|BX571857.1|mhcii|seq225	antigen26|Q5HHQ3|BX571857.1|mhcii|seq3834
antigen26|Q5HHQ3|BX571857.1|mhcii|seq225	antigen26|Q5HHQ3|BX571857.1|mhcii|seq4154
antigen26|Q5HHQ3|BX571857.1|mhcii|seq225	antigen26|Q5HHQ3|BX571857.1|mhcii|seq2715
antigen26|Q5HHQ3|BX571857.1|mhcii|seq225	antigen26|Q5HHQ3|BX571857.1|mhcii|seq3835
antigen26|Q5HHQ3|BX571857.1|mhcii|seq225	antigen26|Q5HHQ3|BX571857.1|mhcii|seq4155
antigen26|Q5HHQ3|BX571857.1|mhcii|seq225	antigen26|Q5HHQ3|BX571857.1|mhcii|seq220
antigen26|Q5HHQ3|BX571857.1|mhcii|seq225	antigen26|Q5HHQ3|BX571857.1|mhcii|seq2716
antigen26|Q5HHQ3|BX571857.1|mhcii|seq225	antigen26|Q5HHQ3|BX571857.1|mhcii|seq3836
antigen26|Q5HHQ3|BX571857.1|mhcii|seq225	antigen26|Q5HHQ3|BX571857.1|mhcii|seq4156
antigen26|Q5HHQ3|BX571857.1|mhcii|seq225	antigen26|Q5HHQ3|BX571857.1|mhcii|seq221
antigen26|Q5HHQ3|BX571857.1|mhcii|seq225	antigen26|Q5HHQ3|BX571857.1|mhcii|seq2717
antigen26|Q5HHQ3|BX571857.1|mhcii|seq225	antigen26|Q5HHQ3|BX571857.1|mhcii|seq4157
antigen26|Q5HHQ3|BX571857.1|mhcii|seq225	antigen26|Q5HHQ3|BX571857.1|mhcii|seq222
antigen26|Q5HHQ3|BX571857.1|mhcii|seq225	antigen26|Q5HHQ3|BX571857.1|mhcii|seq2718
antigen26|Q5HHQ3|BX571857.1|mhcii|seq225	antigen26|Q5HHQ3|BX571857.1|mhcii|seq223
antigen26|Q5HHQ3|BX571857.1|mhcii|seq225	antigen26|Q5HHQ3|BX571857.1|mhcii|seq224
antigen26|Q5HHQ3|BX571857.1|mhcii|seq577	antigen26|Q5HHQ3|BX571857.1|mhcii|seq577
antigen26|Q5HHQ3|BX571857.1|mhcii|seq577	antigen26|Q5HHQ3|BX571857.1|mhcii|seq578
antigen26|Q5HHQ3|BX571857.1|mhcii|seq577	antigen26|Q5HHQ3|BX571857.1|mhcii|seq579
antigen26|Q5HHQ3|BX571857.1|mhcii|seq577	antigen26|Q5HHQ3|BX571857.1|mhcii|seq1708
