antigen33|Q2FWH7|CP002114.3|mhcii|seq556	antigen33|Q2FWH7|CP002114.3|mhcii|seq556
antigen33|Q2FWH7|CP002114.3|mhcii|seq237	antigen33|Q2FWH7|CP002114.3|mhcii|seq237
antigen33|Q2FWH7|CP002114.3|mhcii|seq237	antigen33|Q2FWH7|CP002114.3|mhcii|seq236
antigen33|Q2FWH7|CP002114.3|mhcii|seq237	antigen33|Q2FWH7|CP002114.3|mhcii|seq238
antigen33|Q2FWH7|CP002114.3|mhcii|seq237	antigen33|Q2FWH7|CP002114.3|mhcii|seq67
antigen33|Q2FWH7|CP002114.3|mhcii|seq237	antigen33|Q2FWH7|CP002114.3|mhcii|seq297
antigen33|Q2FWH7|CP002114.3|mhcii|seq237	antigen33|Q2FWH7|CP002114.3|mhcii|seq68
antigen33|Q2FWH7|CP002114.3|mhcii|seq237	antigen33|Q2FWH7|CP002114.3|mhcii|seq69
antigen33|Q2FWH7|CP002114.3|mhcii|seq237	antigen33|Q2FWH7|CP002114.3|mhcii|seq70
antigen33|Q2FWH7|CP002114.3|mhcii|seq237	antigen33|Q2FWH7|CP002114.3|mhcii|seq71
antigen33|Q2FWH7|CP002114.3|mhcii|seq237	antigen33|Q2FWH7|CP002114.3|mhcii|seq295
antigen33|Q2FWH7|CP002114.3|mhcii|seq237	antigen33|Q2FWH7|CP002114.3|mhcii|seq296
antigen33|Q2FWH7|CP002114.3|mhcii|seq237	antigen33|Q2FWH7|CP002114.3|mhcii|seq298
antigen33|Q2FWH7|CP002114.3|mhcii|seq237	antigen33|Q2FWH7|CP002114.3|mhcii|seq299
antigen33|Q2FWH7|CP002114.3|mhcii|seq237	antigen33|Q2FWH7|CP002114.3|mhcii|seq557
antigen33|Q2FWH7|CP002114.3|mhcii|seq237	antigen33|Q2FWH7|CP002114.3|mhcii|seq558
antigen33|Q2FWH7|CP002114.3|mhcii|seq237	antigen33|Q2FWH7|CP002114.3|mhcii|seq239
antigen33|Q2FWH7|CP002114.3|mhcii|seq237	antigen33|Q2FWH7|CP002114.3|mhcii|seq240
antigen33|Q2FWH7|CP002114.3|mhcii|seq237	antigen33|Q2FWH7|CP002114.3|mhcii|seq56
antigen33|Q2FWH7|CP002114.3|mhcii|seq237	antigen33|Q2FWH7|CP002114.3|mhcii|seq57
antigen33|Q2FWH7|CP002114.3|mhcii|seq237	antigen33|Q2FWH7|CP002114.3|mhcii|seq235
antigen33|Q2FWH7|CP002114.3|mhcii|seq237	antigen33|Q2FWH7|CP002114.3|mhcii|seq53
antigen33|Q2FWH7|CP002114.3|mhcii|seq237	antigen33|Q2FWH7|CP002114.3|mhcii|seq55
antigen33|Q2FWH7|CP002114.3|mhcii|seq237	antigen33|Q2FWH7|CP002114.3|mhcii|seq54
antigen33|Q2FWH7|CP002114.3|mhcii|seq237	antigen33|Q2FWH7|CP002114.3|mhcii|seq58
antigen33|Q2FWH7|CP002114.3|mhcii|seq237	antigen33|Q2FWH7|CP002114.3|mhcii|seq314
antigen33|Q2FWH7|CP002114.3|mhcii|seq237	antigen33|Q2FWH7|CP002114.3|mhcii|seq484
