antigen129|P63980|CP002114.3|mhcii|seq1	antigen129|P63980|CP002114.3|mhcii|seq1
antigen129|P63980|CP002114.3|mhcii|seq225	antigen129|P63980|CP002114.3|mhcii|seq225
antigen129|P63980|CP002114.3|mhcii|seq385	antigen129|P63980|CP002114.3|mhcii|seq385
antigen129|P63980|CP002114.3|mhcii|seq481	antigen129|P63980|CP002114.3|mhcii|seq481
antigen129|P63980|CP002114.3|mhcii|seq481	antigen129|P63980|CP002114.3|mhcii|seq673
antigen129|P63980|CP002114.3|mhcii|seq481	antigen129|P63980|CP002114.3|mhcii|seq1409
antigen129|P63980|CP002114.3|mhcii|seq481	antigen129|P63980|CP002114.3|mhcii|seq482
antigen129|P63980|CP002114.3|mhcii|seq481	antigen129|P63980|CP002114.3|mhcii|seq674
antigen129|P63980|CP002114.3|mhcii|seq481	antigen129|P63980|CP002114.3|mhcii|seq1410
antigen129|P63980|CP002114.3|mhcii|seq481	antigen129|P63980|CP002114.3|mhcii|seq3170
antigen129|P63980|CP002114.3|mhcii|seq481	antigen129|P63980|CP002114.3|mhcii|seq483
antigen129|P63980|CP002114.3|mhcii|seq481	antigen129|P63980|CP002114.3|mhcii|seq675
antigen129|P63980|CP002114.3|mhcii|seq481	antigen129|P63980|CP002114.3|mhcii|seq1411
antigen129|P63980|CP002114.3|mhcii|seq481	antigen129|P63980|CP002114.3|mhcii|seq3171
antigen129|P63980|CP002114.3|mhcii|seq481	antigen129|P63980|CP002114.3|mhcii|seq676
antigen129|P63980|CP002114.3|mhcii|seq481	antigen129|P63980|CP002114.3|mhcii|seq3172
antigen129|P63980|CP002114.3|mhcii|seq481	antigen129|P63980|CP002114.3|mhcii|seq677
antigen129|P63980|CP002114.3|mhcii|seq481	antigen129|P63980|CP002114.3|mhcii|seq2949
antigen129|P63980|CP002114.3|mhcii|seq481	antigen129|P63980|CP002114.3|mhcii|seq5961
antigen129|P63980|CP002114.3|mhcii|seq481	antigen129|P63980|CP002114.3|mhcii|seq3173
antigen129|P63980|CP002114.3|mhcii|seq481	antigen129|P63980|CP002114.3|mhcii|seq678
antigen129|P63980|CP002114.3|mhcii|seq481	antigen129|P63980|CP002114.3|mhcii|seq2950
antigen129|P63980|CP002114.3|mhcii|seq481	antigen129|P63980|CP002114.3|mhcii|seq3174
antigen129|P63980|CP002114.3|mhcii|seq481	antigen129|P63980|CP002114.3|mhcii|seq6197
antigen129|P63980|CP002114.3|mhcii|seq481	antigen129|P63980|CP002114.3|mhcii|seq6198
antigen129|P63980|CP002114.3|mhcii|seq481	antigen129|P63980|CP002114.3|mhcii|seq6199
antigen129|P63980|CP002114.3|mhcii|seq481	antigen129|P63980|CP002114.3|mhcii|seq4888
antigen129|P63980|CP002114.3|mhcii|seq481	antigen129|P63980|CP002114.3|mhcii|seq6200
antigen129|P63980|CP002114.3|mhcii|seq481	antigen129|P63980|CP002114.3|mhcii|seq4889
antigen129|P63980|CP002114.3|mhcii|seq481	antigen129|P63980|CP002114.3|mhcii|seq6201
antigen129|P63980|CP002114.3|mhcii|seq481	antigen129|P63980|CP002114.3|mhcii|seq4890
antigen129|P63980|CP002114.3|mhcii|seq481	antigen129|P63980|CP002114.3|mhcii|seq6202
antigen129|P63980|CP002114.3|mhcii|seq481	antigen129|P63980|CP002114.3|mhcii|seq478
