antigen14|A5IRD0|CP000253.1|mhcii|seq6120	antigen14|A5IRD0|CP000253.1|mhcii|seq6120
antigen14|A5IRD0|CP000253.1|mhcii|seq6152	antigen14|A5IRD0|CP000253.1|mhcii|seq6152
antigen14|A5IRD0|CP000253.1|mhcii|seq6728	antigen14|A5IRD0|CP000253.1|mhcii|seq6728
antigen14|A5IRD0|CP000253.1|mhcii|seq7208	antigen14|A5IRD0|CP000253.1|mhcii|seq7208
antigen14|A5IRD0|CP000253.1|mhcii|seq7688	antigen14|A5IRD0|CP000253.1|mhcii|seq7688
antigen14|A5IRD0|CP000253.1|mhcii|seq7688	antigen14|A5IRD0|CP000253.1|mhcii|seq4172
antigen14|A5IRD0|CP000253.1|mhcii|seq7688	antigen14|A5IRD0|CP000253.1|mhcii|seq4171
antigen14|A5IRD0|CP000253.1|mhcii|seq7688	antigen14|A5IRD0|CP000253.1|mhcii|seq935
antigen14|A5IRD0|CP000253.1|mhcii|seq7688	antigen14|A5IRD0|CP000253.1|mhcii|seq933
antigen14|A5IRD0|CP000253.1|mhcii|seq7688	antigen14|A5IRD0|CP000253.1|mhcii|seq934
antigen14|A5IRD0|CP000253.1|mhcii|seq7688	antigen14|A5IRD0|CP000253.1|mhcii|seq936
antigen14|A5IRD0|CP000253.1|mhcii|seq7688	antigen14|A5IRD0|CP000253.1|mhcii|seq7689
antigen14|A5IRD0|CP000253.1|mhcii|seq7688	antigen14|A5IRD0|CP000253.1|mhcii|seq4170
antigen14|A5IRD0|CP000253.1|mhcii|seq7688	antigen14|A5IRD0|CP000253.1|mhcii|seq5450
antigen14|A5IRD0|CP000253.1|mhcii|seq7688	antigen14|A5IRD0|CP000253.1|mhcii|seq10096
antigen14|A5IRD0|CP000253.1|mhcii|seq7688	antigen14|A5IRD0|CP000253.1|mhcii|seq3878
antigen14|A5IRD0|CP000253.1|mhcii|seq7688	antigen14|A5IRD0|CP000253.1|mhcii|seq3879
antigen14|A5IRD0|CP000253.1|mhcii|seq7688	antigen14|A5IRD0|CP000253.1|mhcii|seq5447
antigen14|A5IRD0|CP000253.1|mhcii|seq7688	antigen14|A5IRD0|CP000253.1|mhcii|seq5448
antigen14|A5IRD0|CP000253.1|mhcii|seq7688	antigen14|A5IRD0|CP000253.1|mhcii|seq937
antigen14|A5IRD0|CP000253.1|mhcii|seq7688	antigen14|A5IRD0|CP000253.1|mhcii|seq5449
antigen14|A5IRD0|CP000253.1|mhcii|seq7688	antigen14|A5IRD0|CP000253.1|mhcii|seq10095
antigen14|A5IRD0|CP000253.1|mhcii|seq7688	antigen14|A5IRD0|CP000253.1|mhcii|seq938
antigen14|A5IRD0|CP000253.1|mhcii|seq7688	antigen14|A5IRD0|CP000253.1|mhcii|seq939
antigen14|A5IRD0|CP000253.1|mhcii|seq7688	antigen14|A5IRD0|CP000253.1|mhcii|seq5451
antigen14|A5IRD0|CP000253.1|mhcii|seq7688	antigen14|A5IRD0|CP000253.1|mhcii|seq10097
antigen14|A5IRD0|CP000253.1|mhcii|seq7688	antigen14|A5IRD0|CP000253.1|mhcii|seq940
antigen14|A5IRD0|CP000253.1|mhcii|seq7688	antigen14|A5IRD0|CP000253.1|mhcii|seq5452
antigen14|A5IRD0|CP000253.1|mhcii|seq7688	antigen14|A5IRD0|CP000253.1|mhcii|seq10098
