antigen91|Q6GIE0|BX571857.1|mhcii|seq129	antigen91|Q6GIE0|BX571857.1|mhcii|seq129
antigen91|Q6GIE0|BX571857.1|mhcii|seq161	antigen91|Q6GIE0|BX571857.1|mhcii|seq161
antigen91|Q6GIE0|BX571857.1|mhcii|seq161	antigen91|Q6GIE0|BX571857.1|mhcii|seq162
antigen91|Q6GIE0|BX571857.1|mhcii|seq161	antigen91|Q6GIE0|BX571857.1|mhcii|seq163
antigen91|Q6GIE0|BX571857.1|mhcii|seq161	antigen91|Q6GIE0|BX571857.1|mhcii|seq159
antigen91|Q6GIE0|BX571857.1|mhcii|seq161	antigen91|Q6GIE0|BX571857.1|mhcii|seq160
antigen91|Q6GIE0|BX571857.1|mhcii|seq161	antigen91|Q6GIE0|BX571857.1|mhcii|seq76
antigen91|Q6GIE0|BX571857.1|mhcii|seq161	antigen91|Q6GIE0|BX571857.1|mhcii|seq80
antigen91|Q6GIE0|BX571857.1|mhcii|seq161	antigen91|Q6GIE0|BX571857.1|mhcii|seq164
antigen91|Q6GIE0|BX571857.1|mhcii|seq161	antigen91|Q6GIE0|BX571857.1|mhcii|seq77
antigen91|Q6GIE0|BX571857.1|mhcii|seq161	antigen91|Q6GIE0|BX571857.1|mhcii|seq78
antigen91|Q6GIE0|BX571857.1|mhcii|seq161	antigen91|Q6GIE0|BX571857.1|mhcii|seq79
antigen91|Q6GIE0|BX571857.1|mhcii|seq161	antigen91|Q6GIE0|BX571857.1|mhcii|seq272
antigen91|Q6GIE0|BX571857.1|mhcii|seq161	antigen91|Q6GIE0|BX571857.1|mhcii|seq273
antigen91|Q6GIE0|BX571857.1|mhcii|seq161	antigen91|Q6GIE0|BX571857.1|mhcii|seq497
antigen91|Q6GIE0|BX571857.1|mhcii|seq161	antigen91|Q6GIE0|BX571857.1|mhcii|seq498
antigen91|Q6GIE0|BX571857.1|mhcii|seq161	antigen91|Q6GIE0|BX571857.1|mhcii|seq499
antigen91|Q6GIE0|BX571857.1|mhcii|seq161	antigen91|Q6GIE0|BX571857.1|mhcii|seq954
antigen91|Q6GIE0|BX571857.1|mhcii|seq161	antigen91|Q6GIE0|BX571857.1|mhcii|seq496
antigen91|Q6GIE0|BX571857.1|mhcii|seq225	antigen91|Q6GIE0|BX571857.1|mhcii|seq225
antigen91|Q6GIE0|BX571857.1|mhcii|seq225	antigen91|Q6GIE0|BX571857.1|mhcii|seq995
antigen91|Q6GIE0|BX571857.1|mhcii|seq225	antigen91|Q6GIE0|BX571857.1|mhcii|seq996
antigen91|Q6GIE0|BX571857.1|mhcii|seq225	antigen91|Q6GIE0|BX571857.1|mhcii|seq933
antigen91|Q6GIE0|BX571857.1|mhcii|seq225	antigen91|Q6GIE0|BX571857.1|mhcii|seq997
antigen91|Q6GIE0|BX571857.1|mhcii|seq225	antigen91|Q6GIE0|BX571857.1|mhcii|seq934
antigen91|Q6GIE0|BX571857.1|mhcii|seq225	antigen91|Q6GIE0|BX571857.1|mhcii|seq998
antigen91|Q6GIE0|BX571857.1|mhcii|seq225	antigen91|Q6GIE0|BX571857.1|mhcii|seq935
antigen91|Q6GIE0|BX571857.1|mhcii|seq225	antigen91|Q6GIE0|BX571857.1|mhcii|seq936
antigen91|Q6GIE0|BX571857.1|mhcii|seq225	antigen91|Q6GIE0|BX571857.1|mhcii|seq265
antigen91|Q6GIE0|BX571857.1|mhcii|seq225	antigen91|Q6GIE0|BX571857.1|mhcii|seq937
antigen91|Q6GIE0|BX571857.1|mhcii|seq225	antigen91|Q6GIE0|BX571857.1|mhcii|seq266
antigen91|Q6GIE0|BX571857.1|mhcii|seq225	antigen91|Q6GIE0|BX571857.1|mhcii|seq267
antigen91|Q6GIE0|BX571857.1|mhcii|seq225	antigen91|Q6GIE0|BX571857.1|mhcii|seq268
antigen91|Q6GIE0|BX571857.1|mhcii|seq225	antigen91|Q6GIE0|BX571857.1|mhcii|seq269
antigen91|Q6GIE0|BX571857.1|mhcii|seq225	antigen91|Q6GIE0|BX571857.1|mhcii|seq270
antigen91|Q6GIE0|BX571857.1|mhcii|seq225	antigen91|Q6GIE0|BX571857.1|mhcii|seq1582
antigen91|Q6GIE0|BX571857.1|mhcii|seq225	antigen91|Q6GIE0|BX571857.1|mhcii|seq1583
antigen91|Q6GIE0|BX571857.1|mhcii|seq225	antigen91|Q6GIE0|BX571857.1|mhcii|seq1584
antigen91|Q6GIE0|BX571857.1|mhcii|seq225	antigen91|Q6GIE0|BX571857.1|mhcii|seq595
antigen91|Q6GIE0|BX571857.1|mhcii|seq225	antigen91|Q6GIE0|BX571857.1|mhcii|seq596
antigen91|Q6GIE0|BX571857.1|mhcii|seq225	antigen91|Q6GIE0|BX571857.1|mhcii|seq565
antigen91|Q6GIE0|BX571857.1|mhcii|seq225	antigen91|Q6GIE0|BX571857.1|mhcii|seq597
antigen91|Q6GIE0|BX571857.1|mhcii|seq225	antigen91|Q6GIE0|BX571857.1|mhcii|seq566
antigen91|Q6GIE0|BX571857.1|mhcii|seq225	antigen91|Q6GIE0|BX571857.1|mhcii|seq598
antigen91|Q6GIE0|BX571857.1|mhcii|seq225	antigen91|Q6GIE0|BX571857.1|mhcii|seq119
antigen91|Q6GIE0|BX571857.1|mhcii|seq225	antigen91|Q6GIE0|BX571857.1|mhcii|seq535
antigen91|Q6GIE0|BX571857.1|mhcii|seq225	antigen91|Q6GIE0|BX571857.1|mhcii|seq567
antigen91|Q6GIE0|BX571857.1|mhcii|seq225	antigen91|Q6GIE0|BX571857.1|mhcii|seq599
antigen91|Q6GIE0|BX571857.1|mhcii|seq225	antigen91|Q6GIE0|BX571857.1|mhcii|seq120
antigen91|Q6GIE0|BX571857.1|mhcii|seq225	antigen91|Q6GIE0|BX571857.1|mhcii|seq536
antigen91|Q6GIE0|BX571857.1|mhcii|seq225	antigen91|Q6GIE0|BX571857.1|mhcii|seq568
antigen91|Q6GIE0|BX571857.1|mhcii|seq225	antigen91|Q6GIE0|BX571857.1|mhcii|seq600
antigen91|Q6GIE0|BX571857.1|mhcii|seq225	antigen91|Q6GIE0|BX571857.1|mhcii|seq537
antigen91|Q6GIE0|BX571857.1|mhcii|seq225	antigen91|Q6GIE0|BX571857.1|mhcii|seq569
antigen91|Q6GIE0|BX571857.1|mhcii|seq225	antigen91|Q6GIE0|BX571857.1|mhcii|seq1369
antigen91|Q6GIE0|BX571857.1|mhcii|seq225	antigen91|Q6GIE0|BX571857.1|mhcii|seq538
antigen91|Q6GIE0|BX571857.1|mhcii|seq225	antigen91|Q6GIE0|BX571857.1|mhcii|seq570
antigen91|Q6GIE0|BX571857.1|mhcii|seq225	antigen91|Q6GIE0|BX571857.1|mhcii|seq539
antigen91|Q6GIE0|BX571857.1|mhcii|seq225	antigen91|Q6GIE0|BX571857.1|mhcii|seq1531
antigen91|Q6GIE0|BX571857.1|mhcii|seq225	antigen91|Q6GIE0|BX571857.1|mhcii|seq220
antigen91|Q6GIE0|BX571857.1|mhcii|seq225	antigen91|Q6GIE0|BX571857.1|mhcii|seq540
antigen91|Q6GIE0|BX571857.1|mhcii|seq225	antigen91|Q6GIE0|BX571857.1|mhcii|seq1532
antigen91|Q6GIE0|BX571857.1|mhcii|seq225	antigen91|Q6GIE0|BX571857.1|mhcii|seq221
antigen91|Q6GIE0|BX571857.1|mhcii|seq225	antigen91|Q6GIE0|BX571857.1|mhcii|seq1533
antigen91|Q6GIE0|BX571857.1|mhcii|seq225	antigen91|Q6GIE0|BX571857.1|mhcii|seq222
antigen91|Q6GIE0|BX571857.1|mhcii|seq225	antigen91|Q6GIE0|BX571857.1|mhcii|seq1534
antigen91|Q6GIE0|BX571857.1|mhcii|seq225	antigen91|Q6GIE0|BX571857.1|mhcii|seq223
antigen91|Q6GIE0|BX571857.1|mhcii|seq225	antigen91|Q6GIE0|BX571857.1|mhcii|seq1535
antigen91|Q6GIE0|BX571857.1|mhcii|seq225	antigen91|Q6GIE0|BX571857.1|mhcii|seq224
antigen91|Q6GIE0|BX571857.1|mhcii|seq225	antigen91|Q6GIE0|BX571857.1|mhcii|seq1536
antigen91|Q6GIE0|BX571857.1|mhcii|seq737	antigen91|Q6GIE0|BX571857.1|mhcii|seq737
antigen91|Q6GIE0|BX571857.1|mhcii|seq737	antigen91|Q6GIE0|BX571857.1|mhcii|seq1025
antigen91|Q6GIE0|BX571857.1|mhcii|seq737	antigen91|Q6GIE0|BX571857.1|mhcii|seq1026
antigen91|Q6GIE0|BX571857.1|mhcii|seq737	antigen91|Q6GIE0|BX571857.1|mhcii|seq1027
antigen91|Q6GIE0|BX571857.1|mhcii|seq737	antigen91|Q6GIE0|BX571857.1|mhcii|seq1028
antigen91|Q6GIE0|BX571857.1|mhcii|seq737	antigen91|Q6GIE0|BX571857.1|mhcii|seq2020
antigen91|Q6GIE0|BX571857.1|mhcii|seq737	antigen91|Q6GIE0|BX571857.1|mhcii|seq2021
antigen91|Q6GIE0|BX571857.1|mhcii|seq737	antigen91|Q6GIE0|BX571857.1|mhcii|seq2022
antigen91|Q6GIE0|BX571857.1|mhcii|seq737	antigen91|Q6GIE0|BX571857.1|mhcii|seq295
antigen91|Q6GIE0|BX571857.1|mhcii|seq737	antigen91|Q6GIE0|BX571857.1|mhcii|seq2023
antigen91|Q6GIE0|BX571857.1|mhcii|seq737	antigen91|Q6GIE0|BX571857.1|mhcii|seq296
