antigen5|Q7A768|CP000253.1|mhcii|seq4739	antigen5|Q7A768|CP000253.1|mhcii|seq4739
antigen5|Q7A768|CP000253.1|mhcii|seq5251	antigen5|Q7A768|CP000253.1|mhcii|seq5251
antigen5|Q7A768|CP000253.1|mhcii|seq5251	antigen5|Q7A768|CP000253.1|mhcii|seq5252
antigen5|Q7A768|CP000253.1|mhcii|seq5251	antigen5|Q7A768|CP000253.1|mhcii|seq3158
antigen5|Q7A768|CP000253.1|mhcii|seq5475	antigen5|Q7A768|CP000253.1|mhcii|seq5475
antigen5|Q7A768|CP000253.1|mhcii|seq5475	antigen5|Q7A768|CP000253.1|mhcii|seq2433
antigen5|Q7A768|CP000253.1|mhcii|seq5475	antigen5|Q7A768|CP000253.1|mhcii|seq5473
antigen5|Q7A768|CP000253.1|mhcii|seq5475	antigen5|Q7A768|CP000253.1|mhcii|seq2434
antigen5|Q7A768|CP000253.1|mhcii|seq5475	antigen5|Q7A768|CP000253.1|mhcii|seq5474
antigen5|Q7A768|CP000253.1|mhcii|seq5475	antigen5|Q7A768|CP000253.1|mhcii|seq2435
antigen5|Q7A768|CP000253.1|mhcii|seq5475	antigen5|Q7A768|CP000253.1|mhcii|seq900
antigen5|Q7A768|CP000253.1|mhcii|seq5475	antigen5|Q7A768|CP000253.1|mhcii|seq2436
antigen5|Q7A768|CP000253.1|mhcii|seq5475	antigen5|Q7A768|CP000253.1|mhcii|seq901
antigen5|Q7A768|CP000253.1|mhcii|seq5475	antigen5|Q7A768|CP000253.1|mhcii|seq902
antigen5|Q7A768|CP000253.1|mhcii|seq5475	antigen5|Q7A768|CP000253.1|mhcii|seq3814
antigen5|Q7A768|CP000253.1|mhcii|seq5475	antigen5|Q7A768|CP000253.1|mhcii|seq903
antigen5|Q7A768|CP000253.1|mhcii|seq5475	antigen5|Q7A768|CP000253.1|mhcii|seq3815
antigen5|Q7A768|CP000253.1|mhcii|seq5475	antigen5|Q7A768|CP000253.1|mhcii|seq904
antigen5|Q7A768|CP000253.1|mhcii|seq5475	antigen5|Q7A768|CP000253.1|mhcii|seq1992
antigen5|Q7A768|CP000253.1|mhcii|seq5475	antigen5|Q7A768|CP000253.1|mhcii|seq3816
antigen5|Q7A768|CP000253.1|mhcii|seq5475	antigen5|Q7A768|CP000253.1|mhcii|seq1993
antigen5|Q7A768|CP000253.1|mhcii|seq5475	antigen5|Q7A768|CP000253.1|mhcii|seq1994
antigen5|Q7A768|CP000253.1|mhcii|seq5475	antigen5|Q7A768|CP000253.1|mhcii|seq555
antigen5|Q7A768|CP000253.1|mhcii|seq5475	antigen5|Q7A768|CP000253.1|mhcii|seq1995
antigen5|Q7A768|CP000253.1|mhcii|seq5475	antigen5|Q7A768|CP000253.1|mhcii|seq556
antigen5|Q7A768|CP000253.1|mhcii|seq5475	antigen5|Q7A768|CP000253.1|mhcii|seq5516
antigen5|Q7A768|CP000253.1|mhcii|seq5475	antigen5|Q7A768|CP000253.1|mhcii|seq557
antigen5|Q7A768|CP000253.1|mhcii|seq5475	antigen5|Q7A768|CP000253.1|mhcii|seq5517
antigen5|Q7A768|CP000253.1|mhcii|seq5475	antigen5|Q7A768|CP000253.1|mhcii|seq558
antigen5|Q7A768|CP000253.1|mhcii|seq5475	antigen5|Q7A768|CP000253.1|mhcii|seq5518
antigen5|Q7A768|CP000253.1|mhcii|seq5475	antigen5|Q7A768|CP000253.1|mhcii|seq559
antigen5|Q7A768|CP000253.1|mhcii|seq5475	antigen5|Q7A768|CP000253.1|mhcii|seq5519
antigen5|Q7A768|CP000253.1|mhcii|seq5475	antigen5|Q7A768|CP000253.1|mhcii|seq560
antigen5|Q7A768|CP000253.1|mhcii|seq5475	antigen5|Q7A768|CP000253.1|mhcii|seq5520
antigen5|Q7A768|CP000253.1|mhcii|seq5475	antigen5|Q7A768|CP000253.1|mhcii|seq4849
antigen5|Q7A768|CP000253.1|mhcii|seq5475	antigen5|Q7A768|CP000253.1|mhcii|seq4850
antigen5|Q7A768|CP000253.1|mhcii|seq5475	antigen5|Q7A768|CP000253.1|mhcii|seq4851
antigen5|Q7A768|CP000253.1|mhcii|seq5475	antigen5|Q7A768|CP000253.1|mhcii|seq4852
antigen5|Q7A768|CP000253.1|mhcii|seq5475	antigen5|Q7A768|CP000253.1|mhcii|seq4853
antigen5|Q7A768|CP000253.1|mhcii|seq5475	antigen5|Q7A768|CP000253.1|mhcii|seq4854
antigen5|Q7A768|CP000253.1|mhcii|seq5475	antigen5|Q7A768|CP000253.1|mhcii|seq2491
antigen5|Q7A768|CP000253.1|mhcii|seq5475	antigen5|Q7A768|CP000253.1|mhcii|seq2492
antigen5|Q7A768|CP000253.1|mhcii|seq5475	antigen5|Q7A768|CP000253.1|mhcii|seq2493
antigen5|Q7A768|CP000253.1|mhcii|seq5475	antigen5|Q7A768|CP000253.1|mhcii|seq2494
antigen5|Q7A768|CP000253.1|mhcii|seq5475	antigen5|Q7A768|CP000253.1|mhcii|seq5470
antigen5|Q7A768|CP000253.1|mhcii|seq5475	antigen5|Q7A768|CP000253.1|mhcii|seq2495
antigen5|Q7A768|CP000253.1|mhcii|seq5475	antigen5|Q7A768|CP000253.1|mhcii|seq5471
antigen5|Q7A768|CP000253.1|mhcii|seq5475	antigen5|Q7A768|CP000253.1|mhcii|seq2496
antigen5|Q7A768|CP000253.1|mhcii|seq5475	antigen5|Q7A768|CP000253.1|mhcii|seq5472
antigen5|Q7A768|CP000253.1|mhcii|seq4	antigen5|Q7A768|CP000253.1|mhcii|seq4
antigen5|Q7A768|CP000253.1|mhcii|seq4	antigen5|Q7A768|CP000253.1|mhcii|seq63
antigen5|Q7A768|CP000253.1|mhcii|seq4	antigen5|Q7A768|CP000253.1|mhcii|seq512
antigen5|Q7A768|CP000253.1|mhcii|seq996	antigen5|Q7A768|CP000253.1|mhcii|seq996
antigen5|Q7A768|CP000253.1|mhcii|seq1028	antigen5|Q7A768|CP000253.1|mhcii|seq1028
antigen5|Q7A768|CP000253.1|mhcii|seq1028	antigen5|Q7A768|CP000253.1|mhcii|seq1027
antigen5|Q7A768|CP000253.1|mhcii|seq1028	antigen5|Q7A768|CP000253.1|mhcii|seq1026
antigen5|Q7A768|CP000253.1|mhcii|seq1028	antigen5|Q7A768|CP000253.1|mhcii|seq2530
antigen5|Q7A768|CP000253.1|mhcii|seq1028	antigen5|Q7A768|CP000253.1|mhcii|seq215
antigen5|Q7A768|CP000253.1|mhcii|seq1028	antigen5|Q7A768|CP000253.1|mhcii|seq2529
antigen5|Q7A768|CP000253.1|mhcii|seq1028	antigen5|Q7A768|CP000253.1|mhcii|seq214
antigen5|Q7A768|CP000253.1|mhcii|seq1028	antigen5|Q7A768|CP000253.1|mhcii|seq2998
antigen5|Q7A768|CP000253.1|mhcii|seq1028	antigen5|Q7A768|CP000253.1|mhcii|seq2999
antigen5|Q7A768|CP000253.1|mhcii|seq1028	antigen5|Q7A768|CP000253.1|mhcii|seq3487
antigen5|Q7A768|CP000253.1|mhcii|seq1028	antigen5|Q7A768|CP000253.1|mhcii|seq2528
antigen5|Q7A768|CP000253.1|mhcii|seq1028	antigen5|Q7A768|CP000253.1|mhcii|seq213
antigen5|Q7A768|CP000253.1|mhcii|seq1412	antigen5|Q7A768|CP000253.1|mhcii|seq1412
antigen5|Q7A768|CP000253.1|mhcii|seq1412	antigen5|Q7A768|CP000253.1|mhcii|seq1413
antigen5|Q7A768|CP000253.1|mhcii|seq2148	antigen5|Q7A768|CP000253.1|mhcii|seq2148
antigen5|Q7A768|CP000253.1|mhcii|seq2276	antigen5|Q7A768|CP000253.1|mhcii|seq2276
