antigen100|Q5HGP6|BX571856.1|mhcii|seq1	antigen100|Q5HGP6|BX571856.1|mhcii|seq1
antigen100|Q5HGP6|BX571856.1|mhcii|seq33	antigen100|Q5HGP6|BX571856.1|mhcii|seq33
antigen100|Q5HGP6|BX571856.1|mhcii|seq33	antigen100|Q5HGP6|BX571856.1|mhcii|seq31
antigen100|Q5HGP6|BX571856.1|mhcii|seq33	antigen100|Q5HGP6|BX571856.1|mhcii|seq32
antigen100|Q5HGP6|BX571856.1|mhcii|seq33	antigen100|Q5HGP6|BX571856.1|mhcii|seq840
antigen100|Q5HGP6|BX571856.1|mhcii|seq33	antigen100|Q5HGP6|BX571856.1|mhcii|seq841
antigen100|Q5HGP6|BX571856.1|mhcii|seq33	antigen100|Q5HGP6|BX571856.1|mhcii|seq844
antigen100|Q5HGP6|BX571856.1|mhcii|seq33	antigen100|Q5HGP6|BX571856.1|mhcii|seq36
antigen100|Q5HGP6|BX571856.1|mhcii|seq33	antigen100|Q5HGP6|BX571856.1|mhcii|seq842
antigen100|Q5HGP6|BX571856.1|mhcii|seq33	antigen100|Q5HGP6|BX571856.1|mhcii|seq34
antigen100|Q5HGP6|BX571856.1|mhcii|seq33	antigen100|Q5HGP6|BX571856.1|mhcii|seq843
antigen100|Q5HGP6|BX571856.1|mhcii|seq33	antigen100|Q5HGP6|BX571856.1|mhcii|seq35
antigen100|Q5HGP6|BX571856.1|mhcii|seq33	antigen100|Q5HGP6|BX571856.1|mhcii|seq2879
antigen100|Q5HGP6|BX571856.1|mhcii|seq33	antigen100|Q5HGP6|BX571856.1|mhcii|seq5301
antigen100|Q5HGP6|BX571856.1|mhcii|seq33	antigen100|Q5HGP6|BX571856.1|mhcii|seq2880
antigen100|Q5HGP6|BX571856.1|mhcii|seq33	antigen100|Q5HGP6|BX571856.1|mhcii|seq5302
antigen100|Q5HGP6|BX571856.1|mhcii|seq33	antigen100|Q5HGP6|BX571856.1|mhcii|seq5299
antigen100|Q5HGP6|BX571856.1|mhcii|seq33	antigen100|Q5HGP6|BX571856.1|mhcii|seq377
antigen100|Q5HGP6|BX571856.1|mhcii|seq33	antigen100|Q5HGP6|BX571856.1|mhcii|seq376
antigen100|Q5HGP6|BX571856.1|mhcii|seq33	antigen100|Q5HGP6|BX571856.1|mhcii|seq378
antigen100|Q5HGP6|BX571856.1|mhcii|seq33	antigen100|Q5HGP6|BX571856.1|mhcii|seq379
antigen100|Q5HGP6|BX571856.1|mhcii|seq33	antigen100|Q5HGP6|BX571856.1|mhcii|seq380
antigen100|Q5HGP6|BX571856.1|mhcii|seq225	antigen100|Q5HGP6|BX571856.1|mhcii|seq225
antigen100|Q5HGP6|BX571856.1|mhcii|seq225	antigen100|Q5HGP6|BX571856.1|mhcii|seq4010
antigen100|Q5HGP6|BX571856.1|mhcii|seq225	antigen100|Q5HGP6|BX571856.1|mhcii|seq4011
antigen100|Q5HGP6|BX571856.1|mhcii|seq225	antigen100|Q5HGP6|BX571856.1|mhcii|seq2636
antigen100|Q5HGP6|BX571856.1|mhcii|seq225	antigen100|Q5HGP6|BX571856.1|mhcii|seq4012
antigen100|Q5HGP6|BX571856.1|mhcii|seq225	antigen100|Q5HGP6|BX571856.1|mhcii|seq2637
antigen100|Q5HGP6|BX571856.1|mhcii|seq225	antigen100|Q5HGP6|BX571856.1|mhcii|seq4013
antigen100|Q5HGP6|BX571856.1|mhcii|seq225	antigen100|Q5HGP6|BX571856.1|mhcii|seq2638
antigen100|Q5HGP6|BX571856.1|mhcii|seq225	antigen100|Q5HGP6|BX571856.1|mhcii|seq4014
antigen100|Q5HGP6|BX571856.1|mhcii|seq225	antigen100|Q5HGP6|BX571856.1|mhcii|seq2639
antigen100|Q5HGP6|BX571856.1|mhcii|seq225	antigen100|Q5HGP6|BX571856.1|mhcii|seq4015
antigen100|Q5HGP6|BX571856.1|mhcii|seq225	antigen100|Q5HGP6|BX571856.1|mhcii|seq2640
antigen100|Q5HGP6|BX571856.1|mhcii|seq225	antigen100|Q5HGP6|BX571856.1|mhcii|seq3952
