antigen128|Q7A0H9|CP002114.3|mhcii|seq1	antigen128|Q7A0H9|CP002114.3|mhcii|seq1
antigen128|Q7A0H9|CP002114.3|mhcii|seq545	antigen128|Q7A0H9|CP002114.3|mhcii|seq545
antigen128|Q7A0H9|CP002114.3|mhcii|seq1249	antigen128|Q7A0H9|CP002114.3|mhcii|seq1249
antigen128|Q7A0H9|CP002114.3|mhcii|seq1249	antigen128|Q7A0H9|CP002114.3|mhcii|seq993
antigen128|Q7A0H9|CP002114.3|mhcii|seq1249	antigen128|Q7A0H9|CP002114.3|mhcii|seq2113
antigen128|Q7A0H9|CP002114.3|mhcii|seq1249	antigen128|Q7A0H9|CP002114.3|mhcii|seq226
antigen128|Q7A0H9|CP002114.3|mhcii|seq1249	antigen128|Q7A0H9|CP002114.3|mhcii|seq994
antigen128|Q7A0H9|CP002114.3|mhcii|seq1249	antigen128|Q7A0H9|CP002114.3|mhcii|seq227
antigen128|Q7A0H9|CP002114.3|mhcii|seq1249	antigen128|Q7A0H9|CP002114.3|mhcii|seq228
antigen128|Q7A0H9|CP002114.3|mhcii|seq1249	antigen128|Q7A0H9|CP002114.3|mhcii|seq903
antigen128|Q7A0H9|CP002114.3|mhcii|seq1249	antigen128|Q7A0H9|CP002114.3|mhcii|seq904
antigen128|Q7A0H9|CP002114.3|mhcii|seq1249	antigen128|Q7A0H9|CP002114.3|mhcii|seq300
antigen128|Q7A0H9|CP002114.3|mhcii|seq1249	antigen128|Q7A0H9|CP002114.3|mhcii|seq301
antigen128|Q7A0H9|CP002114.3|mhcii|seq1249	antigen128|Q7A0H9|CP002114.3|mhcii|seq302
antigen128|Q7A0H9|CP002114.3|mhcii|seq1249	antigen128|Q7A0H9|CP002114.3|mhcii|seq303
antigen128|Q7A0H9|CP002114.3|mhcii|seq1249	antigen128|Q7A0H9|CP002114.3|mhcii|seq1616
antigen128|Q7A0H9|CP002114.3|mhcii|seq1249	antigen128|Q7A0H9|CP002114.3|mhcii|seq1617
antigen128|Q7A0H9|CP002114.3|mhcii|seq1249	antigen128|Q7A0H9|CP002114.3|mhcii|seq1618
antigen128|Q7A0H9|CP002114.3|mhcii|seq1249	antigen128|Q7A0H9|CP002114.3|mhcii|seq1619
antigen128|Q7A0H9|CP002114.3|mhcii|seq1249	antigen128|Q7A0H9|CP002114.3|mhcii|seq1620
antigen128|Q7A0H9|CP002114.3|mhcii|seq1249	antigen128|Q7A0H9|CP002114.3|mhcii|seq629
antigen128|Q7A0H9|CP002114.3|mhcii|seq1249	antigen128|Q7A0H9|CP002114.3|mhcii|seq1621
antigen128|Q7A0H9|CP002114.3|mhcii|seq1249	antigen128|Q7A0H9|CP002114.3|mhcii|seq630
antigen128|Q7A0H9|CP002114.3|mhcii|seq1249	antigen128|Q7A0H9|CP002114.3|mhcii|seq1878
antigen128|Q7A0H9|CP002114.3|mhcii|seq1249	antigen128|Q7A0H9|CP002114.3|mhcii|seq631
antigen128|Q7A0H9|CP002114.3|mhcii|seq1249	antigen128|Q7A0H9|CP002114.3|mhcii|seq1879
