antigen184|A7X1D2|CP000253.1|mhcii|seq1	antigen184|A7X1D2|CP000253.1|mhcii|seq1
antigen184|A7X1D2|CP000253.1|mhcii|seq321	antigen184|A7X1D2|CP000253.1|mhcii|seq321
antigen184|A7X1D2|CP000253.1|mhcii|seq321	antigen184|A7X1D2|CP000253.1|mhcii|seq993
antigen184|A7X1D2|CP000253.1|mhcii|seq321	antigen184|A7X1D2|CP000253.1|mhcii|seq548
antigen184|A7X1D2|CP000253.1|mhcii|seq321	antigen184|A7X1D2|CP000253.1|mhcii|seq549
antigen184|A7X1D2|CP000253.1|mhcii|seq321	antigen184|A7X1D2|CP000253.1|mhcii|seq550
antigen184|A7X1D2|CP000253.1|mhcii|seq321	antigen184|A7X1D2|CP000253.1|mhcii|seq1479
antigen184|A7X1D2|CP000253.1|mhcii|seq321	antigen184|A7X1D2|CP000253.1|mhcii|seq1480
antigen184|A7X1D2|CP000253.1|mhcii|seq321	antigen184|A7X1D2|CP000253.1|mhcii|seq1640
antigen184|A7X1D2|CP000253.1|mhcii|seq321	antigen184|A7X1D2|CP000253.1|mhcii|seq1481
antigen184|A7X1D2|CP000253.1|mhcii|seq321	antigen184|A7X1D2|CP000253.1|mhcii|seq1641
antigen184|A7X1D2|CP000253.1|mhcii|seq321	antigen184|A7X1D2|CP000253.1|mhcii|seq1482
antigen184|A7X1D2|CP000253.1|mhcii|seq321	antigen184|A7X1D2|CP000253.1|mhcii|seq1610
antigen184|A7X1D2|CP000253.1|mhcii|seq321	antigen184|A7X1D2|CP000253.1|mhcii|seq1642
antigen184|A7X1D2|CP000253.1|mhcii|seq321	antigen184|A7X1D2|CP000253.1|mhcii|seq1483
antigen184|A7X1D2|CP000253.1|mhcii|seq321	antigen184|A7X1D2|CP000253.1|mhcii|seq1611
antigen184|A7X1D2|CP000253.1|mhcii|seq321	antigen184|A7X1D2|CP000253.1|mhcii|seq1643
antigen184|A7X1D2|CP000253.1|mhcii|seq321	antigen184|A7X1D2|CP000253.1|mhcii|seq1612
antigen184|A7X1D2|CP000253.1|mhcii|seq321	antigen184|A7X1D2|CP000253.1|mhcii|seq1644
antigen184|A7X1D2|CP000253.1|mhcii|seq321	antigen184|A7X1D2|CP000253.1|mhcii|seq2380
antigen184|A7X1D2|CP000253.1|mhcii|seq321	antigen184|A7X1D2|CP000253.1|mhcii|seq2412
antigen184|A7X1D2|CP000253.1|mhcii|seq321	antigen184|A7X1D2|CP000253.1|mhcii|seq1613
antigen184|A7X1D2|CP000253.1|mhcii|seq321	antigen184|A7X1D2|CP000253.1|mhcii|seq1645
antigen184|A7X1D2|CP000253.1|mhcii|seq321	antigen184|A7X1D2|CP000253.1|mhcii|seq2381
antigen184|A7X1D2|CP000253.1|mhcii|seq321	antigen184|A7X1D2|CP000253.1|mhcii|seq2413
antigen184|A7X1D2|CP000253.1|mhcii|seq321	antigen184|A7X1D2|CP000253.1|mhcii|seq1614
antigen184|A7X1D2|CP000253.1|mhcii|seq321	antigen184|A7X1D2|CP000253.1|mhcii|seq2382
antigen184|A7X1D2|CP000253.1|mhcii|seq321	antigen184|A7X1D2|CP000253.1|mhcii|seq2414
antigen184|A7X1D2|CP000253.1|mhcii|seq321	antigen184|A7X1D2|CP000253.1|mhcii|seq1615
antigen184|A7X1D2|CP000253.1|mhcii|seq321	antigen184|A7X1D2|CP000253.1|mhcii|seq2383
antigen184|A7X1D2|CP000253.1|mhcii|seq321	antigen184|A7X1D2|CP000253.1|mhcii|seq2415
antigen184|A7X1D2|CP000253.1|mhcii|seq321	antigen184|A7X1D2|CP000253.1|mhcii|seq2384
antigen184|A7X1D2|CP000253.1|mhcii|seq321	antigen184|A7X1D2|CP000253.1|mhcii|seq2385
antigen184|A7X1D2|CP000253.1|mhcii|seq321	antigen184|A7X1D2|CP000253.1|mhcii|seq1715
antigen184|A7X1D2|CP000253.1|mhcii|seq321	antigen184|A7X1D2|CP000253.1|mhcii|seq1716
antigen184|A7X1D2|CP000253.1|mhcii|seq321	antigen184|A7X1D2|CP000253.1|mhcii|seq2324
antigen184|A7X1D2|CP000253.1|mhcii|seq321	antigen184|A7X1D2|CP000253.1|mhcii|seq1717
antigen184|A7X1D2|CP000253.1|mhcii|seq321	antigen184|A7X1D2|CP000253.1|mhcii|seq2325
antigen184|A7X1D2|CP000253.1|mhcii|seq321	antigen184|A7X1D2|CP000253.1|mhcii|seq1718
antigen184|A7X1D2|CP000253.1|mhcii|seq321	antigen184|A7X1D2|CP000253.1|mhcii|seq535
antigen184|A7X1D2|CP000253.1|mhcii|seq321	antigen184|A7X1D2|CP000253.1|mhcii|seq1719
antigen184|A7X1D2|CP000253.1|mhcii|seq321	antigen184|A7X1D2|CP000253.1|mhcii|seq1720
antigen184|A7X1D2|CP000253.1|mhcii|seq321	antigen184|A7X1D2|CP000253.1|mhcii|seq316
antigen184|A7X1D2|CP000253.1|mhcii|seq321	antigen184|A7X1D2|CP000253.1|mhcii|seq988
antigen184|A7X1D2|CP000253.1|mhcii|seq321	antigen184|A7X1D2|CP000253.1|mhcii|seq317
antigen184|A7X1D2|CP000253.1|mhcii|seq321	antigen184|A7X1D2|CP000253.1|mhcii|seq989
antigen184|A7X1D2|CP000253.1|mhcii|seq321	antigen184|A7X1D2|CP000253.1|mhcii|seq318
antigen184|A7X1D2|CP000253.1|mhcii|seq321	antigen184|A7X1D2|CP000253.1|mhcii|seq990
antigen184|A7X1D2|CP000253.1|mhcii|seq321	antigen184|A7X1D2|CP000253.1|mhcii|seq319
antigen184|A7X1D2|CP000253.1|mhcii|seq321	antigen184|A7X1D2|CP000253.1|mhcii|seq991
antigen184|A7X1D2|CP000253.1|mhcii|seq321	antigen184|A7X1D2|CP000253.1|mhcii|seq320
antigen184|A7X1D2|CP000253.1|mhcii|seq321	antigen184|A7X1D2|CP000253.1|mhcii|seq992
antigen184|A7X1D2|CP000253.1|mhcii|seq449	antigen184|A7X1D2|CP000253.1|mhcii|seq449
antigen184|A7X1D2|CP000253.1|mhcii|seq449	antigen184|A7X1D2|CP000253.1|mhcii|seq450
antigen184|A7X1D2|CP000253.1|mhcii|seq449	antigen184|A7X1D2|CP000253.1|mhcii|seq1392
antigen184|A7X1D2|CP000253.1|mhcii|seq449	antigen184|A7X1D2|CP000253.1|mhcii|seq1393
antigen184|A7X1D2|CP000253.1|mhcii|seq449	antigen184|A7X1D2|CP000253.1|mhcii|seq243
antigen184|A7X1D2|CP000253.1|mhcii|seq449	antigen184|A7X1D2|CP000253.1|mhcii|seq14
antigen184|A7X1D2|CP000253.1|mhcii|seq449	antigen184|A7X1D2|CP000253.1|mhcii|seq1139
antigen184|A7X1D2|CP000253.1|mhcii|seq449	antigen184|A7X1D2|CP000253.1|mhcii|seq244
antigen184|A7X1D2|CP000253.1|mhcii|seq449	antigen184|A7X1D2|CP000253.1|mhcii|seq15
antigen184|A7X1D2|CP000253.1|mhcii|seq449	antigen184|A7X1D2|CP000253.1|mhcii|seq1140
antigen184|A7X1D2|CP000253.1|mhcii|seq449	antigen184|A7X1D2|CP000253.1|mhcii|seq1818
antigen184|A7X1D2|CP000253.1|mhcii|seq449	antigen184|A7X1D2|CP000253.1|mhcii|seq1819
antigen184|A7X1D2|CP000253.1|mhcii|seq449	antigen184|A7X1D2|CP000253.1|mhcii|seq445
antigen184|A7X1D2|CP000253.1|mhcii|seq449	antigen184|A7X1D2|CP000253.1|mhcii|seq765
antigen184|A7X1D2|CP000253.1|mhcii|seq449	antigen184|A7X1D2|CP000253.1|mhcii|seq446
antigen184|A7X1D2|CP000253.1|mhcii|seq449	antigen184|A7X1D2|CP000253.1|mhcii|seq958
antigen184|A7X1D2|CP000253.1|mhcii|seq449	antigen184|A7X1D2|CP000253.1|mhcii|seq447
antigen184|A7X1D2|CP000253.1|mhcii|seq449	antigen184|A7X1D2|CP000253.1|mhcii|seq959
antigen184|A7X1D2|CP000253.1|mhcii|seq449	antigen184|A7X1D2|CP000253.1|mhcii|seq448
antigen184|A7X1D2|CP000253.1|mhcii|seq1025	antigen184|A7X1D2|CP000253.1|mhcii|seq1025
antigen184|A7X1D2|CP000253.1|mhcii|seq1025	antigen184|A7X1D2|CP000253.1|mhcii|seq2100
antigen184|A7X1D2|CP000253.1|mhcii|seq1025	antigen184|A7X1D2|CP000253.1|mhcii|seq1024
antigen184|A7X1D2|CP000253.1|mhcii|seq1121	antigen184|A7X1D2|CP000253.1|mhcii|seq1121
antigen184|A7X1D2|CP000253.1|mhcii|seq1121	antigen184|A7X1D2|CP000253.1|mhcii|seq90
antigen184|A7X1D2|CP000253.1|mhcii|seq1121	antigen184|A7X1D2|CP000253.1|mhcii|seq897
antigen184|A7X1D2|CP000253.1|mhcii|seq1121	antigen184|A7X1D2|CP000253.1|mhcii|seq1122
antigen184|A7X1D2|CP000253.1|mhcii|seq1121	antigen184|A7X1D2|CP000253.1|mhcii|seq91
antigen184|A7X1D2|CP000253.1|mhcii|seq1121	antigen184|A7X1D2|CP000253.1|mhcii|seq1123
antigen184|A7X1D2|CP000253.1|mhcii|seq1121	antigen184|A7X1D2|CP000253.1|mhcii|seq92
antigen184|A7X1D2|CP000253.1|mhcii|seq1121	antigen184|A7X1D2|CP000253.1|mhcii|seq1061
antigen184|A7X1D2|CP000253.1|mhcii|seq1121	antigen184|A7X1D2|CP000253.1|mhcii|seq1062
antigen184|A7X1D2|CP000253.1|mhcii|seq1121	antigen184|A7X1D2|CP000253.1|mhcii|seq1063
antigen184|A7X1D2|CP000253.1|mhcii|seq1121	antigen184|A7X1D2|CP000253.1|mhcii|seq744
antigen184|A7X1D2|CP000253.1|mhcii|seq1121	antigen184|A7X1D2|CP000253.1|mhcii|seq1970
antigen184|A7X1D2|CP000253.1|mhcii|seq1121	antigen184|A7X1D2|CP000253.1|mhcii|seq1064
