antigen37|Q2YY04|BX571856.1|mhcii|seq339	antigen37|Q2YY04|BX571856.1|mhcii|seq339
antigen37|Q2YY04|BX571856.1|mhcii|seq371	antigen37|Q2YY04|BX571856.1|mhcii|seq371
antigen37|Q2YY04|BX571856.1|mhcii|seq371	antigen37|Q2YY04|BX571856.1|mhcii|seq370
antigen37|Q2YY04|BX571856.1|mhcii|seq371	antigen37|Q2YY04|BX571856.1|mhcii|seq385
antigen37|Q2YY04|BX571856.1|mhcii|seq371	antigen37|Q2YY04|BX571856.1|mhcii|seq1050
antigen37|Q2YY04|BX571856.1|mhcii|seq371	antigen37|Q2YY04|BX571856.1|mhcii|seq330
antigen37|Q2YY04|BX571856.1|mhcii|seq371	antigen37|Q2YY04|BX571856.1|mhcii|seq1047
antigen37|Q2YY04|BX571856.1|mhcii|seq371	antigen37|Q2YY04|BX571856.1|mhcii|seq1048
antigen37|Q2YY04|BX571856.1|mhcii|seq371	antigen37|Q2YY04|BX571856.1|mhcii|seq1049
antigen37|Q2YY04|BX571856.1|mhcii|seq371	antigen37|Q2YY04|BX571856.1|mhcii|seq1051
antigen37|Q2YY04|BX571856.1|mhcii|seq371	antigen37|Q2YY04|BX571856.1|mhcii|seq542
antigen37|Q2YY04|BX571856.1|mhcii|seq371	antigen37|Q2YY04|BX571856.1|mhcii|seq5
antigen37|Q2YY04|BX571856.1|mhcii|seq371	antigen37|Q2YY04|BX571856.1|mhcii|seq540
antigen37|Q2YY04|BX571856.1|mhcii|seq371	antigen37|Q2YY04|BX571856.1|mhcii|seq3
antigen37|Q2YY04|BX571856.1|mhcii|seq371	antigen37|Q2YY04|BX571856.1|mhcii|seq539
antigen37|Q2YY04|BX571856.1|mhcii|seq371	antigen37|Q2YY04|BX571856.1|mhcii|seq2
antigen37|Q2YY04|BX571856.1|mhcii|seq371	antigen37|Q2YY04|BX571856.1|mhcii|seq541
antigen37|Q2YY04|BX571856.1|mhcii|seq371	antigen37|Q2YY04|BX571856.1|mhcii|seq4
antigen37|Q2YY04|BX571856.1|mhcii|seq499	antigen37|Q2YY04|BX571856.1|mhcii|seq499
antigen37|Q2YY04|BX571856.1|mhcii|seq499	antigen37|Q2YY04|BX571856.1|mhcii|seq498
antigen37|Q2YY04|BX571856.1|mhcii|seq499	antigen37|Q2YY04|BX571856.1|mhcii|seq1141
antigen37|Q2YY04|BX571856.1|mhcii|seq1	antigen37|Q2YY04|BX571856.1|mhcii|seq1
antigen37|Q2YY04|BX571856.1|mhcii|seq193	antigen37|Q2YY04|BX571856.1|mhcii|seq193
antigen37|Q2YY04|BX571856.1|mhcii|seq193	antigen37|Q2YY04|BX571856.1|mhcii|seq289
antigen37|Q2YY04|BX571856.1|mhcii|seq193	antigen37|Q2YY04|BX571856.1|mhcii|seq290
antigen37|Q2YY04|BX571856.1|mhcii|seq193	antigen37|Q2YY04|BX571856.1|mhcii|seq866
antigen37|Q2YY04|BX571856.1|mhcii|seq193	antigen37|Q2YY04|BX571856.1|mhcii|seq291
antigen37|Q2YY04|BX571856.1|mhcii|seq193	antigen37|Q2YY04|BX571856.1|mhcii|seq867
antigen37|Q2YY04|BX571856.1|mhcii|seq193	antigen37|Q2YY04|BX571856.1|mhcii|seq292
antigen37|Q2YY04|BX571856.1|mhcii|seq193	antigen37|Q2YY04|BX571856.1|mhcii|seq676
antigen37|Q2YY04|BX571856.1|mhcii|seq193	antigen37|Q2YY04|BX571856.1|mhcii|seq868
antigen37|Q2YY04|BX571856.1|mhcii|seq193	antigen37|Q2YY04|BX571856.1|mhcii|seq293
antigen37|Q2YY04|BX571856.1|mhcii|seq193	antigen37|Q2YY04|BX571856.1|mhcii|seq677
antigen37|Q2YY04|BX571856.1|mhcii|seq193	antigen37|Q2YY04|BX571856.1|mhcii|seq869
antigen37|Q2YY04|BX571856.1|mhcii|seq193	antigen37|Q2YY04|BX571856.1|mhcii|seq678
antigen37|Q2YY04|BX571856.1|mhcii|seq193	antigen37|Q2YY04|BX571856.1|mhcii|seq838
antigen37|Q2YY04|BX571856.1|mhcii|seq193	antigen37|Q2YY04|BX571856.1|mhcii|seq870
antigen37|Q2YY04|BX571856.1|mhcii|seq193	antigen37|Q2YY04|BX571856.1|mhcii|seq679
antigen37|Q2YY04|BX571856.1|mhcii|seq193	antigen37|Q2YY04|BX571856.1|mhcii|seq839
antigen37|Q2YY04|BX571856.1|mhcii|seq193	antigen37|Q2YY04|BX571856.1|mhcii|seq871
antigen37|Q2YY04|BX571856.1|mhcii|seq193	antigen37|Q2YY04|BX571856.1|mhcii|seq680
antigen37|Q2YY04|BX571856.1|mhcii|seq193	antigen37|Q2YY04|BX571856.1|mhcii|seq840
antigen37|Q2YY04|BX571856.1|mhcii|seq193	antigen37|Q2YY04|BX571856.1|mhcii|seq841
antigen37|Q2YY04|BX571856.1|mhcii|seq193	antigen37|Q2YY04|BX571856.1|mhcii|seq44
antigen37|Q2YY04|BX571856.1|mhcii|seq193	antigen37|Q2YY04|BX571856.1|mhcii|seq45
antigen37|Q2YY04|BX571856.1|mhcii|seq193	antigen37|Q2YY04|BX571856.1|mhcii|seq1006
antigen37|Q2YY04|BX571856.1|mhcii|seq193	antigen37|Q2YY04|BX571856.1|mhcii|seq911
antigen37|Q2YY04|BX571856.1|mhcii|seq193	antigen37|Q2YY04|BX571856.1|mhcii|seq1007
antigen37|Q2YY04|BX571856.1|mhcii|seq193	antigen37|Q2YY04|BX571856.1|mhcii|seq912
antigen37|Q2YY04|BX571856.1|mhcii|seq193	antigen37|Q2YY04|BX571856.1|mhcii|seq1008
antigen37|Q2YY04|BX571856.1|mhcii|seq193	antigen37|Q2YY04|BX571856.1|mhcii|seq1040
antigen37|Q2YY04|BX571856.1|mhcii|seq193	antigen37|Q2YY04|BX571856.1|mhcii|seq913
antigen37|Q2YY04|BX571856.1|mhcii|seq193	antigen37|Q2YY04|BX571856.1|mhcii|seq1009
antigen37|Q2YY04|BX571856.1|mhcii|seq193	antigen37|Q2YY04|BX571856.1|mhcii|seq1041
antigen37|Q2YY04|BX571856.1|mhcii|seq193	antigen37|Q2YY04|BX571856.1|mhcii|seq914
antigen37|Q2YY04|BX571856.1|mhcii|seq193	antigen37|Q2YY04|BX571856.1|mhcii|seq1010
antigen37|Q2YY04|BX571856.1|mhcii|seq193	antigen37|Q2YY04|BX571856.1|mhcii|seq1042
antigen37|Q2YY04|BX571856.1|mhcii|seq193	antigen37|Q2YY04|BX571856.1|mhcii|seq915
antigen37|Q2YY04|BX571856.1|mhcii|seq193	antigen37|Q2YY04|BX571856.1|mhcii|seq979
antigen37|Q2YY04|BX571856.1|mhcii|seq193	antigen37|Q2YY04|BX571856.1|mhcii|seq1011
antigen37|Q2YY04|BX571856.1|mhcii|seq193	antigen37|Q2YY04|BX571856.1|mhcii|seq1043
antigen37|Q2YY04|BX571856.1|mhcii|seq193	antigen37|Q2YY04|BX571856.1|mhcii|seq916
antigen37|Q2YY04|BX571856.1|mhcii|seq193	antigen37|Q2YY04|BX571856.1|mhcii|seq1044
antigen37|Q2YY04|BX571856.1|mhcii|seq193	antigen37|Q2YY04|BX571856.1|mhcii|seq693
antigen37|Q2YY04|BX571856.1|mhcii|seq193	antigen37|Q2YY04|BX571856.1|mhcii|seq1045
antigen37|Q2YY04|BX571856.1|mhcii|seq193	antigen37|Q2YY04|BX571856.1|mhcii|seq694
antigen37|Q2YY04|BX571856.1|mhcii|seq193	antigen37|Q2YY04|BX571856.1|mhcii|seq695
antigen37|Q2YY04|BX571856.1|mhcii|seq193	antigen37|Q2YY04|BX571856.1|mhcii|seq188
antigen37|Q2YY04|BX571856.1|mhcii|seq193	antigen37|Q2YY04|BX571856.1|mhcii|seq189
antigen37|Q2YY04|BX571856.1|mhcii|seq193	antigen37|Q2YY04|BX571856.1|mhcii|seq190
antigen37|Q2YY04|BX571856.1|mhcii|seq193	antigen37|Q2YY04|BX571856.1|mhcii|seq191
antigen37|Q2YY04|BX571856.1|mhcii|seq193	antigen37|Q2YY04|BX571856.1|mhcii|seq192
antigen37|Q2YY04|BX571856.1|mhcii|seq193	antigen37|Q2YY04|BX571856.1|mhcii|seq288
antigen37|Q2YY04|BX571856.1|mhcii|seq353	antigen37|Q2YY04|BX571856.1|mhcii|seq353
antigen37|Q2YY04|BX571856.1|mhcii|seq353	antigen37|Q2YY04|BX571856.1|mhcii|seq993
antigen37|Q2YY04|BX571856.1|mhcii|seq353	antigen37|Q2YY04|BX571856.1|mhcii|seq1057
antigen37|Q2YY04|BX571856.1|mhcii|seq353	antigen37|Q2YY04|BX571856.1|mhcii|seq994
antigen37|Q2YY04|BX571856.1|mhcii|seq353	antigen37|Q2YY04|BX571856.1|mhcii|seq1058
antigen37|Q2YY04|BX571856.1|mhcii|seq353	antigen37|Q2YY04|BX571856.1|mhcii|seq1059
antigen37|Q2YY04|BX571856.1|mhcii|seq353	antigen37|Q2YY04|BX571856.1|mhcii|seq100
antigen37|Q2YY04|BX571856.1|mhcii|seq353	antigen37|Q2YY04|BX571856.1|mhcii|seq1060
antigen37|Q2YY04|BX571856.1|mhcii|seq353	antigen37|Q2YY04|BX571856.1|mhcii|seq101
antigen37|Q2YY04|BX571856.1|mhcii|seq353	antigen37|Q2YY04|BX571856.1|mhcii|seq102
antigen37|Q2YY04|BX571856.1|mhcii|seq353	antigen37|Q2YY04|BX571856.1|mhcii|seq103
antigen37|Q2YY04|BX571856.1|mhcii|seq353	antigen37|Q2YY04|BX571856.1|mhcii|seq104
antigen37|Q2YY04|BX571856.1|mhcii|seq353	antigen37|Q2YY04|BX571856.1|mhcii|seq105
antigen37|Q2YY04|BX571856.1|mhcii|seq353	antigen37|Q2YY04|BX571856.1|mhcii|seq10
antigen37|Q2YY04|BX571856.1|mhcii|seq353	antigen37|Q2YY04|BX571856.1|mhcii|seq11
antigen37|Q2YY04|BX571856.1|mhcii|seq353	antigen37|Q2YY04|BX571856.1|mhcii|seq12
antigen37|Q2YY04|BX571856.1|mhcii|seq353	antigen37|Q2YY04|BX571856.1|mhcii|seq13
antigen37|Q2YY04|BX571856.1|mhcii|seq353	antigen37|Q2YY04|BX571856.1|mhcii|seq333
antigen37|Q2YY04|BX571856.1|mhcii|seq353	antigen37|Q2YY04|BX571856.1|mhcii|seq14
antigen37|Q2YY04|BX571856.1|mhcii|seq353	antigen37|Q2YY04|BX571856.1|mhcii|seq334
antigen37|Q2YY04|BX571856.1|mhcii|seq353	antigen37|Q2YY04|BX571856.1|mhcii|seq750
antigen37|Q2YY04|BX571856.1|mhcii|seq353	antigen37|Q2YY04|BX571856.1|mhcii|seq15
antigen37|Q2YY04|BX571856.1|mhcii|seq353	antigen37|Q2YY04|BX571856.1|mhcii|seq335
antigen37|Q2YY04|BX571856.1|mhcii|seq353	antigen37|Q2YY04|BX571856.1|mhcii|seq751
antigen37|Q2YY04|BX571856.1|mhcii|seq353	antigen37|Q2YY04|BX571856.1|mhcii|seq336
antigen37|Q2YY04|BX571856.1|mhcii|seq353	antigen37|Q2YY04|BX571856.1|mhcii|seq752
antigen37|Q2YY04|BX571856.1|mhcii|seq353	antigen37|Q2YY04|BX571856.1|mhcii|seq145
antigen37|Q2YY04|BX571856.1|mhcii|seq353	antigen37|Q2YY04|BX571856.1|mhcii|seq337
antigen37|Q2YY04|BX571856.1|mhcii|seq353	antigen37|Q2YY04|BX571856.1|mhcii|seq753
antigen37|Q2YY04|BX571856.1|mhcii|seq353	antigen37|Q2YY04|BX571856.1|mhcii|seq945
antigen37|Q2YY04|BX571856.1|mhcii|seq353	antigen37|Q2YY04|BX571856.1|mhcii|seq146
antigen37|Q2YY04|BX571856.1|mhcii|seq353	antigen37|Q2YY04|BX571856.1|mhcii|seq338
antigen37|Q2YY04|BX571856.1|mhcii|seq353	antigen37|Q2YY04|BX571856.1|mhcii|seq754
antigen37|Q2YY04|BX571856.1|mhcii|seq353	antigen37|Q2YY04|BX571856.1|mhcii|seq946
antigen37|Q2YY04|BX571856.1|mhcii|seq353	antigen37|Q2YY04|BX571856.1|mhcii|seq147
antigen37|Q2YY04|BX571856.1|mhcii|seq353	antigen37|Q2YY04|BX571856.1|mhcii|seq755
antigen37|Q2YY04|BX571856.1|mhcii|seq353	antigen37|Q2YY04|BX571856.1|mhcii|seq148
antigen37|Q2YY04|BX571856.1|mhcii|seq353	antigen37|Q2YY04|BX571856.1|mhcii|seq438
antigen37|Q2YY04|BX571856.1|mhcii|seq353	antigen37|Q2YY04|BX571856.1|mhcii|seq534
antigen37|Q2YY04|BX571856.1|mhcii|seq353	antigen37|Q2YY04|BX571856.1|mhcii|seq535
antigen37|Q2YY04|BX571856.1|mhcii|seq353	antigen37|Q2YY04|BX571856.1|mhcii|seq536
antigen37|Q2YY04|BX571856.1|mhcii|seq353	antigen37|Q2YY04|BX571856.1|mhcii|seq537
antigen37|Q2YY04|BX571856.1|mhcii|seq353	antigen37|Q2YY04|BX571856.1|mhcii|seq538
antigen37|Q2YY04|BX571856.1|mhcii|seq353	antigen37|Q2YY04|BX571856.1|mhcii|seq348
antigen37|Q2YY04|BX571856.1|mhcii|seq353	antigen37|Q2YY04|BX571856.1|mhcii|seq349
antigen37|Q2YY04|BX571856.1|mhcii|seq353	antigen37|Q2YY04|BX571856.1|mhcii|seq350
antigen37|Q2YY04|BX571856.1|mhcii|seq353	antigen37|Q2YY04|BX571856.1|mhcii|seq351
antigen37|Q2YY04|BX571856.1|mhcii|seq353	antigen37|Q2YY04|BX571856.1|mhcii|seq1055
antigen37|Q2YY04|BX571856.1|mhcii|seq353	antigen37|Q2YY04|BX571856.1|mhcii|seq352
antigen37|Q2YY04|BX571856.1|mhcii|seq353	antigen37|Q2YY04|BX571856.1|mhcii|seq992
antigen37|Q2YY04|BX571856.1|mhcii|seq353	antigen37|Q2YY04|BX571856.1|mhcii|seq1056
antigen37|Q2YY04|BX571856.1|mhcii|seq194	antigen37|Q2YY04|BX571856.1|mhcii|seq194
antigen37|Q2YY04|BX571856.1|mhcii|seq194	antigen37|Q2YY04|BX571856.1|mhcii|seq195
antigen37|Q2YY04|BX571856.1|mhcii|seq546	antigen37|Q2YY04|BX571856.1|mhcii|seq546
antigen37|Q2YY04|BX571856.1|mhcii|seq546	antigen37|Q2YY04|BX571856.1|mhcii|seq9
antigen37|Q2YY04|BX571856.1|mhcii|seq546	antigen37|Q2YY04|BX571856.1|mhcii|seq545
antigen37|Q2YY04|BX571856.1|mhcii|seq546	antigen37|Q2YY04|BX571856.1|mhcii|seq8
antigen37|Q2YY04|BX571856.1|mhcii|seq546	antigen37|Q2YY04|BX571856.1|mhcii|seq547
antigen37|Q2YY04|BX571856.1|mhcii|seq546	antigen37|Q2YY04|BX571856.1|mhcii|seq389
antigen37|Q2YY04|BX571856.1|mhcii|seq546	antigen37|Q2YY04|BX571856.1|mhcii|seq390
antigen37|Q2YY04|BX571856.1|mhcii|seq546	antigen37|Q2YY04|BX571856.1|mhcii|seq391
antigen37|Q2YY04|BX571856.1|mhcii|seq546	antigen37|Q2YY04|BX571856.1|mhcii|seq331
