antigen19|P68789|BX571856.1|mhcii|seq6121	antigen19|P68789|BX571856.1|mhcii|seq6121
antigen19|P68789|BX571856.1|mhcii|seq522	antigen19|P68789|BX571856.1|mhcii|seq522
antigen19|P68789|BX571856.1|mhcii|seq522	antigen19|P68789|BX571856.1|mhcii|seq523
antigen19|P68789|BX571856.1|mhcii|seq586	antigen19|P68789|BX571856.1|mhcii|seq586
antigen19|P68789|BX571856.1|mhcii|seq586	antigen19|P68789|BX571856.1|mhcii|seq1473
antigen19|P68789|BX571856.1|mhcii|seq586	antigen19|P68789|BX571856.1|mhcii|seq1474
antigen19|P68789|BX571856.1|mhcii|seq586	antigen19|P68789|BX571856.1|mhcii|seq1475
antigen19|P68789|BX571856.1|mhcii|seq586	antigen19|P68789|BX571856.1|mhcii|seq1476
antigen19|P68789|BX571856.1|mhcii|seq586	antigen19|P68789|BX571856.1|mhcii|seq1477
antigen19|P68789|BX571856.1|mhcii|seq586	antigen19|P68789|BX571856.1|mhcii|seq1478
antigen19|P68789|BX571856.1|mhcii|seq586	antigen19|P68789|BX571856.1|mhcii|seq583
antigen19|P68789|BX571856.1|mhcii|seq586	antigen19|P68789|BX571856.1|mhcii|seq584
antigen19|P68789|BX571856.1|mhcii|seq586	antigen19|P68789|BX571856.1|mhcii|seq4520
antigen19|P68789|BX571856.1|mhcii|seq586	antigen19|P68789|BX571856.1|mhcii|seq303
antigen19|P68789|BX571856.1|mhcii|seq586	antigen19|P68789|BX571856.1|mhcii|seq585
antigen19|P68789|BX571856.1|mhcii|seq586	antigen19|P68789|BX571856.1|mhcii|seq4521
antigen19|P68789|BX571856.1|mhcii|seq586	antigen19|P68789|BX571856.1|mhcii|seq304
antigen19|P68789|BX571856.1|mhcii|seq586	antigen19|P68789|BX571856.1|mhcii|seq4522
antigen19|P68789|BX571856.1|mhcii|seq586	antigen19|P68789|BX571856.1|mhcii|seq305
antigen19|P68789|BX571856.1|mhcii|seq586	antigen19|P68789|BX571856.1|mhcii|seq5930
antigen19|P68789|BX571856.1|mhcii|seq586	antigen19|P68789|BX571856.1|mhcii|seq587
antigen19|P68789|BX571856.1|mhcii|seq586	antigen19|P68789|BX571856.1|mhcii|seq4523
antigen19|P68789|BX571856.1|mhcii|seq586	antigen19|P68789|BX571856.1|mhcii|seq306
antigen19|P68789|BX571856.1|mhcii|seq586	antigen19|P68789|BX571856.1|mhcii|seq5931
antigen19|P68789|BX571856.1|mhcii|seq586	antigen19|P68789|BX571856.1|mhcii|seq588
antigen19|P68789|BX571856.1|mhcii|seq586	antigen19|P68789|BX571856.1|mhcii|seq5932
antigen19|P68789|BX571856.1|mhcii|seq586	antigen19|P68789|BX571856.1|mhcii|seq589
antigen19|P68789|BX571856.1|mhcii|seq586	antigen19|P68789|BX571856.1|mhcii|seq5933
antigen19|P68789|BX571856.1|mhcii|seq586	antigen19|P68789|BX571856.1|mhcii|seq302
antigen19|P68789|BX571856.1|mhcii|seq586	antigen19|P68789|BX571856.1|mhcii|seq5934
antigen19|P68789|BX571856.1|mhcii|seq586	antigen19|P68789|BX571856.1|mhcii|seq5935
antigen19|P68789|BX571856.1|mhcii|seq586	antigen19|P68789|BX571856.1|mhcii|seq6456
antigen19|P68789|BX571856.1|mhcii|seq586	antigen19|P68789|BX571856.1|mhcii|seq408
antigen19|P68789|BX571856.1|mhcii|seq586	antigen19|P68789|BX571856.1|mhcii|seq6457
antigen19|P68789|BX571856.1|mhcii|seq586	antigen19|P68789|BX571856.1|mhcii|seq409
antigen19|P68789|BX571856.1|mhcii|seq586	antigen19|P68789|BX571856.1|mhcii|seq6458
antigen19|P68789|BX571856.1|mhcii|seq586	antigen19|P68789|BX571856.1|mhcii|seq410
antigen19|P68789|BX571856.1|mhcii|seq1258	antigen19|P68789|BX571856.1|mhcii|seq1258
antigen19|P68789|BX571856.1|mhcii|seq1674	antigen19|P68789|BX571856.1|mhcii|seq1674
antigen19|P68789|BX571856.1|mhcii|seq1674	antigen19|P68789|BX571856.1|mhcii|seq1675
antigen19|P68789|BX571856.1|mhcii|seq1738	antigen19|P68789|BX571856.1|mhcii|seq1738
antigen19|P68789|BX571856.1|mhcii|seq1738	antigen19|P68789|BX571856.1|mhcii|seq2881
