antigen36|Q6GAB5|BX571857.1|mhcii|seq1	antigen36|Q6GAB5|BX571857.1|mhcii|seq1
antigen36|Q6GAB5|BX571857.1|mhcii|seq225	antigen36|Q6GAB5|BX571857.1|mhcii|seq225
antigen36|Q6GAB5|BX571857.1|mhcii|seq225	antigen36|Q6GAB5|BX571857.1|mhcii|seq961
antigen36|Q6GAB5|BX571857.1|mhcii|seq225	antigen36|Q6GAB5|BX571857.1|mhcii|seq1921
antigen36|Q6GAB5|BX571857.1|mhcii|seq225	antigen36|Q6GAB5|BX571857.1|mhcii|seq962
antigen36|Q6GAB5|BX571857.1|mhcii|seq225	antigen36|Q6GAB5|BX571857.1|mhcii|seq1922
antigen36|Q6GAB5|BX571857.1|mhcii|seq225	antigen36|Q6GAB5|BX571857.1|mhcii|seq1923
antigen36|Q6GAB5|BX571857.1|mhcii|seq225	antigen36|Q6GAB5|BX571857.1|mhcii|seq1412
antigen36|Q6GAB5|BX571857.1|mhcii|seq225	antigen36|Q6GAB5|BX571857.1|mhcii|seq1476
antigen36|Q6GAB5|BX571857.1|mhcii|seq225	antigen36|Q6GAB5|BX571857.1|mhcii|seq1413
antigen36|Q6GAB5|BX571857.1|mhcii|seq225	antigen36|Q6GAB5|BX571857.1|mhcii|seq1414
antigen36|Q6GAB5|BX571857.1|mhcii|seq225	antigen36|Q6GAB5|BX571857.1|mhcii|seq3430
antigen36|Q6GAB5|BX571857.1|mhcii|seq225	antigen36|Q6GAB5|BX571857.1|mhcii|seq1415
antigen36|Q6GAB5|BX571857.1|mhcii|seq225	antigen36|Q6GAB5|BX571857.1|mhcii|seq2279
antigen36|Q6GAB5|BX571857.1|mhcii|seq225	antigen36|Q6GAB5|BX571857.1|mhcii|seq2567
antigen36|Q6GAB5|BX571857.1|mhcii|seq225	antigen36|Q6GAB5|BX571857.1|mhcii|seq3431
antigen36|Q6GAB5|BX571857.1|mhcii|seq225	antigen36|Q6GAB5|BX571857.1|mhcii|seq1416
antigen36|Q6GAB5|BX571857.1|mhcii|seq225	antigen36|Q6GAB5|BX571857.1|mhcii|seq2280
antigen36|Q6GAB5|BX571857.1|mhcii|seq225	antigen36|Q6GAB5|BX571857.1|mhcii|seq2568
antigen36|Q6GAB5|BX571857.1|mhcii|seq225	antigen36|Q6GAB5|BX571857.1|mhcii|seq3432
antigen36|Q6GAB5|BX571857.1|mhcii|seq225	antigen36|Q6GAB5|BX571857.1|mhcii|seq2281
antigen36|Q6GAB5|BX571857.1|mhcii|seq225	antigen36|Q6GAB5|BX571857.1|mhcii|seq2569
antigen36|Q6GAB5|BX571857.1|mhcii|seq225	antigen36|Q6GAB5|BX571857.1|mhcii|seq3433
antigen36|Q6GAB5|BX571857.1|mhcii|seq225	antigen36|Q6GAB5|BX571857.1|mhcii|seq490
antigen36|Q6GAB5|BX571857.1|mhcii|seq225	antigen36|Q6GAB5|BX571857.1|mhcii|seq2282
antigen36|Q6GAB5|BX571857.1|mhcii|seq225	antigen36|Q6GAB5|BX571857.1|mhcii|seq3434
antigen36|Q6GAB5|BX571857.1|mhcii|seq225	antigen36|Q6GAB5|BX571857.1|mhcii|seq491
