antigen115|Q7A7G0|BX571856.1|mhcii|seq196	antigen115|Q7A7G0|BX571856.1|mhcii|seq196
antigen115|Q7A7G0|BX571856.1|mhcii|seq484	antigen115|Q7A7G0|BX571856.1|mhcii|seq484
antigen115|Q7A7G0|BX571856.1|mhcii|seq484	antigen115|Q7A7G0|BX571856.1|mhcii|seq481
antigen115|Q7A7G0|BX571856.1|mhcii|seq484	antigen115|Q7A7G0|BX571856.1|mhcii|seq2753
antigen115|Q7A7G0|BX571856.1|mhcii|seq484	antigen115|Q7A7G0|BX571856.1|mhcii|seq482
antigen115|Q7A7G0|BX571856.1|mhcii|seq484	antigen115|Q7A7G0|BX571856.1|mhcii|seq2754
antigen115|Q7A7G0|BX571856.1|mhcii|seq484	antigen115|Q7A7G0|BX571856.1|mhcii|seq483
antigen115|Q7A7G0|BX571856.1|mhcii|seq484	antigen115|Q7A7G0|BX571856.1|mhcii|seq1443
antigen115|Q7A7G0|BX571856.1|mhcii|seq484	antigen115|Q7A7G0|BX571856.1|mhcii|seq2755
antigen115|Q7A7G0|BX571856.1|mhcii|seq484	antigen115|Q7A7G0|BX571856.1|mhcii|seq1444
antigen115|Q7A7G0|BX571856.1|mhcii|seq484	antigen115|Q7A7G0|BX571856.1|mhcii|seq2756
antigen115|Q7A7G0|BX571856.1|mhcii|seq484	antigen115|Q7A7G0|BX571856.1|mhcii|seq485
antigen115|Q7A7G0|BX571856.1|mhcii|seq484	antigen115|Q7A7G0|BX571856.1|mhcii|seq1445
antigen115|Q7A7G0|BX571856.1|mhcii|seq484	antigen115|Q7A7G0|BX571856.1|mhcii|seq486
antigen115|Q7A7G0|BX571856.1|mhcii|seq484	antigen115|Q7A7G0|BX571856.1|mhcii|seq1446
antigen115|Q7A7G0|BX571856.1|mhcii|seq484	antigen115|Q7A7G0|BX571856.1|mhcii|seq487
antigen115|Q7A7G0|BX571856.1|mhcii|seq484	antigen115|Q7A7G0|BX571856.1|mhcii|seq3399
antigen115|Q7A7G0|BX571856.1|mhcii|seq484	antigen115|Q7A7G0|BX571856.1|mhcii|seq3529
antigen115|Q7A7G0|BX571856.1|mhcii|seq484	antigen115|Q7A7G0|BX571856.1|mhcii|seq3530
antigen115|Q7A7G0|BX571856.1|mhcii|seq484	antigen115|Q7A7G0|BX571856.1|mhcii|seq3531
antigen115|Q7A7G0|BX571856.1|mhcii|seq484	antigen115|Q7A7G0|BX571856.1|mhcii|seq3532
antigen115|Q7A7G0|BX571856.1|mhcii|seq484	antigen115|Q7A7G0|BX571856.1|mhcii|seq3533
antigen115|Q7A7G0|BX571856.1|mhcii|seq484	antigen115|Q7A7G0|BX571856.1|mhcii|seq274
antigen115|Q7A7G0|BX571856.1|mhcii|seq484	antigen115|Q7A7G0|BX571856.1|mhcii|seq275
antigen115|Q7A7G0|BX571856.1|mhcii|seq484	antigen115|Q7A7G0|BX571856.1|mhcii|seq276
antigen115|Q7A7G0|BX571856.1|mhcii|seq484	antigen115|Q7A7G0|BX571856.1|mhcii|seq1113
antigen115|Q7A7G0|BX571856.1|mhcii|seq484	antigen115|Q7A7G0|BX571856.1|mhcii|seq1114
antigen115|Q7A7G0|BX571856.1|mhcii|seq484	antigen115|Q7A7G0|BX571856.1|mhcii|seq1115
antigen115|Q7A7G0|BX571856.1|mhcii|seq484	antigen115|Q7A7G0|BX571856.1|mhcii|seq1116
antigen115|Q7A7G0|BX571856.1|mhcii|seq484	antigen115|Q7A7G0|BX571856.1|mhcii|seq1117
antigen115|Q7A7G0|BX571856.1|mhcii|seq484	antigen115|Q7A7G0|BX571856.1|mhcii|seq1118
antigen115|Q7A7G0|BX571856.1|mhcii|seq708	antigen115|Q7A7G0|BX571856.1|mhcii|seq708
antigen115|Q7A7G0|BX571856.1|mhcii|seq708	antigen115|Q7A7G0|BX571856.1|mhcii|seq705
antigen115|Q7A7G0|BX571856.1|mhcii|seq708	antigen115|Q7A7G0|BX571856.1|mhcii|seq706
antigen115|Q7A7G0|BX571856.1|mhcii|seq708	antigen115|Q7A7G0|BX571856.1|mhcii|seq707
antigen115|Q7A7G0|BX571856.1|mhcii|seq708	antigen115|Q7A7G0|BX571856.1|mhcii|seq2214
