antigen14|A5IRD0|HE681097.1|mhcii|seq1	antigen14|A5IRD0|HE681097.1|mhcii|seq1
antigen14|A5IRD0|HE681097.1|mhcii|seq225	antigen14|A5IRD0|HE681097.1|mhcii|seq225
antigen14|A5IRD0|HE681097.1|mhcii|seq225	antigen14|A5IRD0|HE681097.1|mhcii|seq705
antigen14|A5IRD0|HE681097.1|mhcii|seq225	antigen14|A5IRD0|HE681097.1|mhcii|seq2561
antigen14|A5IRD0|HE681097.1|mhcii|seq225	antigen14|A5IRD0|HE681097.1|mhcii|seq1348
antigen14|A5IRD0|HE681097.1|mhcii|seq225	antigen14|A5IRD0|HE681097.1|mhcii|seq2436
antigen14|A5IRD0|HE681097.1|mhcii|seq225	antigen14|A5IRD0|HE681097.1|mhcii|seq1349
antigen14|A5IRD0|HE681097.1|mhcii|seq225	antigen14|A5IRD0|HE681097.1|mhcii|seq2437
antigen14|A5IRD0|HE681097.1|mhcii|seq225	antigen14|A5IRD0|HE681097.1|mhcii|seq3781
antigen14|A5IRD0|HE681097.1|mhcii|seq225	antigen14|A5IRD0|HE681097.1|mhcii|seq3973
antigen14|A5IRD0|HE681097.1|mhcii|seq225	antigen14|A5IRD0|HE681097.1|mhcii|seq1350
antigen14|A5IRD0|HE681097.1|mhcii|seq225	antigen14|A5IRD0|HE681097.1|mhcii|seq2406
antigen14|A5IRD0|HE681097.1|mhcii|seq225	antigen14|A5IRD0|HE681097.1|mhcii|seq2438
antigen14|A5IRD0|HE681097.1|mhcii|seq225	antigen14|A5IRD0|HE681097.1|mhcii|seq3782
antigen14|A5IRD0|HE681097.1|mhcii|seq225	antigen14|A5IRD0|HE681097.1|mhcii|seq3974
antigen14|A5IRD0|HE681097.1|mhcii|seq225	antigen14|A5IRD0|HE681097.1|mhcii|seq1351
antigen14|A5IRD0|HE681097.1|mhcii|seq225	antigen14|A5IRD0|HE681097.1|mhcii|seq2407
antigen14|A5IRD0|HE681097.1|mhcii|seq225	antigen14|A5IRD0|HE681097.1|mhcii|seq2439
antigen14|A5IRD0|HE681097.1|mhcii|seq225	antigen14|A5IRD0|HE681097.1|mhcii|seq3783
antigen14|A5IRD0|HE681097.1|mhcii|seq225	antigen14|A5IRD0|HE681097.1|mhcii|seq3975
antigen14|A5IRD0|HE681097.1|mhcii|seq225	antigen14|A5IRD0|HE681097.1|mhcii|seq2408
antigen14|A5IRD0|HE681097.1|mhcii|seq225	antigen14|A5IRD0|HE681097.1|mhcii|seq2440
antigen14|A5IRD0|HE681097.1|mhcii|seq225	antigen14|A5IRD0|HE681097.1|mhcii|seq3976
antigen14|A5IRD0|HE681097.1|mhcii|seq225	antigen14|A5IRD0|HE681097.1|mhcii|seq2409
antigen14|A5IRD0|HE681097.1|mhcii|seq225	antigen14|A5IRD0|HE681097.1|mhcii|seq2441
antigen14|A5IRD0|HE681097.1|mhcii|seq225	antigen14|A5IRD0|HE681097.1|mhcii|seq3977
antigen14|A5IRD0|HE681097.1|mhcii|seq225	antigen14|A5IRD0|HE681097.1|mhcii|seq2410
antigen14|A5IRD0|HE681097.1|mhcii|seq225	antigen14|A5IRD0|HE681097.1|mhcii|seq3978
antigen14|A5IRD0|HE681097.1|mhcii|seq225	antigen14|A5IRD0|HE681097.1|mhcii|seq2411
antigen14|A5IRD0|HE681097.1|mhcii|seq225	antigen14|A5IRD0|HE681097.1|mhcii|seq2676
antigen14|A5IRD0|HE681097.1|mhcii|seq225	antigen14|A5IRD0|HE681097.1|mhcii|seq5460
antigen14|A5IRD0|HE681097.1|mhcii|seq225	antigen14|A5IRD0|HE681097.1|mhcii|seq2677
antigen14|A5IRD0|HE681097.1|mhcii|seq225	antigen14|A5IRD0|HE681097.1|mhcii|seq2678
