antigen98|A5IVY0|BA000018.3|mhcii|seq1	antigen98|A5IVY0|BA000018.3|mhcii|seq1
antigen98|A5IVY0|BA000018.3|mhcii|seq225	antigen98|A5IVY0|BA000018.3|mhcii|seq225
antigen98|A5IVY0|BA000018.3|mhcii|seq225	antigen98|A5IVY0|BA000018.3|mhcii|seq193
antigen98|A5IVY0|BA000018.3|mhcii|seq225	antigen98|A5IVY0|BA000018.3|mhcii|seq194
antigen98|A5IVY0|BA000018.3|mhcii|seq225	antigen98|A5IVY0|BA000018.3|mhcii|seq195
antigen98|A5IVY0|BA000018.3|mhcii|seq225	antigen98|A5IVY0|BA000018.3|mhcii|seq4485
antigen98|A5IVY0|BA000018.3|mhcii|seq225	antigen98|A5IVY0|BA000018.3|mhcii|seq3398
antigen98|A5IVY0|BA000018.3|mhcii|seq225	antigen98|A5IVY0|BA000018.3|mhcii|seq4486
antigen98|A5IVY0|BA000018.3|mhcii|seq225	antigen98|A5IVY0|BA000018.3|mhcii|seq2599
antigen98|A5IVY0|BA000018.3|mhcii|seq225	antigen98|A5IVY0|BA000018.3|mhcii|seq3399
antigen98|A5IVY0|BA000018.3|mhcii|seq225	antigen98|A5IVY0|BA000018.3|mhcii|seq4487
antigen98|A5IVY0|BA000018.3|mhcii|seq225	antigen98|A5IVY0|BA000018.3|mhcii|seq2600
antigen98|A5IVY0|BA000018.3|mhcii|seq225	antigen98|A5IVY0|BA000018.3|mhcii|seq4488
antigen98|A5IVY0|BA000018.3|mhcii|seq225	antigen98|A5IVY0|BA000018.3|mhcii|seq2601
antigen98|A5IVY0|BA000018.3|mhcii|seq225	antigen98|A5IVY0|BA000018.3|mhcii|seq4489
antigen98|A5IVY0|BA000018.3|mhcii|seq225	antigen98|A5IVY0|BA000018.3|mhcii|seq2602
antigen98|A5IVY0|BA000018.3|mhcii|seq225	antigen98|A5IVY0|BA000018.3|mhcii|seq4490
antigen98|A5IVY0|BA000018.3|mhcii|seq225	antigen98|A5IVY0|BA000018.3|mhcii|seq2603
antigen98|A5IVY0|BA000018.3|mhcii|seq225	antigen98|A5IVY0|BA000018.3|mhcii|seq2604
antigen98|A5IVY0|BA000018.3|mhcii|seq225	antigen98|A5IVY0|BA000018.3|mhcii|seq2223
antigen98|A5IVY0|BA000018.3|mhcii|seq225	antigen98|A5IVY0|BA000018.3|mhcii|seq432
antigen98|A5IVY0|BA000018.3|mhcii|seq225	antigen98|A5IVY0|BA000018.3|mhcii|seq2224
antigen98|A5IVY0|BA000018.3|mhcii|seq225	antigen98|A5IVY0|BA000018.3|mhcii|seq433
antigen98|A5IVY0|BA000018.3|mhcii|seq225	antigen98|A5IVY0|BA000018.3|mhcii|seq2225
antigen98|A5IVY0|BA000018.3|mhcii|seq225	antigen98|A5IVY0|BA000018.3|mhcii|seq434
antigen98|A5IVY0|BA000018.3|mhcii|seq225	antigen98|A5IVY0|BA000018.3|mhcii|seq2226
antigen98|A5IVY0|BA000018.3|mhcii|seq225	antigen98|A5IVY0|BA000018.3|mhcii|seq4530
antigen98|A5IVY0|BA000018.3|mhcii|seq225	antigen98|A5IVY0|BA000018.3|mhcii|seq435
antigen98|A5IVY0|BA000018.3|mhcii|seq225	antigen98|A5IVY0|BA000018.3|mhcii|seq2227
antigen98|A5IVY0|BA000018.3|mhcii|seq225	antigen98|A5IVY0|BA000018.3|mhcii|seq4531
antigen98|A5IVY0|BA000018.3|mhcii|seq225	antigen98|A5IVY0|BA000018.3|mhcii|seq2228
antigen98|A5IVY0|BA000018.3|mhcii|seq225	antigen98|A5IVY0|BA000018.3|mhcii|seq4532
antigen98|A5IVY0|BA000018.3|mhcii|seq225	antigen98|A5IVY0|BA000018.3|mhcii|seq2677
antigen98|A5IVY0|BA000018.3|mhcii|seq225	antigen98|A5IVY0|BA000018.3|mhcii|seq4533
antigen98|A5IVY0|BA000018.3|mhcii|seq225	antigen98|A5IVY0|BA000018.3|mhcii|seq2678
antigen98|A5IVY0|BA000018.3|mhcii|seq225	antigen98|A5IVY0|BA000018.3|mhcii|seq4534
antigen98|A5IVY0|BA000018.3|mhcii|seq225	antigen98|A5IVY0|BA000018.3|mhcii|seq2679
antigen98|A5IVY0|BA000018.3|mhcii|seq225	antigen98|A5IVY0|BA000018.3|mhcii|seq25
