antigen43|P06886|BX571857.1|mhcii|seq1287	antigen43|P06886|BX571857.1|mhcii|seq1287
antigen43|P06886|BX571857.1|mhcii|seq360	antigen43|P06886|BX571857.1|mhcii|seq360
antigen43|P06886|BX571857.1|mhcii|seq360	antigen43|P06886|BX571857.1|mhcii|seq361
antigen43|P06886|BX571857.1|mhcii|seq520	antigen43|P06886|BX571857.1|mhcii|seq520
antigen43|P06886|BX571857.1|mhcii|seq520	antigen43|P06886|BX571857.1|mhcii|seq515
antigen43|P06886|BX571857.1|mhcii|seq520	antigen43|P06886|BX571857.1|mhcii|seq516
antigen43|P06886|BX571857.1|mhcii|seq520	antigen43|P06886|BX571857.1|mhcii|seq165
antigen43|P06886|BX571857.1|mhcii|seq520	antigen43|P06886|BX571857.1|mhcii|seq517
antigen43|P06886|BX571857.1|mhcii|seq520	antigen43|P06886|BX571857.1|mhcii|seq773
antigen43|P06886|BX571857.1|mhcii|seq520	antigen43|P06886|BX571857.1|mhcii|seq166
antigen43|P06886|BX571857.1|mhcii|seq520	antigen43|P06886|BX571857.1|mhcii|seq518
antigen43|P06886|BX571857.1|mhcii|seq520	antigen43|P06886|BX571857.1|mhcii|seq774
antigen43|P06886|BX571857.1|mhcii|seq520	antigen43|P06886|BX571857.1|mhcii|seq1190
antigen43|P06886|BX571857.1|mhcii|seq520	antigen43|P06886|BX571857.1|mhcii|seq167
antigen43|P06886|BX571857.1|mhcii|seq520	antigen43|P06886|BX571857.1|mhcii|seq231
antigen43|P06886|BX571857.1|mhcii|seq520	antigen43|P06886|BX571857.1|mhcii|seq519
antigen43|P06886|BX571857.1|mhcii|seq520	antigen43|P06886|BX571857.1|mhcii|seq775
antigen43|P06886|BX571857.1|mhcii|seq520	antigen43|P06886|BX571857.1|mhcii|seq1191
antigen43|P06886|BX571857.1|mhcii|seq520	antigen43|P06886|BX571857.1|mhcii|seq168
antigen43|P06886|BX571857.1|mhcii|seq520	antigen43|P06886|BX571857.1|mhcii|seq232
antigen43|P06886|BX571857.1|mhcii|seq520	antigen43|P06886|BX571857.1|mhcii|seq776
antigen43|P06886|BX571857.1|mhcii|seq520	antigen43|P06886|BX571857.1|mhcii|seq1192
antigen43|P06886|BX571857.1|mhcii|seq520	antigen43|P06886|BX571857.1|mhcii|seq169
antigen43|P06886|BX571857.1|mhcii|seq520	antigen43|P06886|BX571857.1|mhcii|seq233
antigen43|P06886|BX571857.1|mhcii|seq520	antigen43|P06886|BX571857.1|mhcii|seq265
antigen43|P06886|BX571857.1|mhcii|seq520	antigen43|P06886|BX571857.1|mhcii|seq1193
antigen43|P06886|BX571857.1|mhcii|seq520	antigen43|P06886|BX571857.1|mhcii|seq170
antigen43|P06886|BX571857.1|mhcii|seq520	antigen43|P06886|BX571857.1|mhcii|seq234
