antigen32|Q5HFH6|BX571857.1|mhcii|seq1	antigen32|Q5HFH6|BX571857.1|mhcii|seq1
antigen32|Q5HFH6|BX571857.1|mhcii|seq225	antigen32|Q5HFH6|BX571857.1|mhcii|seq225
antigen32|Q5HFH6|BX571857.1|mhcii|seq225	antigen32|Q5HFH6|BX571857.1|mhcii|seq1889
antigen32|Q5HFH6|BX571857.1|mhcii|seq225	antigen32|Q5HFH6|BX571857.1|mhcii|seq3489
antigen32|Q5HFH6|BX571857.1|mhcii|seq225	antigen32|Q5HFH6|BX571857.1|mhcii|seq1890
antigen32|Q5HFH6|BX571857.1|mhcii|seq225	antigen32|Q5HFH6|BX571857.1|mhcii|seq40
antigen32|Q5HFH6|BX571857.1|mhcii|seq225	antigen32|Q5HFH6|BX571857.1|mhcii|seq41
antigen32|Q5HFH6|BX571857.1|mhcii|seq225	antigen32|Q5HFH6|BX571857.1|mhcii|seq1001
antigen32|Q5HFH6|BX571857.1|mhcii|seq225	antigen32|Q5HFH6|BX571857.1|mhcii|seq42
antigen32|Q5HFH6|BX571857.1|mhcii|seq225	antigen32|Q5HFH6|BX571857.1|mhcii|seq1002
antigen32|Q5HFH6|BX571857.1|mhcii|seq225	antigen32|Q5HFH6|BX571857.1|mhcii|seq43
antigen32|Q5HFH6|BX571857.1|mhcii|seq225	antigen32|Q5HFH6|BX571857.1|mhcii|seq715
antigen32|Q5HFH6|BX571857.1|mhcii|seq225	antigen32|Q5HFH6|BX571857.1|mhcii|seq1003
antigen32|Q5HFH6|BX571857.1|mhcii|seq225	antigen32|Q5HFH6|BX571857.1|mhcii|seq44
antigen32|Q5HFH6|BX571857.1|mhcii|seq225	antigen32|Q5HFH6|BX571857.1|mhcii|seq716
antigen32|Q5HFH6|BX571857.1|mhcii|seq225	antigen32|Q5HFH6|BX571857.1|mhcii|seq1004
antigen32|Q5HFH6|BX571857.1|mhcii|seq225	antigen32|Q5HFH6|BX571857.1|mhcii|seq45
antigen32|Q5HFH6|BX571857.1|mhcii|seq225	antigen32|Q5HFH6|BX571857.1|mhcii|seq717
antigen32|Q5HFH6|BX571857.1|mhcii|seq225	antigen32|Q5HFH6|BX571857.1|mhcii|seq1005
antigen32|Q5HFH6|BX571857.1|mhcii|seq225	antigen32|Q5HFH6|BX571857.1|mhcii|seq718
antigen32|Q5HFH6|BX571857.1|mhcii|seq225	antigen32|Q5HFH6|BX571857.1|mhcii|seq719
antigen32|Q5HFH6|BX571857.1|mhcii|seq225	antigen32|Q5HFH6|BX571857.1|mhcii|seq2576
antigen32|Q5HFH6|BX571857.1|mhcii|seq225	antigen32|Q5HFH6|BX571857.1|mhcii|seq2577
antigen32|Q5HFH6|BX571857.1|mhcii|seq225	antigen32|Q5HFH6|BX571857.1|mhcii|seq2578
antigen32|Q5HFH6|BX571857.1|mhcii|seq225	antigen32|Q5HFH6|BX571857.1|mhcii|seq1047
antigen32|Q5HFH6|BX571857.1|mhcii|seq225	antigen32|Q5HFH6|BX571857.1|mhcii|seq1048
antigen32|Q5HFH6|BX571857.1|mhcii|seq225	antigen32|Q5HFH6|BX571857.1|mhcii|seq1049
antigen32|Q5HFH6|BX571857.1|mhcii|seq225	antigen32|Q5HFH6|BX571857.1|mhcii|seq1050
antigen32|Q5HFH6|BX571857.1|mhcii|seq225	antigen32|Q5HFH6|BX571857.1|mhcii|seq4635
antigen32|Q5HFH6|BX571857.1|mhcii|seq225	antigen32|Q5HFH6|BX571857.1|mhcii|seq220
antigen32|Q5HFH6|BX571857.1|mhcii|seq225	antigen32|Q5HFH6|BX571857.1|mhcii|seq4636
antigen32|Q5HFH6|BX571857.1|mhcii|seq225	antigen32|Q5HFH6|BX571857.1|mhcii|seq221
antigen32|Q5HFH6|BX571857.1|mhcii|seq225	antigen32|Q5HFH6|BX571857.1|mhcii|seq1885
antigen32|Q5HFH6|BX571857.1|mhcii|seq225	antigen32|Q5HFH6|BX571857.1|mhcii|seq4637
antigen32|Q5HFH6|BX571857.1|mhcii|seq225	antigen32|Q5HFH6|BX571857.1|mhcii|seq222
antigen32|Q5HFH6|BX571857.1|mhcii|seq225	antigen32|Q5HFH6|BX571857.1|mhcii|seq1886
antigen32|Q5HFH6|BX571857.1|mhcii|seq225	antigen32|Q5HFH6|BX571857.1|mhcii|seq3486
antigen32|Q5HFH6|BX571857.1|mhcii|seq225	antigen32|Q5HFH6|BX571857.1|mhcii|seq4638
antigen32|Q5HFH6|BX571857.1|mhcii|seq225	antigen32|Q5HFH6|BX571857.1|mhcii|seq223
antigen32|Q5HFH6|BX571857.1|mhcii|seq225	antigen32|Q5HFH6|BX571857.1|mhcii|seq1887
antigen32|Q5HFH6|BX571857.1|mhcii|seq225	antigen32|Q5HFH6|BX571857.1|mhcii|seq3487
antigen32|Q5HFH6|BX571857.1|mhcii|seq225	antigen32|Q5HFH6|BX571857.1|mhcii|seq4639
antigen32|Q5HFH6|BX571857.1|mhcii|seq225	antigen32|Q5HFH6|BX571857.1|mhcii|seq224
antigen32|Q5HFH6|BX571857.1|mhcii|seq225	antigen32|Q5HFH6|BX571857.1|mhcii|seq1888
antigen32|Q5HFH6|BX571857.1|mhcii|seq225	antigen32|Q5HFH6|BX571857.1|mhcii|seq3488
antigen32|Q5HFH6|BX571857.1|mhcii|seq225	antigen32|Q5HFH6|BX571857.1|mhcii|seq4640
antigen32|Q5HFH6|BX571857.1|mhcii|seq257	antigen32|Q5HFH6|BX571857.1|mhcii|seq257
antigen32|Q5HFH6|BX571857.1|mhcii|seq257	antigen32|Q5HFH6|BX571857.1|mhcii|seq5305
antigen32|Q5HFH6|BX571857.1|mhcii|seq257	antigen32|Q5HFH6|BX571857.1|mhcii|seq5198
antigen32|Q5HFH6|BX571857.1|mhcii|seq257	antigen32|Q5HFH6|BX571857.1|mhcii|seq256
antigen32|Q5HFH6|BX571857.1|mhcii|seq257	antigen32|Q5HFH6|BX571857.1|mhcii|seq5304
antigen32|Q5HFH6|BX571857.1|mhcii|seq481	antigen32|Q5HFH6|BX571857.1|mhcii|seq481
antigen32|Q5HFH6|BX571857.1|mhcii|seq481	antigen32|Q5HFH6|BX571857.1|mhcii|seq482
antigen32|Q5HFH6|BX571857.1|mhcii|seq609	antigen32|Q5HFH6|BX571857.1|mhcii|seq609
antigen32|Q5HFH6|BX571857.1|mhcii|seq609	antigen32|Q5HFH6|BX571857.1|mhcii|seq3875
antigen32|Q5HFH6|BX571857.1|mhcii|seq609	antigen32|Q5HFH6|BX571857.1|mhcii|seq3876
antigen32|Q5HFH6|BX571857.1|mhcii|seq609	antigen32|Q5HFH6|BX571857.1|mhcii|seq3973
antigen32|Q5HFH6|BX571857.1|mhcii|seq609	antigen32|Q5HFH6|BX571857.1|mhcii|seq3878
antigen32|Q5HFH6|BX571857.1|mhcii|seq609	antigen32|Q5HFH6|BX571857.1|mhcii|seq3974
antigen32|Q5HFH6|BX571857.1|mhcii|seq609	antigen32|Q5HFH6|BX571857.1|mhcii|seq3976
antigen32|Q5HFH6|BX571857.1|mhcii|seq609	antigen32|Q5HFH6|BX571857.1|mhcii|seq6026
antigen32|Q5HFH6|BX571857.1|mhcii|seq609	antigen32|Q5HFH6|BX571857.1|mhcii|seq6027
antigen32|Q5HFH6|BX571857.1|mhcii|seq609	antigen32|Q5HFH6|BX571857.1|mhcii|seq6028
antigen32|Q5HFH6|BX571857.1|mhcii|seq609	antigen32|Q5HFH6|BX571857.1|mhcii|seq6029
antigen32|Q5HFH6|BX571857.1|mhcii|seq609	antigen32|Q5HFH6|BX571857.1|mhcii|seq3065
antigen32|Q5HFH6|BX571857.1|mhcii|seq609	antigen32|Q5HFH6|BX571857.1|mhcii|seq3066
antigen32|Q5HFH6|BX571857.1|mhcii|seq609	antigen32|Q5HFH6|BX571857.1|mhcii|seq3068
antigen32|Q5HFH6|BX571857.1|mhcii|seq609	antigen32|Q5HFH6|BX571857.1|mhcii|seq606
antigen32|Q5HFH6|BX571857.1|mhcii|seq609	antigen32|Q5HFH6|BX571857.1|mhcii|seq607
antigen32|Q5HFH6|BX571857.1|mhcii|seq609	antigen32|Q5HFH6|BX571857.1|mhcii|seq608
antigen32|Q5HFH6|BX571857.1|mhcii|seq705	antigen32|Q5HFH6|BX571857.1|mhcii|seq705
antigen32|Q5HFH6|BX571857.1|mhcii|seq705	antigen32|Q5HFH6|BX571857.1|mhcii|seq2593
antigen32|Q5HFH6|BX571857.1|mhcii|seq705	antigen32|Q5HFH6|BX571857.1|mhcii|seq6019
antigen32|Q5HFH6|BX571857.1|mhcii|seq705	antigen32|Q5HFH6|BX571857.1|mhcii|seq6211
antigen32|Q5HFH6|BX571857.1|mhcii|seq705	antigen32|Q5HFH6|BX571857.1|mhcii|seq6212
antigen32|Q5HFH6|BX571857.1|mhcii|seq705	antigen32|Q5HFH6|BX571857.1|mhcii|seq6213
antigen32|Q5HFH6|BX571857.1|mhcii|seq705	antigen32|Q5HFH6|BX571857.1|mhcii|seq6214
antigen32|Q5HFH6|BX571857.1|mhcii|seq705	antigen32|Q5HFH6|BX571857.1|mhcii|seq1581
antigen32|Q5HFH6|BX571857.1|mhcii|seq705	antigen32|Q5HFH6|BX571857.1|mhcii|seq1582
antigen32|Q5HFH6|BX571857.1|mhcii|seq705	antigen32|Q5HFH6|BX571857.1|mhcii|seq1583
antigen32|Q5HFH6|BX571857.1|mhcii|seq705	antigen32|Q5HFH6|BX571857.1|mhcii|seq3441
antigen32|Q5HFH6|BX571857.1|mhcii|seq705	antigen32|Q5HFH6|BX571857.1|mhcii|seq3442
antigen32|Q5HFH6|BX571857.1|mhcii|seq705	antigen32|Q5HFH6|BX571857.1|mhcii|seq1203
antigen32|Q5HFH6|BX571857.1|mhcii|seq705	antigen32|Q5HFH6|BX571857.1|mhcii|seq1683
