antigen165|P65407|CP002114.3|mhcii|seq1	antigen165|P65407|CP002114.3|mhcii|seq1
antigen165|P65407|CP002114.3|mhcii|seq129	antigen165|P65407|CP002114.3|mhcii|seq129
antigen165|P65407|CP002114.3|mhcii|seq129	antigen165|P65407|CP002114.3|mhcii|seq130
antigen165|P65407|CP002114.3|mhcii|seq129	antigen165|P65407|CP002114.3|mhcii|seq564
antigen165|P65407|CP002114.3|mhcii|seq129	antigen165|P65407|CP002114.3|mhcii|seq473
antigen165|P65407|CP002114.3|mhcii|seq129	antigen165|P65407|CP002114.3|mhcii|seq474
antigen165|P65407|CP002114.3|mhcii|seq129	antigen165|P65407|CP002114.3|mhcii|seq475
antigen165|P65407|CP002114.3|mhcii|seq129	antigen165|P65407|CP002114.3|mhcii|seq476
antigen165|P65407|CP002114.3|mhcii|seq129	antigen165|P65407|CP002114.3|mhcii|seq477
antigen165|P65407|CP002114.3|mhcii|seq129	antigen165|P65407|CP002114.3|mhcii|seq126
antigen165|P65407|CP002114.3|mhcii|seq129	antigen165|P65407|CP002114.3|mhcii|seq127
antigen165|P65407|CP002114.3|mhcii|seq129	antigen165|P65407|CP002114.3|mhcii|seq128
antigen165|P65407|CP002114.3|mhcii|seq321	antigen165|P65407|CP002114.3|mhcii|seq321
antigen165|P65407|CP002114.3|mhcii|seq321	antigen165|P65407|CP002114.3|mhcii|seq712
antigen165|P65407|CP002114.3|mhcii|seq321	antigen165|P65407|CP002114.3|mhcii|seq553
antigen165|P65407|CP002114.3|mhcii|seq321	antigen165|P65407|CP002114.3|mhcii|seq713
antigen165|P65407|CP002114.3|mhcii|seq321	antigen165|P65407|CP002114.3|mhcii|seq554
antigen165|P65407|CP002114.3|mhcii|seq321	antigen165|P65407|CP002114.3|mhcii|seq555
antigen165|P65407|CP002114.3|mhcii|seq321	antigen165|P65407|CP002114.3|mhcii|seq556
antigen165|P65407|CP002114.3|mhcii|seq321	antigen165|P65407|CP002114.3|mhcii|seq557
antigen165|P65407|CP002114.3|mhcii|seq321	antigen165|P65407|CP002114.3|mhcii|seq206
antigen165|P65407|CP002114.3|mhcii|seq321	antigen165|P65407|CP002114.3|mhcii|seq558
antigen165|P65407|CP002114.3|mhcii|seq321	antigen165|P65407|CP002114.3|mhcii|seq207
antigen165|P65407|CP002114.3|mhcii|seq321	antigen165|P65407|CP002114.3|mhcii|seq495
antigen165|P65407|CP002114.3|mhcii|seq321	antigen165|P65407|CP002114.3|mhcii|seq208
antigen165|P65407|CP002114.3|mhcii|seq321	antigen165|P65407|CP002114.3|mhcii|seq496
antigen165|P65407|CP002114.3|mhcii|seq321	antigen165|P65407|CP002114.3|mhcii|seq209
