antigen95|Q7A7B2|BX571857.1|mhcii|seq2851	antigen95|Q7A7B2|BX571857.1|mhcii|seq2851
antigen95|Q7A7B2|BX571857.1|mhcii|seq3075	antigen95|Q7A7B2|BX571857.1|mhcii|seq3075
antigen95|Q7A7B2|BX571857.1|mhcii|seq3075	antigen95|Q7A7B2|BX571857.1|mhcii|seq3073
antigen95|Q7A7B2|BX571857.1|mhcii|seq3075	antigen95|Q7A7B2|BX571857.1|mhcii|seq2466
antigen95|Q7A7B2|BX571857.1|mhcii|seq3075	antigen95|Q7A7B2|BX571857.1|mhcii|seq3074
antigen95|Q7A7B2|BX571857.1|mhcii|seq3075	antigen95|Q7A7B2|BX571857.1|mhcii|seq2467
antigen95|Q7A7B2|BX571857.1|mhcii|seq3075	antigen95|Q7A7B2|BX571857.1|mhcii|seq2468
antigen95|Q7A7B2|BX571857.1|mhcii|seq3075	antigen95|Q7A7B2|BX571857.1|mhcii|seq2469
antigen95|Q7A7B2|BX571857.1|mhcii|seq3075	antigen95|Q7A7B2|BX571857.1|mhcii|seq1926
antigen95|Q7A7B2|BX571857.1|mhcii|seq3075	antigen95|Q7A7B2|BX571857.1|mhcii|seq2278
antigen95|Q7A7B2|BX571857.1|mhcii|seq3075	antigen95|Q7A7B2|BX571857.1|mhcii|seq2470
antigen95|Q7A7B2|BX571857.1|mhcii|seq3075	antigen95|Q7A7B2|BX571857.1|mhcii|seq1927
antigen95|Q7A7B2|BX571857.1|mhcii|seq3075	antigen95|Q7A7B2|BX571857.1|mhcii|seq2279
antigen95|Q7A7B2|BX571857.1|mhcii|seq3075	antigen95|Q7A7B2|BX571857.1|mhcii|seq2471
antigen95|Q7A7B2|BX571857.1|mhcii|seq3075	antigen95|Q7A7B2|BX571857.1|mhcii|seq1928
antigen95|Q7A7B2|BX571857.1|mhcii|seq3075	antigen95|Q7A7B2|BX571857.1|mhcii|seq2280
antigen95|Q7A7B2|BX571857.1|mhcii|seq3075	antigen95|Q7A7B2|BX571857.1|mhcii|seq1929
antigen95|Q7A7B2|BX571857.1|mhcii|seq3075	antigen95|Q7A7B2|BX571857.1|mhcii|seq2281
antigen95|Q7A7B2|BX571857.1|mhcii|seq3075	antigen95|Q7A7B2|BX571857.1|mhcii|seq1930
antigen95|Q7A7B2|BX571857.1|mhcii|seq3075	antigen95|Q7A7B2|BX571857.1|mhcii|seq2954
antigen95|Q7A7B2|BX571857.1|mhcii|seq3075	antigen95|Q7A7B2|BX571857.1|mhcii|seq2955
antigen95|Q7A7B2|BX571857.1|mhcii|seq3075	antigen95|Q7A7B2|BX571857.1|mhcii|seq1740
antigen95|Q7A7B2|BX571857.1|mhcii|seq3075	antigen95|Q7A7B2|BX571857.1|mhcii|seq1741
antigen95|Q7A7B2|BX571857.1|mhcii|seq3075	antigen95|Q7A7B2|BX571857.1|mhcii|seq2093
antigen95|Q7A7B2|BX571857.1|mhcii|seq3075	antigen95|Q7A7B2|BX571857.1|mhcii|seq1742
antigen95|Q7A7B2|BX571857.1|mhcii|seq3075	antigen95|Q7A7B2|BX571857.1|mhcii|seq2094
antigen95|Q7A7B2|BX571857.1|mhcii|seq3075	antigen95|Q7A7B2|BX571857.1|mhcii|seq1743
antigen95|Q7A7B2|BX571857.1|mhcii|seq3075	antigen95|Q7A7B2|BX571857.1|mhcii|seq2095
antigen95|Q7A7B2|BX571857.1|mhcii|seq3075	antigen95|Q7A7B2|BX571857.1|mhcii|seq1744
antigen95|Q7A7B2|BX571857.1|mhcii|seq3075	antigen95|Q7A7B2|BX571857.1|mhcii|seq1840
antigen95|Q7A7B2|BX571857.1|mhcii|seq3075	antigen95|Q7A7B2|BX571857.1|mhcii|seq1745
antigen95|Q7A7B2|BX571857.1|mhcii|seq3075	antigen95|Q7A7B2|BX571857.1|mhcii|seq851
antigen95|Q7A7B2|BX571857.1|mhcii|seq3075	antigen95|Q7A7B2|BX571857.1|mhcii|seq852
antigen95|Q7A7B2|BX571857.1|mhcii|seq3075	antigen95|Q7A7B2|BX571857.1|mhcii|seq853
antigen95|Q7A7B2|BX571857.1|mhcii|seq3075	antigen95|Q7A7B2|BX571857.1|mhcii|seq854
antigen95|Q7A7B2|BX571857.1|mhcii|seq3075	antigen95|Q7A7B2|BX571857.1|mhcii|seq2486
antigen95|Q7A7B2|BX571857.1|mhcii|seq3075	antigen95|Q7A7B2|BX571857.1|mhcii|seq855
antigen95|Q7A7B2|BX571857.1|mhcii|seq3075	antigen95|Q7A7B2|BX571857.1|mhcii|seq2487
antigen95|Q7A7B2|BX571857.1|mhcii|seq3075	antigen95|Q7A7B2|BX571857.1|mhcii|seq856
antigen95|Q7A7B2|BX571857.1|mhcii|seq3075	antigen95|Q7A7B2|BX571857.1|mhcii|seq2488
antigen95|Q7A7B2|BX571857.1|mhcii|seq3075	antigen95|Q7A7B2|BX571857.1|mhcii|seq2489
antigen95|Q7A7B2|BX571857.1|mhcii|seq3075	antigen95|Q7A7B2|BX571857.1|mhcii|seq2490
antigen95|Q7A7B2|BX571857.1|mhcii|seq3075	antigen95|Q7A7B2|BX571857.1|mhcii|seq1531
antigen95|Q7A7B2|BX571857.1|mhcii|seq3075	antigen95|Q7A7B2|BX571857.1|mhcii|seq2491
antigen95|Q7A7B2|BX571857.1|mhcii|seq3075	antigen95|Q7A7B2|BX571857.1|mhcii|seq1532
antigen95|Q7A7B2|BX571857.1|mhcii|seq3075	antigen95|Q7A7B2|BX571857.1|mhcii|seq1533
antigen95|Q7A7B2|BX571857.1|mhcii|seq3075	antigen95|Q7A7B2|BX571857.1|mhcii|seq1534
antigen95|Q7A7B2|BX571857.1|mhcii|seq3075	antigen95|Q7A7B2|BX571857.1|mhcii|seq3070
antigen95|Q7A7B2|BX571857.1|mhcii|seq3075	antigen95|Q7A7B2|BX571857.1|mhcii|seq1535
antigen95|Q7A7B2|BX571857.1|mhcii|seq3075	antigen95|Q7A7B2|BX571857.1|mhcii|seq3071
antigen95|Q7A7B2|BX571857.1|mhcii|seq3075	antigen95|Q7A7B2|BX571857.1|mhcii|seq1536
antigen95|Q7A7B2|BX571857.1|mhcii|seq3075	antigen95|Q7A7B2|BX571857.1|mhcii|seq3072
antigen95|Q7A7B2|BX571857.1|mhcii|seq3363	antigen95|Q7A7B2|BX571857.1|mhcii|seq3363
antigen95|Q7A7B2|BX571857.1|mhcii|seq3363	antigen95|Q7A7B2|BX571857.1|mhcii|seq3361
antigen95|Q7A7B2|BX571857.1|mhcii|seq3363	antigen95|Q7A7B2|BX571857.1|mhcii|seq3362
antigen95|Q7A7B2|BX571857.1|mhcii|seq3363	antigen95|Q7A7B2|BX571857.1|mhcii|seq3364
antigen95|Q7A7B2|BX571857.1|mhcii|seq3363	antigen95|Q7A7B2|BX571857.1|mhcii|seq3365
antigen95|Q7A7B2|BX571857.1|mhcii|seq3363	antigen95|Q7A7B2|BX571857.1|mhcii|seq2096
