antigen121|Q99U50|CP000253.1|mhcii|seq1	antigen121|Q99U50|CP000253.1|mhcii|seq1
antigen121|Q99U50|CP000253.1|mhcii|seq449	antigen121|Q99U50|CP000253.1|mhcii|seq449
antigen121|Q99U50|CP000253.1|mhcii|seq449	antigen121|Q99U50|CP000253.1|mhcii|seq3173
antigen121|Q99U50|CP000253.1|mhcii|seq449	antigen121|Q99U50|CP000253.1|mhcii|seq3910
antigen121|Q99U50|CP000253.1|mhcii|seq449	antigen121|Q99U50|CP000253.1|mhcii|seq1351
antigen121|Q99U50|CP000253.1|mhcii|seq449	antigen121|Q99U50|CP000253.1|mhcii|seq3911
antigen121|Q99U50|CP000253.1|mhcii|seq449	antigen121|Q99U50|CP000253.1|mhcii|seq1352
antigen121|Q99U50|CP000253.1|mhcii|seq449	antigen121|Q99U50|CP000253.1|mhcii|seq3912
antigen121|Q99U50|CP000253.1|mhcii|seq449	antigen121|Q99U50|CP000253.1|mhcii|seq3913
antigen121|Q99U50|CP000253.1|mhcii|seq449	antigen121|Q99U50|CP000253.1|mhcii|seq3914
antigen121|Q99U50|CP000253.1|mhcii|seq449	antigen121|Q99U50|CP000253.1|mhcii|seq3595
antigen121|Q99U50|CP000253.1|mhcii|seq449	antigen121|Q99U50|CP000253.1|mhcii|seq3915
antigen121|Q99U50|CP000253.1|mhcii|seq449	antigen121|Q99U50|CP000253.1|mhcii|seq3596
antigen121|Q99U50|CP000253.1|mhcii|seq449	antigen121|Q99U50|CP000253.1|mhcii|seq3597
antigen121|Q99U50|CP000253.1|mhcii|seq449	antigen121|Q99U50|CP000253.1|mhcii|seq174
antigen121|Q99U50|CP000253.1|mhcii|seq449	antigen121|Q99U50|CP000253.1|mhcii|seq1966
antigen121|Q99U50|CP000253.1|mhcii|seq449	antigen121|Q99U50|CP000253.1|mhcii|seq3598
antigen121|Q99U50|CP000253.1|mhcii|seq449	antigen121|Q99U50|CP000253.1|mhcii|seq175
antigen121|Q99U50|CP000253.1|mhcii|seq449	antigen121|Q99U50|CP000253.1|mhcii|seq1967
antigen121|Q99U50|CP000253.1|mhcii|seq449	antigen121|Q99U50|CP000253.1|mhcii|seq2607
antigen121|Q99U50|CP000253.1|mhcii|seq449	antigen121|Q99U50|CP000253.1|mhcii|seq3599
antigen121|Q99U50|CP000253.1|mhcii|seq449	antigen121|Q99U50|CP000253.1|mhcii|seq176
antigen121|Q99U50|CP000253.1|mhcii|seq449	antigen121|Q99U50|CP000253.1|mhcii|seq1968
antigen121|Q99U50|CP000253.1|mhcii|seq449	antigen121|Q99U50|CP000253.1|mhcii|seq2608
antigen121|Q99U50|CP000253.1|mhcii|seq449	antigen121|Q99U50|CP000253.1|mhcii|seq3600
antigen121|Q99U50|CP000253.1|mhcii|seq449	antigen121|Q99U50|CP000253.1|mhcii|seq3792
antigen121|Q99U50|CP000253.1|mhcii|seq449	antigen121|Q99U50|CP000253.1|mhcii|seq177
antigen121|Q99U50|CP000253.1|mhcii|seq449	antigen121|Q99U50|CP000253.1|mhcii|seq1969
antigen121|Q99U50|CP000253.1|mhcii|seq449	antigen121|Q99U50|CP000253.1|mhcii|seq2545
antigen121|Q99U50|CP000253.1|mhcii|seq449	antigen121|Q99U50|CP000253.1|mhcii|seq2609
antigen121|Q99U50|CP000253.1|mhcii|seq449	antigen121|Q99U50|CP000253.1|mhcii|seq3793
antigen121|Q99U50|CP000253.1|mhcii|seq449	antigen121|Q99U50|CP000253.1|mhcii|seq178
antigen121|Q99U50|CP000253.1|mhcii|seq449	antigen121|Q99U50|CP000253.1|mhcii|seq1970
antigen121|Q99U50|CP000253.1|mhcii|seq449	antigen121|Q99U50|CP000253.1|mhcii|seq2546
antigen121|Q99U50|CP000253.1|mhcii|seq449	antigen121|Q99U50|CP000253.1|mhcii|seq3794
antigen121|Q99U50|CP000253.1|mhcii|seq449	antigen121|Q99U50|CP000253.1|mhcii|seq179
antigen121|Q99U50|CP000253.1|mhcii|seq449	antigen121|Q99U50|CP000253.1|mhcii|seq1971
antigen121|Q99U50|CP000253.1|mhcii|seq449	antigen121|Q99U50|CP000253.1|mhcii|seq2547
antigen121|Q99U50|CP000253.1|mhcii|seq449	antigen121|Q99U50|CP000253.1|mhcii|seq3795
antigen121|Q99U50|CP000253.1|mhcii|seq449	antigen121|Q99U50|CP000253.1|mhcii|seq2548
antigen121|Q99U50|CP000253.1|mhcii|seq449	antigen121|Q99U50|CP000253.1|mhcii|seq2549
antigen121|Q99U50|CP000253.1|mhcii|seq449	antigen121|Q99U50|CP000253.1|mhcii|seq2041
antigen121|Q99U50|CP000253.1|mhcii|seq449	antigen121|Q99U50|CP000253.1|mhcii|seq2042
antigen121|Q99U50|CP000253.1|mhcii|seq449	antigen121|Q99U50|CP000253.1|mhcii|seq2043
antigen121|Q99U50|CP000253.1|mhcii|seq449	antigen121|Q99U50|CP000253.1|mhcii|seq444
antigen121|Q99U50|CP000253.1|mhcii|seq449	antigen121|Q99U50|CP000253.1|mhcii|seq2044
antigen121|Q99U50|CP000253.1|mhcii|seq449	antigen121|Q99U50|CP000253.1|mhcii|seq445
antigen121|Q99U50|CP000253.1|mhcii|seq449	antigen121|Q99U50|CP000253.1|mhcii|seq2045
antigen121|Q99U50|CP000253.1|mhcii|seq449	antigen121|Q99U50|CP000253.1|mhcii|seq446
antigen121|Q99U50|CP000253.1|mhcii|seq449	antigen121|Q99U50|CP000253.1|mhcii|seq2046
antigen121|Q99U50|CP000253.1|mhcii|seq449	antigen121|Q99U50|CP000253.1|mhcii|seq447
antigen121|Q99U50|CP000253.1|mhcii|seq449	antigen121|Q99U50|CP000253.1|mhcii|seq448
antigen121|Q99U50|CP000253.1|mhcii|seq929	antigen121|Q99U50|CP000253.1|mhcii|seq929
antigen121|Q99U50|CP000253.1|mhcii|seq929	antigen121|Q99U50|CP000253.1|mhcii|seq520
antigen121|Q99U50|CP000253.1|mhcii|seq929	antigen121|Q99U50|CP000253.1|mhcii|seq521
antigen121|Q99U50|CP000253.1|mhcii|seq929	antigen121|Q99U50|CP000253.1|mhcii|seq522
antigen121|Q99U50|CP000253.1|mhcii|seq929	antigen121|Q99U50|CP000253.1|mhcii|seq1514
antigen121|Q99U50|CP000253.1|mhcii|seq929	antigen121|Q99U50|CP000253.1|mhcii|seq523
antigen121|Q99U50|CP000253.1|mhcii|seq929	antigen121|Q99U50|CP000253.1|mhcii|seq1515
antigen121|Q99U50|CP000253.1|mhcii|seq929	antigen121|Q99U50|CP000253.1|mhcii|seq524
antigen121|Q99U50|CP000253.1|mhcii|seq929	antigen121|Q99U50|CP000253.1|mhcii|seq1516
antigen121|Q99U50|CP000253.1|mhcii|seq929	antigen121|Q99U50|CP000253.1|mhcii|seq3340
antigen121|Q99U50|CP000253.1|mhcii|seq929	antigen121|Q99U50|CP000253.1|mhcii|seq1517
antigen121|Q99U50|CP000253.1|mhcii|seq929	antigen121|Q99U50|CP000253.1|mhcii|seq2413
antigen121|Q99U50|CP000253.1|mhcii|seq929	antigen121|Q99U50|CP000253.1|mhcii|seq3341
antigen121|Q99U50|CP000253.1|mhcii|seq929	antigen121|Q99U50|CP000253.1|mhcii|seq2414
antigen121|Q99U50|CP000253.1|mhcii|seq929	antigen121|Q99U50|CP000253.1|mhcii|seq2574
