antigen111|A5ISH9|CP000253.1|mhcii|seq1	antigen111|A5ISH9|CP000253.1|mhcii|seq1
antigen111|A5ISH9|CP000253.1|mhcii|seq225	antigen111|A5ISH9|CP000253.1|mhcii|seq225
antigen111|A5ISH9|CP000253.1|mhcii|seq225	antigen111|A5ISH9|CP000253.1|mhcii|seq3713
antigen111|A5ISH9|CP000253.1|mhcii|seq225	antigen111|A5ISH9|CP000253.1|mhcii|seq3714
antigen111|A5ISH9|CP000253.1|mhcii|seq225	antigen111|A5ISH9|CP000253.1|mhcii|seq3715
antigen111|A5ISH9|CP000253.1|mhcii|seq225	antigen111|A5ISH9|CP000253.1|mhcii|seq4007
antigen111|A5ISH9|CP000253.1|mhcii|seq225	antigen111|A5ISH9|CP000253.1|mhcii|seq4008
antigen111|A5ISH9|CP000253.1|mhcii|seq225	antigen111|A5ISH9|CP000253.1|mhcii|seq4009
antigen111|A5ISH9|CP000253.1|mhcii|seq225	antigen111|A5ISH9|CP000253.1|mhcii|seq4010
antigen111|A5ISH9|CP000253.1|mhcii|seq225	antigen111|A5ISH9|CP000253.1|mhcii|seq491
antigen111|A5ISH9|CP000253.1|mhcii|seq225	antigen111|A5ISH9|CP000253.1|mhcii|seq4011
antigen111|A5ISH9|CP000253.1|mhcii|seq225	antigen111|A5ISH9|CP000253.1|mhcii|seq492
antigen111|A5ISH9|CP000253.1|mhcii|seq225	antigen111|A5ISH9|CP000253.1|mhcii|seq4012
antigen111|A5ISH9|CP000253.1|mhcii|seq225	antigen111|A5ISH9|CP000253.1|mhcii|seq493
antigen111|A5ISH9|CP000253.1|mhcii|seq225	antigen111|A5ISH9|CP000253.1|mhcii|seq494
antigen111|A5ISH9|CP000253.1|mhcii|seq225	antigen111|A5ISH9|CP000253.1|mhcii|seq495
antigen111|A5ISH9|CP000253.1|mhcii|seq225	antigen111|A5ISH9|CP000253.1|mhcii|seq1329
antigen111|A5ISH9|CP000253.1|mhcii|seq225	antigen111|A5ISH9|CP000253.1|mhcii|seq1330
antigen111|A5ISH9|CP000253.1|mhcii|seq225	antigen111|A5ISH9|CP000253.1|mhcii|seq1331
antigen111|A5ISH9|CP000253.1|mhcii|seq225	antigen111|A5ISH9|CP000253.1|mhcii|seq1332
antigen111|A5ISH9|CP000253.1|mhcii|seq225	antigen111|A5ISH9|CP000253.1|mhcii|seq85
antigen111|A5ISH9|CP000253.1|mhcii|seq225	antigen111|A5ISH9|CP000253.1|mhcii|seq1333
antigen111|A5ISH9|CP000253.1|mhcii|seq225	antigen111|A5ISH9|CP000253.1|mhcii|seq86
antigen111|A5ISH9|CP000253.1|mhcii|seq225	antigen111|A5ISH9|CP000253.1|mhcii|seq1334
antigen111|A5ISH9|CP000253.1|mhcii|seq225	antigen111|A5ISH9|CP000253.1|mhcii|seq2902
antigen111|A5ISH9|CP000253.1|mhcii|seq225	antigen111|A5ISH9|CP000253.1|mhcii|seq87
antigen111|A5ISH9|CP000253.1|mhcii|seq225	antigen111|A5ISH9|CP000253.1|mhcii|seq2903
antigen111|A5ISH9|CP000253.1|mhcii|seq225	antigen111|A5ISH9|CP000253.1|mhcii|seq88
antigen111|A5ISH9|CP000253.1|mhcii|seq225	antigen111|A5ISH9|CP000253.1|mhcii|seq2904
antigen111|A5ISH9|CP000253.1|mhcii|seq225	antigen111|A5ISH9|CP000253.1|mhcii|seq89
antigen111|A5ISH9|CP000253.1|mhcii|seq225	antigen111|A5ISH9|CP000253.1|mhcii|seq2905
antigen111|A5ISH9|CP000253.1|mhcii|seq225	antigen111|A5ISH9|CP000253.1|mhcii|seq6745
antigen111|A5ISH9|CP000253.1|mhcii|seq225	antigen111|A5ISH9|CP000253.1|mhcii|seq90
antigen111|A5ISH9|CP000253.1|mhcii|seq225	antigen111|A5ISH9|CP000253.1|mhcii|seq6746
antigen111|A5ISH9|CP000253.1|mhcii|seq225	antigen111|A5ISH9|CP000253.1|mhcii|seq6747
antigen111|A5ISH9|CP000253.1|mhcii|seq225	antigen111|A5ISH9|CP000253.1|mhcii|seq220
antigen111|A5ISH9|CP000253.1|mhcii|seq225	antigen111|A5ISH9|CP000253.1|mhcii|seq732
antigen111|A5ISH9|CP000253.1|mhcii|seq225	antigen111|A5ISH9|CP000253.1|mhcii|seq6748
antigen111|A5ISH9|CP000253.1|mhcii|seq225	antigen111|A5ISH9|CP000253.1|mhcii|seq221
antigen111|A5ISH9|CP000253.1|mhcii|seq225	antigen111|A5ISH9|CP000253.1|mhcii|seq733
antigen111|A5ISH9|CP000253.1|mhcii|seq225	antigen111|A5ISH9|CP000253.1|mhcii|seq6749
antigen111|A5ISH9|CP000253.1|mhcii|seq225	antigen111|A5ISH9|CP000253.1|mhcii|seq222
antigen111|A5ISH9|CP000253.1|mhcii|seq225	antigen111|A5ISH9|CP000253.1|mhcii|seq734
antigen111|A5ISH9|CP000253.1|mhcii|seq225	antigen111|A5ISH9|CP000253.1|mhcii|seq3710
antigen111|A5ISH9|CP000253.1|mhcii|seq225	antigen111|A5ISH9|CP000253.1|mhcii|seq6750
antigen111|A5ISH9|CP000253.1|mhcii|seq225	antigen111|A5ISH9|CP000253.1|mhcii|seq223
antigen111|A5ISH9|CP000253.1|mhcii|seq225	antigen111|A5ISH9|CP000253.1|mhcii|seq3711
antigen111|A5ISH9|CP000253.1|mhcii|seq225	antigen111|A5ISH9|CP000253.1|mhcii|seq224
antigen111|A5ISH9|CP000253.1|mhcii|seq225	antigen111|A5ISH9|CP000253.1|mhcii|seq3712
antigen111|A5ISH9|CP000253.1|mhcii|seq481	antigen111|A5ISH9|CP000253.1|mhcii|seq481
antigen111|A5ISH9|CP000253.1|mhcii|seq481	antigen111|A5ISH9|CP000253.1|mhcii|seq2892
antigen111|A5ISH9|CP000253.1|mhcii|seq481	antigen111|A5ISH9|CP000253.1|mhcii|seq2893
antigen111|A5ISH9|CP000253.1|mhcii|seq705	antigen111|A5ISH9|CP000253.1|mhcii|seq705
antigen111|A5ISH9|CP000253.1|mhcii|seq705	antigen111|A5ISH9|CP000253.1|mhcii|seq3777
antigen111|A5ISH9|CP000253.1|mhcii|seq705	antigen111|A5ISH9|CP000253.1|mhcii|seq1794
antigen111|A5ISH9|CP000253.1|mhcii|seq705	antigen111|A5ISH9|CP000253.1|mhcii|seq2402
antigen111|A5ISH9|CP000253.1|mhcii|seq705	antigen111|A5ISH9|CP000253.1|mhcii|seq3778
antigen111|A5ISH9|CP000253.1|mhcii|seq705	antigen111|A5ISH9|CP000253.1|mhcii|seq1795
antigen111|A5ISH9|CP000253.1|mhcii|seq705	antigen111|A5ISH9|CP000253.1|mhcii|seq2403
antigen111|A5ISH9|CP000253.1|mhcii|seq705	antigen111|A5ISH9|CP000253.1|mhcii|seq3779
antigen111|A5ISH9|CP000253.1|mhcii|seq705	antigen111|A5ISH9|CP000253.1|mhcii|seq1796
antigen111|A5ISH9|CP000253.1|mhcii|seq705	antigen111|A5ISH9|CP000253.1|mhcii|seq2404
antigen111|A5ISH9|CP000253.1|mhcii|seq705	antigen111|A5ISH9|CP000253.1|mhcii|seq2436
antigen111|A5ISH9|CP000253.1|mhcii|seq705	antigen111|A5ISH9|CP000253.1|mhcii|seq3780
antigen111|A5ISH9|CP000253.1|mhcii|seq705	antigen111|A5ISH9|CP000253.1|mhcii|seq1797
antigen111|A5ISH9|CP000253.1|mhcii|seq705	antigen111|A5ISH9|CP000253.1|mhcii|seq2405
antigen111|A5ISH9|CP000253.1|mhcii|seq705	antigen111|A5ISH9|CP000253.1|mhcii|seq2437
