antigen150|O50581|HE681097.1|mhcii|seq1	antigen150|O50581|HE681097.1|mhcii|seq1
antigen150|O50581|HE681097.1|mhcii|seq513	antigen150|O50581|HE681097.1|mhcii|seq513
antigen150|O50581|HE681097.1|mhcii|seq641	antigen150|O50581|HE681097.1|mhcii|seq641
antigen150|O50581|HE681097.1|mhcii|seq641	antigen150|O50581|HE681097.1|mhcii|seq851
antigen150|O50581|HE681097.1|mhcii|seq737	antigen150|O50581|HE681097.1|mhcii|seq737
antigen150|O50581|HE681097.1|mhcii|seq737	antigen150|O50581|HE681097.1|mhcii|seq1025
antigen150|O50581|HE681097.1|mhcii|seq737	antigen150|O50581|HE681097.1|mhcii|seq1889
antigen150|O50581|HE681097.1|mhcii|seq737	antigen150|O50581|HE681097.1|mhcii|seq194
antigen150|O50581|HE681097.1|mhcii|seq737	antigen150|O50581|HE681097.1|mhcii|seq1890
antigen150|O50581|HE681097.1|mhcii|seq737	antigen150|O50581|HE681097.1|mhcii|seq1254
antigen150|O50581|HE681097.1|mhcii|seq737	antigen150|O50581|HE681097.1|mhcii|seq1255
antigen150|O50581|HE681097.1|mhcii|seq737	antigen150|O50581|HE681097.1|mhcii|seq1256
antigen150|O50581|HE681097.1|mhcii|seq737	antigen150|O50581|HE681097.1|mhcii|seq1257
antigen150|O50581|HE681097.1|mhcii|seq737	antigen150|O50581|HE681097.1|mhcii|seq1258
antigen150|O50581|HE681097.1|mhcii|seq737	antigen150|O50581|HE681097.1|mhcii|seq1259
antigen150|O50581|HE681097.1|mhcii|seq737	antigen150|O50581|HE681097.1|mhcii|seq812
antigen150|O50581|HE681097.1|mhcii|seq737	antigen150|O50581|HE681097.1|mhcii|seq493
antigen150|O50581|HE681097.1|mhcii|seq737	antigen150|O50581|HE681097.1|mhcii|seq813
antigen150|O50581|HE681097.1|mhcii|seq737	antigen150|O50581|HE681097.1|mhcii|seq494
antigen150|O50581|HE681097.1|mhcii|seq737	antigen150|O50581|HE681097.1|mhcii|seq814
antigen150|O50581|HE681097.1|mhcii|seq737	antigen150|O50581|HE681097.1|mhcii|seq495
antigen150|O50581|HE681097.1|mhcii|seq737	antigen150|O50581|HE681097.1|mhcii|seq496
antigen150|O50581|HE681097.1|mhcii|seq737	antigen150|O50581|HE681097.1|mhcii|seq1456
antigen150|O50581|HE681097.1|mhcii|seq737	antigen150|O50581|HE681097.1|mhcii|seq497
antigen150|O50581|HE681097.1|mhcii|seq737	antigen150|O50581|HE681097.1|mhcii|seq1457
antigen150|O50581|HE681097.1|mhcii|seq737	antigen150|O50581|HE681097.1|mhcii|seq1458
antigen150|O50581|HE681097.1|mhcii|seq737	antigen150|O50581|HE681097.1|mhcii|seq1459
antigen150|O50581|HE681097.1|mhcii|seq737	antigen150|O50581|HE681097.1|mhcii|seq1460
antigen150|O50581|HE681097.1|mhcii|seq737	antigen150|O50581|HE681097.1|mhcii|seq1461
antigen150|O50581|HE681097.1|mhcii|seq737	antigen150|O50581|HE681097.1|mhcii|seq246
antigen150|O50581|HE681097.1|mhcii|seq737	antigen150|O50581|HE681097.1|mhcii|seq247
antigen150|O50581|HE681097.1|mhcii|seq737	antigen150|O50581|HE681097.1|mhcii|seq248
antigen150|O50581|HE681097.1|mhcii|seq737	antigen150|O50581|HE681097.1|mhcii|seq249
antigen150|O50581|HE681097.1|mhcii|seq737	antigen150|O50581|HE681097.1|mhcii|seq250
antigen150|O50581|HE681097.1|mhcii|seq737	antigen150|O50581|HE681097.1|mhcii|seq1050
antigen150|O50581|HE681097.1|mhcii|seq737	antigen150|O50581|HE681097.1|mhcii|seq251
antigen150|O50581|HE681097.1|mhcii|seq737	antigen150|O50581|HE681097.1|mhcii|seq1051
antigen150|O50581|HE681097.1|mhcii|seq737	antigen150|O50581|HE681097.1|mhcii|seq732
antigen150|O50581|HE681097.1|mhcii|seq737	antigen150|O50581|HE681097.1|mhcii|seq1020
antigen150|O50581|HE681097.1|mhcii|seq737	antigen150|O50581|HE681097.1|mhcii|seq1052
antigen150|O50581|HE681097.1|mhcii|seq737	antigen150|O50581|HE681097.1|mhcii|seq733
antigen150|O50581|HE681097.1|mhcii|seq737	antigen150|O50581|HE681097.1|mhcii|seq1021
antigen150|O50581|HE681097.1|mhcii|seq737	antigen150|O50581|HE681097.1|mhcii|seq1053
antigen150|O50581|HE681097.1|mhcii|seq737	antigen150|O50581|HE681097.1|mhcii|seq734
antigen150|O50581|HE681097.1|mhcii|seq737	antigen150|O50581|HE681097.1|mhcii|seq1022
antigen150|O50581|HE681097.1|mhcii|seq737	antigen150|O50581|HE681097.1|mhcii|seq1054
antigen150|O50581|HE681097.1|mhcii|seq737	antigen150|O50581|HE681097.1|mhcii|seq735
antigen150|O50581|HE681097.1|mhcii|seq737	antigen150|O50581|HE681097.1|mhcii|seq1023
antigen150|O50581|HE681097.1|mhcii|seq737	antigen150|O50581|HE681097.1|mhcii|seq1055
antigen150|O50581|HE681097.1|mhcii|seq737	antigen150|O50581|HE681097.1|mhcii|seq1887
antigen150|O50581|HE681097.1|mhcii|seq737	antigen150|O50581|HE681097.1|mhcii|seq1919
antigen150|O50581|HE681097.1|mhcii|seq737	antigen150|O50581|HE681097.1|mhcii|seq736
antigen150|O50581|HE681097.1|mhcii|seq737	antigen150|O50581|HE681097.1|mhcii|seq1024
antigen150|O50581|HE681097.1|mhcii|seq737	antigen150|O50581|HE681097.1|mhcii|seq1888
antigen150|O50581|HE681097.1|mhcii|seq737	antigen150|O50581|HE681097.1|mhcii|seq1920
antigen150|O50581|HE681097.1|mhcii|seq769	antigen150|O50581|HE681097.1|mhcii|seq769
antigen150|O50581|HE681097.1|mhcii|seq769	antigen150|O50581|HE681097.1|mhcii|seq385
antigen150|O50581|HE681097.1|mhcii|seq769	antigen150|O50581|HE681097.1|mhcii|seq322
antigen150|O50581|HE681097.1|mhcii|seq769	antigen150|O50581|HE681097.1|mhcii|seq386
antigen150|O50581|HE681097.1|mhcii|seq769	antigen150|O50581|HE681097.1|mhcii|seq323
antigen150|O50581|HE681097.1|mhcii|seq769	antigen150|O50581|HE681097.1|mhcii|seq324
antigen150|O50581|HE681097.1|mhcii|seq769	antigen150|O50581|HE681097.1|mhcii|seq1092
antigen150|O50581|HE681097.1|mhcii|seq769	antigen150|O50581|HE681097.1|mhcii|seq1636
antigen150|O50581|HE681097.1|mhcii|seq769	antigen150|O50581|HE681097.1|mhcii|seq325
antigen150|O50581|HE681097.1|mhcii|seq769	antigen150|O50581|HE681097.1|mhcii|seq1093
antigen150|O50581|HE681097.1|mhcii|seq769	antigen150|O50581|HE681097.1|mhcii|seq1637
antigen150|O50581|HE681097.1|mhcii|seq769	antigen150|O50581|HE681097.1|mhcii|seq134
antigen150|O50581|HE681097.1|mhcii|seq769	antigen150|O50581|HE681097.1|mhcii|seq326
antigen150|O50581|HE681097.1|mhcii|seq769	antigen150|O50581|HE681097.1|mhcii|seq1094
antigen150|O50581|HE681097.1|mhcii|seq769	antigen150|O50581|HE681097.1|mhcii|seq1638
antigen150|O50581|HE681097.1|mhcii|seq769	antigen150|O50581|HE681097.1|mhcii|seq1639
