antigen198|Q9ZEH3|CP002114.3|mhcii|seq1	antigen198|Q9ZEH3|CP002114.3|mhcii|seq1
antigen198|Q9ZEH3|CP002114.3|mhcii|seq225	antigen198|Q9ZEH3|CP002114.3|mhcii|seq225
antigen198|Q9ZEH3|CP002114.3|mhcii|seq225	antigen198|Q9ZEH3|CP002114.3|mhcii|seq3489
antigen198|Q9ZEH3|CP002114.3|mhcii|seq225	antigen198|Q9ZEH3|CP002114.3|mhcii|seq8547
antigen198|Q9ZEH3|CP002114.3|mhcii|seq225	antigen198|Q9ZEH3|CP002114.3|mhcii|seq8548
antigen198|Q9ZEH3|CP002114.3|mhcii|seq225	antigen198|Q9ZEH3|CP002114.3|mhcii|seq8549
antigen198|Q9ZEH3|CP002114.3|mhcii|seq225	antigen198|Q9ZEH3|CP002114.3|mhcii|seq8550
antigen198|Q9ZEH3|CP002114.3|mhcii|seq225	antigen198|Q9ZEH3|CP002114.3|mhcii|seq298
antigen198|Q9ZEH3|CP002114.3|mhcii|seq225	antigen198|Q9ZEH3|CP002114.3|mhcii|seq299
antigen198|Q9ZEH3|CP002114.3|mhcii|seq225	antigen198|Q9ZEH3|CP002114.3|mhcii|seq300
antigen198|Q9ZEH3|CP002114.3|mhcii|seq225	antigen198|Q9ZEH3|CP002114.3|mhcii|seq5875
antigen198|Q9ZEH3|CP002114.3|mhcii|seq225	antigen198|Q9ZEH3|CP002114.3|mhcii|seq5876
antigen198|Q9ZEH3|CP002114.3|mhcii|seq225	antigen198|Q9ZEH3|CP002114.3|mhcii|seq6836
antigen198|Q9ZEH3|CP002114.3|mhcii|seq225	antigen198|Q9ZEH3|CP002114.3|mhcii|seq5877
antigen198|Q9ZEH3|CP002114.3|mhcii|seq225	antigen198|Q9ZEH3|CP002114.3|mhcii|seq6837
antigen198|Q9ZEH3|CP002114.3|mhcii|seq225	antigen198|Q9ZEH3|CP002114.3|mhcii|seq3574
antigen198|Q9ZEH3|CP002114.3|mhcii|seq225	antigen198|Q9ZEH3|CP002114.3|mhcii|seq5878
antigen198|Q9ZEH3|CP002114.3|mhcii|seq225	antigen198|Q9ZEH3|CP002114.3|mhcii|seq6838
antigen198|Q9ZEH3|CP002114.3|mhcii|seq225	antigen198|Q9ZEH3|CP002114.3|mhcii|seq1431
antigen198|Q9ZEH3|CP002114.3|mhcii|seq225	antigen198|Q9ZEH3|CP002114.3|mhcii|seq3575
antigen198|Q9ZEH3|CP002114.3|mhcii|seq225	antigen198|Q9ZEH3|CP002114.3|mhcii|seq5879
antigen198|Q9ZEH3|CP002114.3|mhcii|seq225	antigen198|Q9ZEH3|CP002114.3|mhcii|seq6839
antigen198|Q9ZEH3|CP002114.3|mhcii|seq225	antigen198|Q9ZEH3|CP002114.3|mhcii|seq1432
antigen198|Q9ZEH3|CP002114.3|mhcii|seq225	antigen198|Q9ZEH3|CP002114.3|mhcii|seq3576
antigen198|Q9ZEH3|CP002114.3|mhcii|seq225	antigen198|Q9ZEH3|CP002114.3|mhcii|seq5880
antigen198|Q9ZEH3|CP002114.3|mhcii|seq225	antigen198|Q9ZEH3|CP002114.3|mhcii|seq6840
antigen198|Q9ZEH3|CP002114.3|mhcii|seq225	antigen198|Q9ZEH3|CP002114.3|mhcii|seq7480
antigen198|Q9ZEH3|CP002114.3|mhcii|seq225	antigen198|Q9ZEH3|CP002114.3|mhcii|seq1433
antigen198|Q9ZEH3|CP002114.3|mhcii|seq225	antigen198|Q9ZEH3|CP002114.3|mhcii|seq3577
antigen198|Q9ZEH3|CP002114.3|mhcii|seq225	antigen198|Q9ZEH3|CP002114.3|mhcii|seq7481
antigen198|Q9ZEH3|CP002114.3|mhcii|seq225	antigen198|Q9ZEH3|CP002114.3|mhcii|seq1434
antigen198|Q9ZEH3|CP002114.3|mhcii|seq225	antigen198|Q9ZEH3|CP002114.3|mhcii|seq3578
antigen198|Q9ZEH3|CP002114.3|mhcii|seq225	antigen198|Q9ZEH3|CP002114.3|mhcii|seq7482
antigen198|Q9ZEH3|CP002114.3|mhcii|seq225	antigen198|Q9ZEH3|CP002114.3|mhcii|seq1435
antigen198|Q9ZEH3|CP002114.3|mhcii|seq225	antigen198|Q9ZEH3|CP002114.3|mhcii|seq3579
antigen198|Q9ZEH3|CP002114.3|mhcii|seq225	antigen198|Q9ZEH3|CP002114.3|mhcii|seq7483
antigen198|Q9ZEH3|CP002114.3|mhcii|seq225	antigen198|Q9ZEH3|CP002114.3|mhcii|seq220
antigen198|Q9ZEH3|CP002114.3|mhcii|seq225	antigen198|Q9ZEH3|CP002114.3|mhcii|seq1436
antigen198|Q9ZEH3|CP002114.3|mhcii|seq225	antigen198|Q9ZEH3|CP002114.3|mhcii|seq3484
antigen198|Q9ZEH3|CP002114.3|mhcii|seq225	antigen198|Q9ZEH3|CP002114.3|mhcii|seq7484
antigen198|Q9ZEH3|CP002114.3|mhcii|seq225	antigen198|Q9ZEH3|CP002114.3|mhcii|seq221
antigen198|Q9ZEH3|CP002114.3|mhcii|seq225	antigen198|Q9ZEH3|CP002114.3|mhcii|seq3485
antigen198|Q9ZEH3|CP002114.3|mhcii|seq225	antigen198|Q9ZEH3|CP002114.3|mhcii|seq7485
antigen198|Q9ZEH3|CP002114.3|mhcii|seq225	antigen198|Q9ZEH3|CP002114.3|mhcii|seq222
antigen198|Q9ZEH3|CP002114.3|mhcii|seq225	antigen198|Q9ZEH3|CP002114.3|mhcii|seq3486
antigen198|Q9ZEH3|CP002114.3|mhcii|seq225	antigen198|Q9ZEH3|CP002114.3|mhcii|seq223
antigen198|Q9ZEH3|CP002114.3|mhcii|seq225	antigen198|Q9ZEH3|CP002114.3|mhcii|seq3487
antigen198|Q9ZEH3|CP002114.3|mhcii|seq225	antigen198|Q9ZEH3|CP002114.3|mhcii|seq224
antigen198|Q9ZEH3|CP002114.3|mhcii|seq225	antigen198|Q9ZEH3|CP002114.3|mhcii|seq3488
antigen198|Q9ZEH3|CP002114.3|mhcii|seq641	antigen198|Q9ZEH3|CP002114.3|mhcii|seq641
antigen198|Q9ZEH3|CP002114.3|mhcii|seq641	antigen198|Q9ZEH3|CP002114.3|mhcii|seq550
antigen198|Q9ZEH3|CP002114.3|mhcii|seq641	antigen198|Q9ZEH3|CP002114.3|mhcii|seq2502
antigen198|Q9ZEH3|CP002114.3|mhcii|seq641	antigen198|Q9ZEH3|CP002114.3|mhcii|seq551
antigen198|Q9ZEH3|CP002114.3|mhcii|seq641	antigen198|Q9ZEH3|CP002114.3|mhcii|seq3720
antigen198|Q9ZEH3|CP002114.3|mhcii|seq641	antigen198|Q9ZEH3|CP002114.3|mhcii|seq5512
antigen198|Q9ZEH3|CP002114.3|mhcii|seq641	antigen198|Q9ZEH3|CP002114.3|mhcii|seq3721
antigen198|Q9ZEH3|CP002114.3|mhcii|seq641	antigen198|Q9ZEH3|CP002114.3|mhcii|seq5513
antigen198|Q9ZEH3|CP002114.3|mhcii|seq641	antigen198|Q9ZEH3|CP002114.3|mhcii|seq3722
antigen198|Q9ZEH3|CP002114.3|mhcii|seq641	antigen198|Q9ZEH3|CP002114.3|mhcii|seq5514
antigen198|Q9ZEH3|CP002114.3|mhcii|seq641	antigen198|Q9ZEH3|CP002114.3|mhcii|seq3723
antigen198|Q9ZEH3|CP002114.3|mhcii|seq641	antigen198|Q9ZEH3|CP002114.3|mhcii|seq5515
antigen198|Q9ZEH3|CP002114.3|mhcii|seq641	antigen198|Q9ZEH3|CP002114.3|mhcii|seq5516
antigen198|Q9ZEH3|CP002114.3|mhcii|seq641	antigen198|Q9ZEH3|CP002114.3|mhcii|seq8530
antigen198|Q9ZEH3|CP002114.3|mhcii|seq641	antigen198|Q9ZEH3|CP002114.3|mhcii|seq8531
antigen198|Q9ZEH3|CP002114.3|mhcii|seq641	antigen198|Q9ZEH3|CP002114.3|mhcii|seq8532
antigen198|Q9ZEH3|CP002114.3|mhcii|seq641	antigen198|Q9ZEH3|CP002114.3|mhcii|seq2005
antigen198|Q9ZEH3|CP002114.3|mhcii|seq641	antigen198|Q9ZEH3|CP002114.3|mhcii|seq8533
antigen198|Q9ZEH3|CP002114.3|mhcii|seq641	antigen198|Q9ZEH3|CP002114.3|mhcii|seq2006
antigen198|Q9ZEH3|CP002114.3|mhcii|seq641	antigen198|Q9ZEH3|CP002114.3|mhcii|seq8534
antigen198|Q9ZEH3|CP002114.3|mhcii|seq641	antigen198|Q9ZEH3|CP002114.3|mhcii|seq2007
antigen198|Q9ZEH3|CP002114.3|mhcii|seq641	antigen198|Q9ZEH3|CP002114.3|mhcii|seq3703
antigen198|Q9ZEH3|CP002114.3|mhcii|seq641	antigen198|Q9ZEH3|CP002114.3|mhcii|seq8535
antigen198|Q9ZEH3|CP002114.3|mhcii|seq641	antigen198|Q9ZEH3|CP002114.3|mhcii|seq3544
antigen198|Q9ZEH3|CP002114.3|mhcii|seq641	antigen198|Q9ZEH3|CP002114.3|mhcii|seq3704
antigen198|Q9ZEH3|CP002114.3|mhcii|seq641	antigen198|Q9ZEH3|CP002114.3|mhcii|seq3545
antigen198|Q9ZEH3|CP002114.3|mhcii|seq641	antigen198|Q9ZEH3|CP002114.3|mhcii|seq3705
antigen198|Q9ZEH3|CP002114.3|mhcii|seq641	antigen198|Q9ZEH3|CP002114.3|mhcii|seq3546
antigen198|Q9ZEH3|CP002114.3|mhcii|seq641	antigen198|Q9ZEH3|CP002114.3|mhcii|seq3706
antigen198|Q9ZEH3|CP002114.3|mhcii|seq641	antigen198|Q9ZEH3|CP002114.3|mhcii|seq5466
antigen198|Q9ZEH3|CP002114.3|mhcii|seq641	antigen198|Q9ZEH3|CP002114.3|mhcii|seq6490
antigen198|Q9ZEH3|CP002114.3|mhcii|seq641	antigen198|Q9ZEH3|CP002114.3|mhcii|seq3547
antigen198|Q9ZEH3|CP002114.3|mhcii|seq641	antigen198|Q9ZEH3|CP002114.3|mhcii|seq3707
antigen198|Q9ZEH3|CP002114.3|mhcii|seq641	antigen198|Q9ZEH3|CP002114.3|mhcii|seq5467
antigen198|Q9ZEH3|CP002114.3|mhcii|seq641	antigen198|Q9ZEH3|CP002114.3|mhcii|seq6491
antigen198|Q9ZEH3|CP002114.3|mhcii|seq641	antigen198|Q9ZEH3|CP002114.3|mhcii|seq636
antigen198|Q9ZEH3|CP002114.3|mhcii|seq641	antigen198|Q9ZEH3|CP002114.3|mhcii|seq3548
antigen198|Q9ZEH3|CP002114.3|mhcii|seq641	antigen198|Q9ZEH3|CP002114.3|mhcii|seq3708
