antigen76|Q5HGQ3|BA000018.3|mhcii|seq1346	antigen76|Q5HGQ3|BA000018.3|mhcii|seq1346
antigen76|Q5HGQ3|BA000018.3|mhcii|seq1890	antigen76|Q5HGQ3|BA000018.3|mhcii|seq1890
antigen76|Q5HGQ3|BA000018.3|mhcii|seq1890	antigen76|Q5HGQ3|BA000018.3|mhcii|seq609
antigen76|Q5HGQ3|BA000018.3|mhcii|seq1890	antigen76|Q5HGQ3|BA000018.3|mhcii|seq1889
antigen76|Q5HGQ3|BA000018.3|mhcii|seq1890	antigen76|Q5HGQ3|BA000018.3|mhcii|seq418
antigen76|Q5HGQ3|BA000018.3|mhcii|seq1890	antigen76|Q5HGQ3|BA000018.3|mhcii|seq610
antigen76|Q5HGQ3|BA000018.3|mhcii|seq1890	antigen76|Q5HGQ3|BA000018.3|mhcii|seq419
antigen76|Q5HGQ3|BA000018.3|mhcii|seq1890	antigen76|Q5HGQ3|BA000018.3|mhcii|seq611
antigen76|Q5HGQ3|BA000018.3|mhcii|seq1890	antigen76|Q5HGQ3|BA000018.3|mhcii|seq100
antigen76|Q5HGQ3|BA000018.3|mhcii|seq1890	antigen76|Q5HGQ3|BA000018.3|mhcii|seq420
antigen76|Q5HGQ3|BA000018.3|mhcii|seq1890	antigen76|Q5HGQ3|BA000018.3|mhcii|seq612
antigen76|Q5HGQ3|BA000018.3|mhcii|seq1890	antigen76|Q5HGQ3|BA000018.3|mhcii|seq101
antigen76|Q5HGQ3|BA000018.3|mhcii|seq1890	antigen76|Q5HGQ3|BA000018.3|mhcii|seq421
antigen76|Q5HGQ3|BA000018.3|mhcii|seq1890	antigen76|Q5HGQ3|BA000018.3|mhcii|seq102
antigen76|Q5HGQ3|BA000018.3|mhcii|seq1890	antigen76|Q5HGQ3|BA000018.3|mhcii|seq103
antigen76|Q5HGQ3|BA000018.3|mhcii|seq1890	antigen76|Q5HGQ3|BA000018.3|mhcii|seq104
antigen76|Q5HGQ3|BA000018.3|mhcii|seq1890	antigen76|Q5HGQ3|BA000018.3|mhcii|seq105
antigen76|Q5HGQ3|BA000018.3|mhcii|seq1890	antigen76|Q5HGQ3|BA000018.3|mhcii|seq368
antigen76|Q5HGQ3|BA000018.3|mhcii|seq1890	antigen76|Q5HGQ3|BA000018.3|mhcii|seq369
antigen76|Q5HGQ3|BA000018.3|mhcii|seq1890	antigen76|Q5HGQ3|BA000018.3|mhcii|seq370
antigen76|Q5HGQ3|BA000018.3|mhcii|seq1890	antigen76|Q5HGQ3|BA000018.3|mhcii|seq371
antigen76|Q5HGQ3|BA000018.3|mhcii|seq1890	antigen76|Q5HGQ3|BA000018.3|mhcii|seq1651
antigen76|Q5HGQ3|BA000018.3|mhcii|seq1890	antigen76|Q5HGQ3|BA000018.3|mhcii|seq372
antigen76|Q5HGQ3|BA000018.3|mhcii|seq1890	antigen76|Q5HGQ3|BA000018.3|mhcii|seq1652
antigen76|Q5HGQ3|BA000018.3|mhcii|seq1890	antigen76|Q5HGQ3|BA000018.3|mhcii|seq373
antigen76|Q5HGQ3|BA000018.3|mhcii|seq1890	antigen76|Q5HGQ3|BA000018.3|mhcii|seq1653
antigen76|Q5HGQ3|BA000018.3|mhcii|seq1890	antigen76|Q5HGQ3|BA000018.3|mhcii|seq1654
antigen76|Q5HGQ3|BA000018.3|mhcii|seq1890	antigen76|Q5HGQ3|BA000018.3|mhcii|seq1655
antigen76|Q5HGQ3|BA000018.3|mhcii|seq1890	antigen76|Q5HGQ3|BA000018.3|mhcii|seq1815
antigen76|Q5HGQ3|BA000018.3|mhcii|seq1890	antigen76|Q5HGQ3|BA000018.3|mhcii|seq952
antigen76|Q5HGQ3|BA000018.3|mhcii|seq1890	antigen76|Q5HGQ3|BA000018.3|mhcii|seq1656
antigen76|Q5HGQ3|BA000018.3|mhcii|seq1890	antigen76|Q5HGQ3|BA000018.3|mhcii|seq1816
antigen76|Q5HGQ3|BA000018.3|mhcii|seq1890	antigen76|Q5HGQ3|BA000018.3|mhcii|seq953
antigen76|Q5HGQ3|BA000018.3|mhcii|seq1890	antigen76|Q5HGQ3|BA000018.3|mhcii|seq1817
antigen76|Q5HGQ3|BA000018.3|mhcii|seq1890	antigen76|Q5HGQ3|BA000018.3|mhcii|seq954
antigen76|Q5HGQ3|BA000018.3|mhcii|seq1890	antigen76|Q5HGQ3|BA000018.3|mhcii|seq1818
antigen76|Q5HGQ3|BA000018.3|mhcii|seq1890	antigen76|Q5HGQ3|BA000018.3|mhcii|seq955
antigen76|Q5HGQ3|BA000018.3|mhcii|seq1890	antigen76|Q5HGQ3|BA000018.3|mhcii|seq1819
antigen76|Q5HGQ3|BA000018.3|mhcii|seq1890	antigen76|Q5HGQ3|BA000018.3|mhcii|seq956
antigen76|Q5HGQ3|BA000018.3|mhcii|seq1890	antigen76|Q5HGQ3|BA000018.3|mhcii|seq1820
antigen76|Q5HGQ3|BA000018.3|mhcii|seq1890	antigen76|Q5HGQ3|BA000018.3|mhcii|seq957
antigen76|Q5HGQ3|BA000018.3|mhcii|seq1890	antigen76|Q5HGQ3|BA000018.3|mhcii|seq1885
antigen76|Q5HGQ3|BA000018.3|mhcii|seq1890	antigen76|Q5HGQ3|BA000018.3|mhcii|seq1886
antigen76|Q5HGQ3|BA000018.3|mhcii|seq1890	antigen76|Q5HGQ3|BA000018.3|mhcii|seq1887
antigen76|Q5HGQ3|BA000018.3|mhcii|seq1890	antigen76|Q5HGQ3|BA000018.3|mhcii|seq608
antigen76|Q5HGQ3|BA000018.3|mhcii|seq1890	antigen76|Q5HGQ3|BA000018.3|mhcii|seq1888
antigen76|Q5HGQ3|BA000018.3|mhcii|seq163	antigen76|Q5HGQ3|BA000018.3|mhcii|seq163
antigen76|Q5HGQ3|BA000018.3|mhcii|seq163	antigen76|Q5HGQ3|BA000018.3|mhcii|seq161
antigen76|Q5HGQ3|BA000018.3|mhcii|seq163	antigen76|Q5HGQ3|BA000018.3|mhcii|seq1729
antigen76|Q5HGQ3|BA000018.3|mhcii|seq163	antigen76|Q5HGQ3|BA000018.3|mhcii|seq162
antigen76|Q5HGQ3|BA000018.3|mhcii|seq163	antigen76|Q5HGQ3|BA000018.3|mhcii|seq1730
antigen76|Q5HGQ3|BA000018.3|mhcii|seq163	antigen76|Q5HGQ3|BA000018.3|mhcii|seq1731
antigen76|Q5HGQ3|BA000018.3|mhcii|seq163	antigen76|Q5HGQ3|BA000018.3|mhcii|seq357
antigen76|Q5HGQ3|BA000018.3|mhcii|seq163	antigen76|Q5HGQ3|BA000018.3|mhcii|seq358
antigen76|Q5HGQ3|BA000018.3|mhcii|seq163	antigen76|Q5HGQ3|BA000018.3|mhcii|seq712
antigen76|Q5HGQ3|BA000018.3|mhcii|seq163	antigen76|Q5HGQ3|BA000018.3|mhcii|seq297
antigen76|Q5HGQ3|BA000018.3|mhcii|seq163	antigen76|Q5HGQ3|BA000018.3|mhcii|seq713
antigen76|Q5HGQ3|BA000018.3|mhcii|seq163	antigen76|Q5HGQ3|BA000018.3|mhcii|seq298
antigen76|Q5HGQ3|BA000018.3|mhcii|seq163	antigen76|Q5HGQ3|BA000018.3|mhcii|seq714
antigen76|Q5HGQ3|BA000018.3|mhcii|seq163	antigen76|Q5HGQ3|BA000018.3|mhcii|seq299
antigen76|Q5HGQ3|BA000018.3|mhcii|seq163	antigen76|Q5HGQ3|BA000018.3|mhcii|seq715
antigen76|Q5HGQ3|BA000018.3|mhcii|seq163	antigen76|Q5HGQ3|BA000018.3|mhcii|seq907
antigen76|Q5HGQ3|BA000018.3|mhcii|seq163	antigen76|Q5HGQ3|BA000018.3|mhcii|seq300
antigen76|Q5HGQ3|BA000018.3|mhcii|seq163	antigen76|Q5HGQ3|BA000018.3|mhcii|seq716
antigen76|Q5HGQ3|BA000018.3|mhcii|seq163	antigen76|Q5HGQ3|BA000018.3|mhcii|seq908
antigen76|Q5HGQ3|BA000018.3|mhcii|seq163	antigen76|Q5HGQ3|BA000018.3|mhcii|seq717
antigen76|Q5HGQ3|BA000018.3|mhcii|seq163	antigen76|Q5HGQ3|BA000018.3|mhcii|seq909
antigen76|Q5HGQ3|BA000018.3|mhcii|seq163	antigen76|Q5HGQ3|BA000018.3|mhcii|seq1325
antigen76|Q5HGQ3|BA000018.3|mhcii|seq163	antigen76|Q5HGQ3|BA000018.3|mhcii|seq910
antigen76|Q5HGQ3|BA000018.3|mhcii|seq163	antigen76|Q5HGQ3|BA000018.3|mhcii|seq1326
antigen76|Q5HGQ3|BA000018.3|mhcii|seq163	antigen76|Q5HGQ3|BA000018.3|mhcii|seq911
antigen76|Q5HGQ3|BA000018.3|mhcii|seq163	antigen76|Q5HGQ3|BA000018.3|mhcii|seq1327
antigen76|Q5HGQ3|BA000018.3|mhcii|seq163	antigen76|Q5HGQ3|BA000018.3|mhcii|seq912
antigen76|Q5HGQ3|BA000018.3|mhcii|seq163	antigen76|Q5HGQ3|BA000018.3|mhcii|seq1328
antigen76|Q5HGQ3|BA000018.3|mhcii|seq163	antigen76|Q5HGQ3|BA000018.3|mhcii|seq1329
antigen76|Q5HGQ3|BA000018.3|mhcii|seq163	antigen76|Q5HGQ3|BA000018.3|mhcii|seq562
antigen76|Q5HGQ3|BA000018.3|mhcii|seq163	antigen76|Q5HGQ3|BA000018.3|mhcii|seq1330
antigen76|Q5HGQ3|BA000018.3|mhcii|seq163	antigen76|Q5HGQ3|BA000018.3|mhcii|seq1746
antigen76|Q5HGQ3|BA000018.3|mhcii|seq163	antigen76|Q5HGQ3|BA000018.3|mhcii|seq563
antigen76|Q5HGQ3|BA000018.3|mhcii|seq163	antigen76|Q5HGQ3|BA000018.3|mhcii|seq564
antigen76|Q5HGQ3|BA000018.3|mhcii|seq163	antigen76|Q5HGQ3|BA000018.3|mhcii|seq1460
antigen76|Q5HGQ3|BA000018.3|mhcii|seq163	antigen76|Q5HGQ3|BA000018.3|mhcii|seq565
antigen76|Q5HGQ3|BA000018.3|mhcii|seq163	antigen76|Q5HGQ3|BA000018.3|mhcii|seq1461
antigen76|Q5HGQ3|BA000018.3|mhcii|seq163	antigen76|Q5HGQ3|BA000018.3|mhcii|seq566
antigen76|Q5HGQ3|BA000018.3|mhcii|seq163	antigen76|Q5HGQ3|BA000018.3|mhcii|seq1462
antigen76|Q5HGQ3|BA000018.3|mhcii|seq163	antigen76|Q5HGQ3|BA000018.3|mhcii|seq567
antigen76|Q5HGQ3|BA000018.3|mhcii|seq163	antigen76|Q5HGQ3|BA000018.3|mhcii|seq983
antigen76|Q5HGQ3|BA000018.3|mhcii|seq163	antigen76|Q5HGQ3|BA000018.3|mhcii|seq1463
antigen76|Q5HGQ3|BA000018.3|mhcii|seq163	antigen76|Q5HGQ3|BA000018.3|mhcii|seq984
antigen76|Q5HGQ3|BA000018.3|mhcii|seq163	antigen76|Q5HGQ3|BA000018.3|mhcii|seq1464
antigen76|Q5HGQ3|BA000018.3|mhcii|seq163	antigen76|Q5HGQ3|BA000018.3|mhcii|seq985
antigen76|Q5HGQ3|BA000018.3|mhcii|seq163	antigen76|Q5HGQ3|BA000018.3|mhcii|seq1465
antigen76|Q5HGQ3|BA000018.3|mhcii|seq163	antigen76|Q5HGQ3|BA000018.3|mhcii|seq986
antigen76|Q5HGQ3|BA000018.3|mhcii|seq163	antigen76|Q5HGQ3|BA000018.3|mhcii|seq987
antigen76|Q5HGQ3|BA000018.3|mhcii|seq163	antigen76|Q5HGQ3|BA000018.3|mhcii|seq158
antigen76|Q5HGQ3|BA000018.3|mhcii|seq163	antigen76|Q5HGQ3|BA000018.3|mhcii|seq159
antigen76|Q5HGQ3|BA000018.3|mhcii|seq163	antigen76|Q5HGQ3|BA000018.3|mhcii|seq160
antigen76|Q5HGQ3|BA000018.3|mhcii|seq483	antigen76|Q5HGQ3|BA000018.3|mhcii|seq483
antigen76|Q5HGQ3|BA000018.3|mhcii|seq483	antigen76|Q5HGQ3|BA000018.3|mhcii|seq482
antigen76|Q5HGQ3|BA000018.3|mhcii|seq483	antigen76|Q5HGQ3|BA000018.3|mhcii|seq1552
antigen76|Q5HGQ3|BA000018.3|mhcii|seq867	antigen76|Q5HGQ3|BA000018.3|mhcii|seq867
antigen76|Q5HGQ3|BA000018.3|mhcii|seq867	antigen76|Q5HGQ3|BA000018.3|mhcii|seq577
antigen76|Q5HGQ3|BA000018.3|mhcii|seq867	antigen76|Q5HGQ3|BA000018.3|mhcii|seq865
antigen76|Q5HGQ3|BA000018.3|mhcii|seq867	antigen76|Q5HGQ3|BA000018.3|mhcii|seq578
antigen76|Q5HGQ3|BA000018.3|mhcii|seq867	antigen76|Q5HGQ3|BA000018.3|mhcii|seq866
antigen76|Q5HGQ3|BA000018.3|mhcii|seq867	antigen76|Q5HGQ3|BA000018.3|mhcii|seq579
antigen76|Q5HGQ3|BA000018.3|mhcii|seq867	antigen76|Q5HGQ3|BA000018.3|mhcii|seq580
antigen76|Q5HGQ3|BA000018.3|mhcii|seq867	antigen76|Q5HGQ3|BA000018.3|mhcii|seq581
antigen76|Q5HGQ3|BA000018.3|mhcii|seq867	antigen76|Q5HGQ3|BA000018.3|mhcii|seq582
antigen76|Q5HGQ3|BA000018.3|mhcii|seq867	antigen76|Q5HGQ3|BA000018.3|mhcii|seq742
antigen76|Q5HGQ3|BA000018.3|mhcii|seq867	antigen76|Q5HGQ3|BA000018.3|mhcii|seq743
antigen76|Q5HGQ3|BA000018.3|mhcii|seq867	antigen76|Q5HGQ3|BA000018.3|mhcii|seq744
antigen76|Q5HGQ3|BA000018.3|mhcii|seq867	antigen76|Q5HGQ3|BA000018.3|mhcii|seq1000
antigen76|Q5HGQ3|BA000018.3|mhcii|seq867	antigen76|Q5HGQ3|BA000018.3|mhcii|seq745
antigen76|Q5HGQ3|BA000018.3|mhcii|seq867	antigen76|Q5HGQ3|BA000018.3|mhcii|seq1001
antigen76|Q5HGQ3|BA000018.3|mhcii|seq867	antigen76|Q5HGQ3|BA000018.3|mhcii|seq682
antigen76|Q5HGQ3|BA000018.3|mhcii|seq867	antigen76|Q5HGQ3|BA000018.3|mhcii|seq746
antigen76|Q5HGQ3|BA000018.3|mhcii|seq867	antigen76|Q5HGQ3|BA000018.3|mhcii|seq1002
antigen76|Q5HGQ3|BA000018.3|mhcii|seq867	antigen76|Q5HGQ3|BA000018.3|mhcii|seq683
antigen76|Q5HGQ3|BA000018.3|mhcii|seq867	antigen76|Q5HGQ3|BA000018.3|mhcii|seq747
antigen76|Q5HGQ3|BA000018.3|mhcii|seq867	antigen76|Q5HGQ3|BA000018.3|mhcii|seq684
antigen76|Q5HGQ3|BA000018.3|mhcii|seq867	antigen76|Q5HGQ3|BA000018.3|mhcii|seq1132
antigen76|Q5HGQ3|BA000018.3|mhcii|seq867	antigen76|Q5HGQ3|BA000018.3|mhcii|seq205
antigen76|Q5HGQ3|BA000018.3|mhcii|seq867	antigen76|Q5HGQ3|BA000018.3|mhcii|seq685
antigen76|Q5HGQ3|BA000018.3|mhcii|seq867	antigen76|Q5HGQ3|BA000018.3|mhcii|seq1133
antigen76|Q5HGQ3|BA000018.3|mhcii|seq867	antigen76|Q5HGQ3|BA000018.3|mhcii|seq206
antigen76|Q5HGQ3|BA000018.3|mhcii|seq867	antigen76|Q5HGQ3|BA000018.3|mhcii|seq686
antigen76|Q5HGQ3|BA000018.3|mhcii|seq867	antigen76|Q5HGQ3|BA000018.3|mhcii|seq1134
