antigen30|P65288|BX571857.1|mhcii|seq20	antigen30|P65288|BX571857.1|mhcii|seq20
antigen30|P65288|BX571857.1|mhcii|seq180	antigen30|P65288|BX571857.1|mhcii|seq180
antigen30|P65288|BX571857.1|mhcii|seq180	antigen30|P65288|BX571857.1|mhcii|seq179
antigen30|P65288|BX571857.1|mhcii|seq180	antigen30|P65288|BX571857.1|mhcii|seq181
antigen30|P65288|BX571857.1|mhcii|seq180	antigen30|P65288|BX571857.1|mhcii|seq445
antigen30|P65288|BX571857.1|mhcii|seq180	antigen30|P65288|BX571857.1|mhcii|seq446
antigen30|P65288|BX571857.1|mhcii|seq310	antigen30|P65288|BX571857.1|mhcii|seq310
antigen30|P65288|BX571857.1|mhcii|seq310	antigen30|P65288|BX571857.1|mhcii|seq484
antigen30|P65288|BX571857.1|mhcii|seq310	antigen30|P65288|BX571857.1|mhcii|seq485
antigen30|P65288|BX571857.1|mhcii|seq310	antigen30|P65288|BX571857.1|mhcii|seq454
antigen30|P65288|BX571857.1|mhcii|seq310	antigen30|P65288|BX571857.1|mhcii|seq432
antigen30|P65288|BX571857.1|mhcii|seq310	antigen30|P65288|BX571857.1|mhcii|seq273
antigen30|P65288|BX571857.1|mhcii|seq310	antigen30|P65288|BX571857.1|mhcii|seq486
antigen30|P65288|BX571857.1|mhcii|seq310	antigen30|P65288|BX571857.1|mhcii|seq455
antigen30|P65288|BX571857.1|mhcii|seq310	antigen30|P65288|BX571857.1|mhcii|seq433
antigen30|P65288|BX571857.1|mhcii|seq310	antigen30|P65288|BX571857.1|mhcii|seq274
antigen30|P65288|BX571857.1|mhcii|seq310	antigen30|P65288|BX571857.1|mhcii|seq487
antigen30|P65288|BX571857.1|mhcii|seq310	antigen30|P65288|BX571857.1|mhcii|seq456
antigen30|P65288|BX571857.1|mhcii|seq310	antigen30|P65288|BX571857.1|mhcii|seq434
antigen30|P65288|BX571857.1|mhcii|seq310	antigen30|P65288|BX571857.1|mhcii|seq275
antigen30|P65288|BX571857.1|mhcii|seq310	antigen30|P65288|BX571857.1|mhcii|seq488
antigen30|P65288|BX571857.1|mhcii|seq310	antigen30|P65288|BX571857.1|mhcii|seq457
antigen30|P65288|BX571857.1|mhcii|seq310	antigen30|P65288|BX571857.1|mhcii|seq435
antigen30|P65288|BX571857.1|mhcii|seq310	antigen30|P65288|BX571857.1|mhcii|seq276
antigen30|P65288|BX571857.1|mhcii|seq310	antigen30|P65288|BX571857.1|mhcii|seq489
antigen30|P65288|BX571857.1|mhcii|seq310	antigen30|P65288|BX571857.1|mhcii|seq208
antigen30|P65288|BX571857.1|mhcii|seq310	antigen30|P65288|BX571857.1|mhcii|seq209
antigen30|P65288|BX571857.1|mhcii|seq310	antigen30|P65288|BX571857.1|mhcii|seq307
antigen30|P65288|BX571857.1|mhcii|seq310	antigen30|P65288|BX571857.1|mhcii|seq308
antigen30|P65288|BX571857.1|mhcii|seq310	antigen30|P65288|BX571857.1|mhcii|seq309
antigen30|P65288|BX571857.1|mhcii|seq310	antigen30|P65288|BX571857.1|mhcii|seq311
antigen30|P65288|BX571857.1|mhcii|seq310	antigen30|P65288|BX571857.1|mhcii|seq312
antigen30|P65288|BX571857.1|mhcii|seq310	antigen30|P65288|BX571857.1|mhcii|seq154
antigen30|P65288|BX571857.1|mhcii|seq310	antigen30|P65288|BX571857.1|mhcii|seq378
antigen30|P65288|BX571857.1|mhcii|seq310	antigen30|P65288|BX571857.1|mhcii|seq155
antigen30|P65288|BX571857.1|mhcii|seq310	antigen30|P65288|BX571857.1|mhcii|seq156
antigen30|P65288|BX571857.1|mhcii|seq310	antigen30|P65288|BX571857.1|mhcii|seq157
antigen30|P65288|BX571857.1|mhcii|seq504	antigen30|P65288|BX571857.1|mhcii|seq504
antigen30|P65288|BX571857.1|mhcii|seq504	antigen30|P65288|BX571857.1|mhcii|seq502
antigen30|P65288|BX571857.1|mhcii|seq504	antigen30|P65288|BX571857.1|mhcii|seq503
antigen30|P65288|BX571857.1|mhcii|seq121	antigen30|P65288|BX571857.1|mhcii|seq121
antigen30|P65288|BX571857.1|mhcii|seq121	antigen30|P65288|BX571857.1|mhcii|seq290
antigen30|P65288|BX571857.1|mhcii|seq121	antigen30|P65288|BX571857.1|mhcii|seq289
antigen30|P65288|BX571857.1|mhcii|seq121	antigen30|P65288|BX571857.1|mhcii|seq355
antigen30|P65288|BX571857.1|mhcii|seq121	antigen30|P65288|BX571857.1|mhcii|seq120
antigen30|P65288|BX571857.1|mhcii|seq345	antigen30|P65288|BX571857.1|mhcii|seq345
antigen30|P65288|BX571857.1|mhcii|seq345	antigen30|P65288|BX571857.1|mhcii|seq225
antigen30|P65288|BX571857.1|mhcii|seq345	antigen30|P65288|BX571857.1|mhcii|seq395
antigen30|P65288|BX571857.1|mhcii|seq345	antigen30|P65288|BX571857.1|mhcii|seq259
antigen30|P65288|BX571857.1|mhcii|seq345	antigen30|P65288|BX571857.1|mhcii|seq260
antigen30|P65288|BX571857.1|mhcii|seq345	antigen30|P65288|BX571857.1|mhcii|seq261
antigen30|P65288|BX571857.1|mhcii|seq345	antigen30|P65288|BX571857.1|mhcii|seq262
antigen30|P65288|BX571857.1|mhcii|seq345	antigen30|P65288|BX571857.1|mhcii|seq263
antigen30|P65288|BX571857.1|mhcii|seq345	antigen30|P65288|BX571857.1|mhcii|seq264
antigen30|P65288|BX571857.1|mhcii|seq345	antigen30|P65288|BX571857.1|mhcii|seq265
antigen30|P65288|BX571857.1|mhcii|seq345	antigen30|P65288|BX571857.1|mhcii|seq498
antigen30|P65288|BX571857.1|mhcii|seq345	antigen30|P65288|BX571857.1|mhcii|seq499
antigen30|P65288|BX571857.1|mhcii|seq345	antigen30|P65288|BX571857.1|mhcii|seq500
antigen30|P65288|BX571857.1|mhcii|seq345	antigen30|P65288|BX571857.1|mhcii|seq501
antigen30|P65288|BX571857.1|mhcii|seq345	antigen30|P65288|BX571857.1|mhcii|seq342
antigen30|P65288|BX571857.1|mhcii|seq345	antigen30|P65288|BX571857.1|mhcii|seq343
antigen30|P65288|BX571857.1|mhcii|seq345	antigen30|P65288|BX571857.1|mhcii|seq344
antigen30|P65288|BX571857.1|mhcii|seq345	antigen30|P65288|BX571857.1|mhcii|seq346
antigen30|P65288|BX571857.1|mhcii|seq345	antigen30|P65288|BX571857.1|mhcii|seq91
antigen30|P65288|BX571857.1|mhcii|seq345	antigen30|P65288|BX571857.1|mhcii|seq88
antigen30|P65288|BX571857.1|mhcii|seq345	antigen30|P65288|BX571857.1|mhcii|seq89
antigen30|P65288|BX571857.1|mhcii|seq345	antigen30|P65288|BX571857.1|mhcii|seq90
antigen30|P65288|BX571857.1|mhcii|seq345	antigen30|P65288|BX571857.1|mhcii|seq92
antigen30|P65288|BX571857.1|mhcii|seq345	antigen30|P65288|BX571857.1|mhcii|seq93
antigen30|P65288|BX571857.1|mhcii|seq345	antigen30|P65288|BX571857.1|mhcii|seq94
antigen30|P65288|BX571857.1|mhcii|seq345	antigen30|P65288|BX571857.1|mhcii|seq95
antigen30|P65288|BX571857.1|mhcii|seq345	antigen30|P65288|BX571857.1|mhcii|seq219
antigen30|P65288|BX571857.1|mhcii|seq345	antigen30|P65288|BX571857.1|mhcii|seq389
antigen30|P65288|BX571857.1|mhcii|seq345	antigen30|P65288|BX571857.1|mhcii|seq251
antigen30|P65288|BX571857.1|mhcii|seq345	antigen30|P65288|BX571857.1|mhcii|seq247
