antigen174|Q2FHM8|BA000018.3|mhcii|seq1	antigen174|Q2FHM8|BA000018.3|mhcii|seq1
antigen174|Q2FHM8|BA000018.3|mhcii|seq449	antigen174|Q2FHM8|BA000018.3|mhcii|seq449
antigen174|Q2FHM8|BA000018.3|mhcii|seq449	antigen174|Q2FHM8|BA000018.3|mhcii|seq193
antigen174|Q2FHM8|BA000018.3|mhcii|seq449	antigen174|Q2FHM8|BA000018.3|mhcii|seq673
antigen174|Q2FHM8|BA000018.3|mhcii|seq449	antigen174|Q2FHM8|BA000018.3|mhcii|seq194
antigen174|Q2FHM8|BA000018.3|mhcii|seq449	antigen174|Q2FHM8|BA000018.3|mhcii|seq674
antigen174|Q2FHM8|BA000018.3|mhcii|seq449	antigen174|Q2FHM8|BA000018.3|mhcii|seq675
antigen174|Q2FHM8|BA000018.3|mhcii|seq449	antigen174|Q2FHM8|BA000018.3|mhcii|seq805
antigen174|Q2FHM8|BA000018.3|mhcii|seq449	antigen174|Q2FHM8|BA000018.3|mhcii|seq806
antigen174|Q2FHM8|BA000018.3|mhcii|seq449	antigen174|Q2FHM8|BA000018.3|mhcii|seq807
antigen174|Q2FHM8|BA000018.3|mhcii|seq449	antigen174|Q2FHM8|BA000018.3|mhcii|seq808
antigen174|Q2FHM8|BA000018.3|mhcii|seq449	antigen174|Q2FHM8|BA000018.3|mhcii|seq809
antigen174|Q2FHM8|BA000018.3|mhcii|seq449	antigen174|Q2FHM8|BA000018.3|mhcii|seq810
antigen174|Q2FHM8|BA000018.3|mhcii|seq449	antigen174|Q2FHM8|BA000018.3|mhcii|seq685
antigen174|Q2FHM8|BA000018.3|mhcii|seq449	antigen174|Q2FHM8|BA000018.3|mhcii|seq238
antigen174|Q2FHM8|BA000018.3|mhcii|seq449	antigen174|Q2FHM8|BA000018.3|mhcii|seq686
antigen174|Q2FHM8|BA000018.3|mhcii|seq449	antigen174|Q2FHM8|BA000018.3|mhcii|seq239
antigen174|Q2FHM8|BA000018.3|mhcii|seq449	antigen174|Q2FHM8|BA000018.3|mhcii|seq687
