antigen32|Q5HFH6|BX571856.1|mhcii|seq1	antigen32|Q5HFH6|BX571856.1|mhcii|seq1
antigen32|Q5HFH6|BX571856.1|mhcii|seq417	antigen32|Q5HFH6|BX571856.1|mhcii|seq417
antigen32|Q5HFH6|BX571856.1|mhcii|seq513	antigen32|Q5HFH6|BX571856.1|mhcii|seq513
antigen32|Q5HFH6|BX571856.1|mhcii|seq513	antigen32|Q5HFH6|BX571856.1|mhcii|seq1443
antigen32|Q5HFH6|BX571856.1|mhcii|seq513	antigen32|Q5HFH6|BX571856.1|mhcii|seq1444
antigen32|Q5HFH6|BX571856.1|mhcii|seq513	antigen32|Q5HFH6|BX571856.1|mhcii|seq1700
antigen32|Q5HFH6|BX571856.1|mhcii|seq513	antigen32|Q5HFH6|BX571856.1|mhcii|seq1445
antigen32|Q5HFH6|BX571856.1|mhcii|seq513	antigen32|Q5HFH6|BX571856.1|mhcii|seq1701
antigen32|Q5HFH6|BX571856.1|mhcii|seq513	antigen32|Q5HFH6|BX571856.1|mhcii|seq1446
antigen32|Q5HFH6|BX571856.1|mhcii|seq513	antigen32|Q5HFH6|BX571856.1|mhcii|seq1702
antigen32|Q5HFH6|BX571856.1|mhcii|seq513	antigen32|Q5HFH6|BX571856.1|mhcii|seq2566
antigen32|Q5HFH6|BX571856.1|mhcii|seq513	antigen32|Q5HFH6|BX571856.1|mhcii|seq1447
antigen32|Q5HFH6|BX571856.1|mhcii|seq513	antigen32|Q5HFH6|BX571856.1|mhcii|seq1703
antigen32|Q5HFH6|BX571856.1|mhcii|seq513	antigen32|Q5HFH6|BX571856.1|mhcii|seq2567
antigen32|Q5HFH6|BX571856.1|mhcii|seq513	antigen32|Q5HFH6|BX571856.1|mhcii|seq2855
antigen32|Q5HFH6|BX571856.1|mhcii|seq513	antigen32|Q5HFH6|BX571856.1|mhcii|seq1448
antigen32|Q5HFH6|BX571856.1|mhcii|seq513	antigen32|Q5HFH6|BX571856.1|mhcii|seq1704
antigen32|Q5HFH6|BX571856.1|mhcii|seq513	antigen32|Q5HFH6|BX571856.1|mhcii|seq2568
antigen32|Q5HFH6|BX571856.1|mhcii|seq513	antigen32|Q5HFH6|BX571856.1|mhcii|seq2856
antigen32|Q5HFH6|BX571856.1|mhcii|seq513	antigen32|Q5HFH6|BX571856.1|mhcii|seq2569
antigen32|Q5HFH6|BX571856.1|mhcii|seq513	antigen32|Q5HFH6|BX571856.1|mhcii|seq2474
antigen32|Q5HFH6|BX571856.1|mhcii|seq513	antigen32|Q5HFH6|BX571856.1|mhcii|seq2570
antigen32|Q5HFH6|BX571856.1|mhcii|seq513	antigen32|Q5HFH6|BX571856.1|mhcii|seq2475
antigen32|Q5HFH6|BX571856.1|mhcii|seq513	antigen32|Q5HFH6|BX571856.1|mhcii|seq2571
antigen32|Q5HFH6|BX571856.1|mhcii|seq513	antigen32|Q5HFH6|BX571856.1|mhcii|seq2476
antigen32|Q5HFH6|BX571856.1|mhcii|seq513	antigen32|Q5HFH6|BX571856.1|mhcii|seq2764
antigen32|Q5HFH6|BX571856.1|mhcii|seq513	antigen32|Q5HFH6|BX571856.1|mhcii|seq2477
antigen32|Q5HFH6|BX571856.1|mhcii|seq513	antigen32|Q5HFH6|BX571856.1|mhcii|seq2765
antigen32|Q5HFH6|BX571856.1|mhcii|seq513	antigen32|Q5HFH6|BX571856.1|mhcii|seq2478
antigen32|Q5HFH6|BX571856.1|mhcii|seq513	antigen32|Q5HFH6|BX571856.1|mhcii|seq2766
antigen32|Q5HFH6|BX571856.1|mhcii|seq513	antigen32|Q5HFH6|BX571856.1|mhcii|seq2479
antigen32|Q5HFH6|BX571856.1|mhcii|seq513	antigen32|Q5HFH6|BX571856.1|mhcii|seq1203
antigen32|Q5HFH6|BX571856.1|mhcii|seq513	antigen32|Q5HFH6|BX571856.1|mhcii|seq1204
antigen32|Q5HFH6|BX571856.1|mhcii|seq513	antigen32|Q5HFH6|BX571856.1|mhcii|seq1205
antigen32|Q5HFH6|BX571856.1|mhcii|seq513	antigen32|Q5HFH6|BX571856.1|mhcii|seq1206
antigen32|Q5HFH6|BX571856.1|mhcii|seq513	antigen32|Q5HFH6|BX571856.1|mhcii|seq1782
antigen32|Q5HFH6|BX571856.1|mhcii|seq513	antigen32|Q5HFH6|BX571856.1|mhcii|seq1207
antigen32|Q5HFH6|BX571856.1|mhcii|seq513	antigen32|Q5HFH6|BX571856.1|mhcii|seq1783
antigen32|Q5HFH6|BX571856.1|mhcii|seq513	antigen32|Q5HFH6|BX571856.1|mhcii|seq1208
antigen32|Q5HFH6|BX571856.1|mhcii|seq513	antigen32|Q5HFH6|BX571856.1|mhcii|seq1784
antigen32|Q5HFH6|BX571856.1|mhcii|seq513	antigen32|Q5HFH6|BX571856.1|mhcii|seq1785
antigen32|Q5HFH6|BX571856.1|mhcii|seq513	antigen32|Q5HFH6|BX571856.1|mhcii|seq2746
antigen32|Q5HFH6|BX571856.1|mhcii|seq513	antigen32|Q5HFH6|BX571856.1|mhcii|seq1659
antigen32|Q5HFH6|BX571856.1|mhcii|seq513	antigen32|Q5HFH6|BX571856.1|mhcii|seq2747
antigen32|Q5HFH6|BX571856.1|mhcii|seq513	antigen32|Q5HFH6|BX571856.1|mhcii|seq508
antigen32|Q5HFH6|BX571856.1|mhcii|seq513	antigen32|Q5HFH6|BX571856.1|mhcii|seq2748
antigen32|Q5HFH6|BX571856.1|mhcii|seq513	antigen32|Q5HFH6|BX571856.1|mhcii|seq509
antigen32|Q5HFH6|BX571856.1|mhcii|seq513	antigen32|Q5HFH6|BX571856.1|mhcii|seq2749
antigen32|Q5HFH6|BX571856.1|mhcii|seq513	antigen32|Q5HFH6|BX571856.1|mhcii|seq510
antigen32|Q5HFH6|BX571856.1|mhcii|seq513	antigen32|Q5HFH6|BX571856.1|mhcii|seq2750
antigen32|Q5HFH6|BX571856.1|mhcii|seq513	antigen32|Q5HFH6|BX571856.1|mhcii|seq511
antigen32|Q5HFH6|BX571856.1|mhcii|seq513	antigen32|Q5HFH6|BX571856.1|mhcii|seq2751
antigen32|Q5HFH6|BX571856.1|mhcii|seq513	antigen32|Q5HFH6|BX571856.1|mhcii|seq512
