antigen42|A5IPD1|CP002114.3|mhcii|seq262	antigen42|A5IPD1|CP002114.3|mhcii|seq262
antigen42|A5IPD1|CP002114.3|mhcii|seq614	antigen42|A5IPD1|CP002114.3|mhcii|seq614
antigen42|A5IPD1|CP002114.3|mhcii|seq774	antigen42|A5IPD1|CP002114.3|mhcii|seq774
antigen42|A5IPD1|CP002114.3|mhcii|seq774	antigen42|A5IPD1|CP002114.3|mhcii|seq1561
antigen42|A5IPD1|CP002114.3|mhcii|seq774	antigen42|A5IPD1|CP002114.3|mhcii|seq772
antigen42|A5IPD1|CP002114.3|mhcii|seq774	antigen42|A5IPD1|CP002114.3|mhcii|seq773
antigen42|A5IPD1|CP002114.3|mhcii|seq774	antigen42|A5IPD1|CP002114.3|mhcii|seq1560
antigen42|A5IPD1|CP002114.3|mhcii|seq1094	antigen42|A5IPD1|CP002114.3|mhcii|seq1094
antigen42|A5IPD1|CP002114.3|mhcii|seq1350	antigen42|A5IPD1|CP002114.3|mhcii|seq1350
antigen42|A5IPD1|CP002114.3|mhcii|seq1798	antigen42|A5IPD1|CP002114.3|mhcii|seq1798
antigen42|A5IPD1|CP002114.3|mhcii|seq1798	antigen42|A5IPD1|CP002114.3|mhcii|seq1793
antigen42|A5IPD1|CP002114.3|mhcii|seq1798	antigen42|A5IPD1|CP002114.3|mhcii|seq1794
antigen42|A5IPD1|CP002114.3|mhcii|seq1798	antigen42|A5IPD1|CP002114.3|mhcii|seq1795
antigen42|A5IPD1|CP002114.3|mhcii|seq1798	antigen42|A5IPD1|CP002114.3|mhcii|seq1796
antigen42|A5IPD1|CP002114.3|mhcii|seq1798	antigen42|A5IPD1|CP002114.3|mhcii|seq1797
antigen42|A5IPD1|CP002114.3|mhcii|seq1798	antigen42|A5IPD1|CP002114.3|mhcii|seq998
antigen42|A5IPD1|CP002114.3|mhcii|seq1798	antigen42|A5IPD1|CP002114.3|mhcii|seq999
antigen42|A5IPD1|CP002114.3|mhcii|seq1798	antigen42|A5IPD1|CP002114.3|mhcii|seq1000
antigen42|A5IPD1|CP002114.3|mhcii|seq1798	antigen42|A5IPD1|CP002114.3|mhcii|seq1001
antigen42|A5IPD1|CP002114.3|mhcii|seq1798	antigen42|A5IPD1|CP002114.3|mhcii|seq1002
antigen42|A5IPD1|CP002114.3|mhcii|seq1798	antigen42|A5IPD1|CP002114.3|mhcii|seq1003
antigen42|A5IPD1|CP002114.3|mhcii|seq1798	antigen42|A5IPD1|CP002114.3|mhcii|seq878
antigen42|A5IPD1|CP002114.3|mhcii|seq1798	antigen42|A5IPD1|CP002114.3|mhcii|seq271
antigen42|A5IPD1|CP002114.3|mhcii|seq1798	antigen42|A5IPD1|CP002114.3|mhcii|seq879
antigen42|A5IPD1|CP002114.3|mhcii|seq1798	antigen42|A5IPD1|CP002114.3|mhcii|seq272
antigen42|A5IPD1|CP002114.3|mhcii|seq1798	antigen42|A5IPD1|CP002114.3|mhcii|seq400
antigen42|A5IPD1|CP002114.3|mhcii|seq1798	antigen42|A5IPD1|CP002114.3|mhcii|seq880
antigen42|A5IPD1|CP002114.3|mhcii|seq1798	antigen42|A5IPD1|CP002114.3|mhcii|seq1104
antigen42|A5IPD1|CP002114.3|mhcii|seq1798	antigen42|A5IPD1|CP002114.3|mhcii|seq273
antigen42|A5IPD1|CP002114.3|mhcii|seq1798	antigen42|A5IPD1|CP002114.3|mhcii|seq401
antigen42|A5IPD1|CP002114.3|mhcii|seq1798	antigen42|A5IPD1|CP002114.3|mhcii|seq881
antigen42|A5IPD1|CP002114.3|mhcii|seq1798	antigen42|A5IPD1|CP002114.3|mhcii|seq1105
antigen42|A5IPD1|CP002114.3|mhcii|seq1798	antigen42|A5IPD1|CP002114.3|mhcii|seq274
antigen42|A5IPD1|CP002114.3|mhcii|seq1798	antigen42|A5IPD1|CP002114.3|mhcii|seq402
antigen42|A5IPD1|CP002114.3|mhcii|seq1798	antigen42|A5IPD1|CP002114.3|mhcii|seq882
antigen42|A5IPD1|CP002114.3|mhcii|seq1798	antigen42|A5IPD1|CP002114.3|mhcii|seq1106
antigen42|A5IPD1|CP002114.3|mhcii|seq1798	antigen42|A5IPD1|CP002114.3|mhcii|seq1778
antigen42|A5IPD1|CP002114.3|mhcii|seq1798	antigen42|A5IPD1|CP002114.3|mhcii|seq275
antigen42|A5IPD1|CP002114.3|mhcii|seq1798	antigen42|A5IPD1|CP002114.3|mhcii|seq403
antigen42|A5IPD1|CP002114.3|mhcii|seq1798	antigen42|A5IPD1|CP002114.3|mhcii|seq883
