antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1741	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1741
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq590	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq590
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1198	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1198
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1551	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1551
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1551	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq332
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1551	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1552
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1551	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1553
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq144	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq144
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1168	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1168
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1168	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1169
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq81	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq81
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq81	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq865
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq81	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq866
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq81	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq867
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq81	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq868
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq81	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq869
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq81	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq870
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq81	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq747
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq81	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq748
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq81	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq749
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq81	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq78
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq81	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq750
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq81	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq79
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq81	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq751
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq81	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq80
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq81	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1584
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq81	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1585
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq81	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq82
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq81	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1586
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq81	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq83
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq81	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1011
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq81	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1587
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq81	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq84
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq81	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1012
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq81	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1588
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq81	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq85
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq81	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq181
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq81	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1013
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq81	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1589
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq81	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq182
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq81	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1590
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq337	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq337
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq337	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq129
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq337	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1281
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq337	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1542
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq337	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq125
antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq337	antigen168|A0A0H3K6Z9|BA000018.3|mhcii|seq1278
