,ACC,Localization,Cell wall & surface,Extracellular,Cytoplasmic,Cytoplasmic Membrane,Outer Membrane,Periplasmic
0,SEQ_ID_1LENGTH:,Cytoplasmic,0.0016,0.0101,0.9701,0.0181,0.0000,0.0000
1,SEQ_ID_14,Cell wall & surface,0.5077,0.1603,0.0000,0.3319,0.0000,0.0000
2,SEQ_ID_15,Cytoplasmic Membrane,0.0018,0.2830,0.0001,0.7151,0.0000,0.0000
3,SEQ_ID_16,Cytoplasmic Membrane,0.0012,0.0016,0.0000,0.9972,0.0000,0.0000
4,SEQ_ID_17,Extracellular,0.1081,0.8915,0.0000,0.0004,0.0000,0.0000
5,SEQ_ID_18,Cytoplasmic Membrane,0.0000,0.0001,0.0000,0.9999,0.0000,0.0000
6,SEQ_ID_19,Extracellular,0.0244,0.9663,0.0000,0.0093,0.0000,0.0000
7,SEQ_ID_20,Cytoplasmic,0.0005,0.1239,0.8537,0.0219,0.0000,0.0000
8,SEQ_ID_21,Cytoplasmic Membrane,0.0001,0.0095,0.0003,0.9901,0.0000,0.0000
9,SEQ_ID_:,Cytoplasmic,0.0084,0.0458,0.9407,0.0051,0.0000,0.0000
10,SEQ_ID_LENGTH:,Cytoplasmic,0.0002,0.0631,0.9352,0.0015,0.0000,0.0000
11,SEQ_ID_25,Cytoplasmic,0.0002,0.2556,0.7402,0.0041,0.0000,0.0000
12,SEQ_ID_26,Extracellular,0.0004,0.5323,0.4592,0.0081,0.0000,0.0000
13,SEQ_ID_27,Cytoplasmic Membrane,0.0000,0.0002,0.0000,0.9998,0.0000,0.0000
14,SEQ_ID_28,Cytoplasmic,0.0000,0.0025,0.9972,0.0002,0.0000,0.0000
15,SEQ_ID_29,Cytoplasmic,0.0011,0.1532,0.6405,0.2052,0.0000,0.0000
16,SEQ_ID_30,Cytoplasmic,0.0001,0.0165,0.9505,0.0329,0.0000,0.0000
17,SEQ_ID_31,Cytoplasmic,0.0003,0.0008,0.9354,0.0635,0.0000,0.0000
18,SEQ_ID_32,Cytoplasmic,0.0000,0.0021,0.9977,0.0003,0.0000,0.0000
19,SEQ_ID_33,Cell wall & surface,0.8832,0.0515,0.0001,0.0653,0.0000,0.0000
20,SEQ_ID_34,Cytoplasmic Membrane,0.0000,0.0002,0.0000,0.9998,0.0000,0.0000
21,SEQ_ID_35,Cytoplasmic Membrane,0.0000,0.0010,0.0000,0.9989,0.0000,0.0000
22,SEQ_ID_36,Cell wall & surface,0.9248,0.0723,0.0008,0.0020,0.0000,0.0000
