,ACC,Localization,Cell wall & surface,Extracellular,Cytoplasmic,Cytoplasmic Membrane,Outer Membrane,Periplasmic
0,Q2G0X7,Extracellular,0.0461,0.9523,0.0002,0.0013,0.0000,0.0000
1,Q2G1S8,Extracellular,0.0369,0.9620,0.0001,0.0010,0.0000,0.0000
2,Q2G0X9,Extracellular,0.0147,0.9841,0.0000,0.0012,0.0000,0.0000
3,Q2G0X8,Extracellular,0.0020,0.9967,0.0001,0.0012,0.0000,0.0000
4,Q2G1S6,Extracellular,0.0264,0.9723,0.0000,0.0012,0.0000,0.0000
5,Q2G1S5,Extracellular,0.0472,0.9479,0.0001,0.0047,0.0000,0.0000
6,Q2G2Y0,Extracellular,0.0590,0.9396,0.0001,0.0014,0.0000,0.0000
7,Q2G2X9,Extracellular,0.0089,0.9686,0.0000,0.0224,0.0000,0.0000
8,Q2G2X8,Extracellular,0.0347,0.9529,0.0000,0.0124,0.0000,0.0000
9,Q2G2X7,Extracellular,0.0123,0.9850,0.0000,0.0026,0.0000,0.0000
10,Q2G0X4,Extracellular,0.0029,0.9969,0.0000,0.0002,0.0000,0.0000
11,Q2FZB3,Extracellular,0.0001,0.9995,0.0000,0.0004,0.0000,0.0000
12,Q2FZB2,Extracellular,0.0004,0.9995,0.0000,0.0001,0.0000,0.0000
13,Q2FZB1,Extracellular,0.0005,0.9987,0.0000,0.0008,0.0000,0.0000
