,ACC,Localization,Cell wall & surface,Extracellular,Cytoplasmic,Cytoplasmic Membrane,Outer Membrane,Periplasmic
0,WP_000002080.1,Cytoplasmic,0.0008,0.0154,0.9795,0.0042,0.0000,0.0000
1,WP_000002682.1,Cytoplasmic Membrane,0.0000,0.0005,0.0000,0.9995,0.0000,0.0000
2,WP_000002973.1,Cytoplasmic,0.0000,0.0075,0.9606,0.0319,0.0000,0.0000
3,WP_000003566.1,Cytoplasmic,0.0000,0.0023,0.9977,0.0000,0.0000,0.0000
4,WP_000003759.1,Cytoplasmic,0.0003,0.0155,0.9820,0.0022,0.0000,0.0000
5,WP_000003870.1,Cytoplasmic,0.0002,0.0554,0.9132,0.0312,0.0000,0.0000
6,WP_000004086.1,Extracellular,0.0000,0.5134,0.4865,0.0000,0.0000,0.0000
7,WP_000004340.1,Cytoplasmic Membrane,0.0000,0.0000,0.0000,0.9999,0.0000,0.0000
8,WP_000004981.1,Cytoplasmic,0.0001,0.0043,0.9946,0.0010,0.0000,0.0000
9,WP_000005208.1,Cytoplasmic,0.0022,0.0147,0.6948,0.2883,0.0000,0.0000
10,WP_000005632.1,Cytoplasmic Membrane,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000
11,WP_000005879.1,Cytoplasmic,0.0002,0.0465,0.9049,0.0484,0.0000,0.0000
12,WP_000006110.1,Cytoplasmic,0.0007,0.1214,0.8773,0.0007,0.0000,0.0000
13,WP_000006551.1,Cytoplasmic,0.0005,0.0082,0.9682,0.0231,0.0000,0.0000
14,WP_000007675.1,Cytoplasmic,0.0005,0.0324,0.6799,0.2872,0.0000,0.0000
15,WP_000007960.1,Cytoplasmic Membrane,0.0000,0.0001,0.0002,0.9997,0.0000,0.0000
16,WP_000008061.1,Cytoplasmic,0.0172,0.1469,0.8354,0.0004,0.0000,0.0000
17,WP_000008671.1,Cytoplasmic,0.0066,0.1467,0.8304,0.0163,0.0000,0.0000
18,WP_000009075.1,Cytoplasmic Membrane,0.0000,0.0016,0.0001,0.9983,0.0000,0.0000
19,WP_000009406.1,Cytoplasmic Membrane,0.0000,0.0002,0.0000,0.9998,0.0000,0.0000
20,WP_000011542.1,Cytoplasmic Membrane,0.0000,0.0026,0.0002,0.9971,0.0000,0.0000
21,WP_000011687.1,Cytoplasmic,0.0001,0.1321,0.4554,0.4125,0.0000,0.0000
