accession,deeplocpro_prob_cell_wall_surface,deeplocpro_prob_extracellular,deeplocpro_prob_cytoplasmic,deeplocpro_prob_cytoplasmic_membrane,deeplocpro_prob_outer_membrane,deeplocpro_prob_periplasmic,signalp_prob_signalp,signalp_prob_other,targetp_prob_noTP,targetp_prob_SP,targetp_prob_mTP
WP_000034961.1,0.0034,0.0237,0.0,0.9729,0.0,0.0,0.985984,0.014016,0.013275,0.9866,0.000125
WP_000041898.1,0.0001,0.9994,0.0,0.0004,0.0,0.0,0.862267,0.137733,0.070669,0.917008,0.012322
WP_000110600.1,0.0004,0.0041,0.0158,0.9797,0.0,0.0,0.602578,0.397422,0.377154,0.620097,0.002749
WP_000111118.1,0.0,0.0044,0.0006,0.9949,0.0,0.0,0.632735,0.367265,0.002338,0.997662,1e-06
WP_000120309.1,0.5753,0.2021,0.0002,0.2223,0.0,0.0,0.853768,0.146232,0.057337,0.942171,0.000492
WP_000162810.1,0.0012,0.0155,0.0,0.9832,0.0,0.0,0.996124,0.003876,0.004365,0.995456,0.000179
WP_000185319.1,0.0089,0.986,0.0018,0.0034,0.0,0.0,0.798258,0.201742,0.091697,0.890188,0.018116
WP_000197023.1,0.0434,0.0902,0.0003,0.8661,0.0,0.0,0.984158,0.015842,0.00021,0.999763,2.7e-05
WP_000230294.1,0.0,0.0641,0.0004,0.9355,0.0,0.0,0.774669,0.225331,0.010773,0.988902,0.000325
WP_000239610.1,0.0017,0.9976,0.0,0.0007,0.0,0.0,0.76104,0.23896,0.043837,0.954277,0.001886
WP_000339144.1,0.0007,0.0836,0.0023,0.9133,0.0,0.0,0.748544,0.251456,0.039094,0.960091,0.000815
WP_000455861.1,0.0001,0.9994,0.0,0.0005,0.0,0.0,0.948565,0.051435,0.005652,0.994255,9.3e-05
WP_000456136.1,0.0088,0.3202,0.0002,0.6708,0.0,0.0,0.986583,0.013417,0.007663,0.992259,7.8e-05
WP_000473596.1,0.0003,0.9994,0.0,0.0003,0.0,0.0,0.944259,0.055741,0.016791,0.947661,0.035548
WP_000476339.1,0.012,0.8626,0.0016,0.1238,0.0,0.0,0.966791,0.033209,0.003156,0.995412,0.001432
WP_000476866.1,0.0184,0.8196,0.004,0.158,0.0,0.0,0.973767,0.026233,0.002667,0.996716,0.000617
WP_000476881.1,0.0378,0.7787,0.0048,0.1787,0.0,0.0,0.983098,0.016902,0.001871,0.997709,0.00042
WP_000517176.1,0.0165,0.2227,0.0002,0.7606,0.0,0.0,0.970592,0.029408,0.00364,0.996317,4.2e-05
WP_000540315.1,0.0122,0.3008,0.0003,0.6868,0.0,0.0,0.914908,0.085092,0.038151,0.961537,0.000311
WP_000540916.1,0.0013,0.3506,0.0002,0.6479,0.0,0.0,0.902448,0.097552,0.010622,0.988729,0.000649
WP_000549222.1,0.0051,0.1005,0.0002,0.8941,0.0,0.0,0.983232,0.016768,0.014335,0.985598,6.7e-05
WP_000581910.1,0.0042,0.0797,0.0008,0.9153,0.0,0.0,0.898764,0.101236,0.005747,0.994176,7.7e-05
WP_000582332.1,0.0,0.0007,0.0001,0.9992,0.0,0.0,0.881381,0.118619,0.27545,0.723701,0.000849
WP_000594519.1,0.0004,0.9993,0.0001,0.0002,0.0,0.0,0.804704,0.195296,0.048618,0.936095,0.015287
WP_000595401.1,0.0001,0.9998,0.0,0.0,0.0,0.0,0.51711,0.48289,0.141538,0.769132,0.089329
WP_000597213.1,0.0019,0.2441,0.0004,0.7536,0.0,0.0,0.858095,0.141905,0.026198,0.972666,0.001136
WP_000608674.1,0.0021,0.9906,0.0015,0.0058,0.0,0.0,0.997225,0.002775,0.000255,0.999735,9e-06
WP_000611512.1,0.0008,0.0282,0.0009,0.9701,0.0,0.0,0.764401,0.235599,0.059394,0.939149,0.001457
WP_000645781.1,0.6899,0.194,0.0007,0.1153,0.0,0.0,0.98094,0.01906,0.016283,0.983603,0.000114
WP_000648118.1,0.0351,0.1684,0.0204,0.7761,0.0,0.0,0.571459,0.428541,0.127275,0.822757,0.049968
WP_000649907.1,0.0,0.0001,0.0,0.9999,0.0,0.0,0.979898,0.020102,0.004262,0.995364,0.000374
WP_000668339.1,0.0592,0.0435,0.0,0.8972,0.0,0.0,0.954979,0.045021,0.033087,0.964957,0.001956
WP_000669009.1,0.015,0.982,0.0,0.003,0.0,0.0,0.960875,0.039125,0.045597,0.829958,0.124445
WP_000669017.1,0.0723,0.3328,0.0023,0.5926,0.0,0.0,0.99537,0.00463,0.00361,0.996343,4.7e-05
WP_000669524.1,0.1282,0.8709,0.0001,0.0008,0.0,0.0,0.937929,0.062071,0.012342,0.986541,0.001117
WP_000669537.1,0.0236,0.9757,0.0,0.0006,0.0,0.0,0.919535,0.080465,0.00502,0.993484,0.001496
WP_000669654.1,0.0071,0.2928,0.0001,0.7001,0.0,0.0,0.968769,0.031231,0.007323,0.964823,0.027854
WP_000673035.1,0.009,0.9824,0.0,0.0086,0.0,0.0,0.93422,0.06578,0.036737,0.958544,0.004719
WP_000673059.1,0.0163,0.9753,0.0001,0.0083,0.0,0.0,0.918314,0.081686,0.045718,0.916074,0.038208
WP_000676532.1,0.0086,0.9913,0.0001,0.0001,0.0,0.0,0.735461,0.264539,0.022348,0.960031,0.017621
WP_000683611.1,0.0,0.0017,0.0,0.9983,0.0,0.0,0.87307,0.12693,0.175522,0.816171,0.008308
WP_000686167.1,0.0008,0.019,0.1802,0.8001,0.0,0.0,0.640359,0.359641,0.156295,0.72847,0.115235
WP_000691541.1,0.0045,0.9917,0.0,0.0037,0.0,0.0,0.992319,0.007681,0.001163,0.998774,6.3e-05
WP_000702263.1,0.0071,0.9928,0.0,0.0001,0.0,0.0,0.887039,0.112961,0.005917,0.987633,0.00645
WP_000704946.1,0.0002,0.9996,0.0,0.0002,0.0,0.0,0.993986,0.006014,0.001099,0.998063,0.000838
