Subject,ML Score,MERCI Score,BLAST Score,Hybrid Score,Prediction
antigen_169|Q7A0H5|Bacterial|WP_000949467.1|tpos:1-166,0.218,0.0,0.5,0.718,Allergen
antigen_53|Q2FIK4|Extracellular|WP_000728058.1|tpos:1-340,0.253,0.0,0.0,0.253,Non-Allergen
antigen_33|Q2FWH7|Sensor|WP_000072270.1|tpos:1-885,0.02,0.5,-0.5,0.02,Non-Allergen
antigen_66|Q2FF66|3-isopropylmalate|WP_000221934.1|tpos:1-348,0.084,0.5,0.0,0.584,Allergen
antigen_29|P67371|DegV|WP_000166066.1|tpos:1-279,0.19,0.0,-0.5,-0.31,Non-Allergen
antigen_160|Q5HJT5|Probable|WP_000662036.1|tpos:1-328,0.013,0.0,-0.5,-0.487,Non-Allergen
antigen_149|Q99QV7|Putative|WP_001213908.1|tpos:9-221,0.236,0.0,-0.5,-0.264,Non-Allergen
antigen_120|Q6GHZ5|DNA-directed|WP_000257888.1|tpos:1-72,0.247,0.0,0.0,0.247,Non-Allergen
antigen_121|Q99U50|L-threonine|WP_000210828.1|tpos:1-346,0.312,0.5,-0.5,0.312,Allergen
antigen_123|A7X1P6|Ribosome|WP_000036633.1|tpos:1-155,0.115,0.0,-0.5,-0.385,Non-Allergen
antigen_162|A8Z1W7|DNA|WP_000516260.1|tpos:1-669,0.101,0.0,-0.5,-0.399,Non-Allergen
antigen_167|A6U3W5|Large|WP_000615921.1|tpos:1-122,0.267,0.0,0.0,0.267,Non-Allergen
antigen_168|A0A0H3K6Z9|Staphylococcal|WP_000778498.1|tpos:1-227,0.232,0.0,0.5,0.732,Allergen
antigen_170|Q2FFJ5|Glutamyl-tRNA(Gln)|WP_000027924.1|tpos:1-485,0.532,0.0,-0.5,0.032,Non-Allergen
antigen_172|Q2YUN4|Thymidine|WP_000273356.1|tpos:1-199,0.095,0.0,0.0,0.095,Non-Allergen
antigen_174|Q2FHM8|DNA-directed|WP_000933956.1|tpos:1-72,0.042,0.5,-0.5,0.042,Non-Allergen
antigen_176|P66335|Small|WP_001118667.1|tpos:1-102,0.088,0.0,0.0,0.088,Non-Allergen
antigen_177|P60611|Transcriptional|WP_000645456.1|tpos:1-246,0.069,0.5,-0.5,0.069,Non-Allergen
antigen_178|Q2YTM3|Serine|WP_000676573.1|tpos:104-279,0.601,0.0,0.0,0.601,Allergen
antigen_179|Q5HEW2|Serine|WP_000676573.1|tpos:104-279,0.601,0.0,0.0,0.601,Allergen
antigen_43|P06886|Toxic|WP_000669003.1|tpos:113-205,0.202,0.0,0.5,0.702,Allergen
antigen_144|Q2YVA4|D-ribose|WP_000750483.1|tpos:1-134,0.098,0.5,-0.5,0.098,Non-Allergen
antigen_145|A6QJI7|Isopentenyl-diphosphate|WP_001279381.1|tpos:1-349,0.139,0.0,0.0,0.139,Non-Allergen
