source_organism,host_organisms,antigen_name,gene_name,Uniprot_ID,source
['Neisseria gonorrhoeae'],['Homo sapiens (human)'],['Large ribosomal subunit protein uL6 (UniProt:Q5F5U2)'],,Q5F5U2,IEDB
['Neisseria gonorrhoeae'],['Homo sapiens (human)'],['Transferrin-binding protein A (UniProt:Q5F6Q4)'],,Q5F6Q4,IEDB
['Neisseria gonorrhoeae'],['Homo sapiens (human)'],['Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex (UniProt:Q5F875)'],,Q5F875,IEDB
['Neisseria gonorrhoeae'],"['Homo sapiens (human)', 'Macaca mulatta (rhesus macaque)']",['DNA gyrase subunit A (UniProt:Q5F8Y0)'],,Q5F8Y0,IEDB
"['Neisseria gonorrhoeae', 'Neisseria gonorrhoeae MS11']","['Homo sapiens (human)', 'Macaca mulatta (rhesus macaque)', 'Mus musculus (mouse)']",['IgA-specific serine endopeptidase (UniProt:Q5F9W2)'],,Q5F9W2,IEDB
"['Neisseria gonorrhoeae', 'Neisseria gonorrhoeae FA 1090 (Neisseria gonorrhoeae str. FA 1090)']","['Homo sapiens (human)', 'Macaca mulatta (rhesus macaque)']",['Pilus assembly protein (UniProt:Q5FAG7)'],,Q5FAG7,IEDB
['Neisseria gonorrhoeae'],['Homo sapiens (human)'],['Carbamoyl phosphate synthase large chain (UniProt:Q5FAH2)'],,Q5FAH2,IEDB
neisseria gonorrhoeae,Homo sapiens,AbuA,,,literature
neisseria gonorrhoeae,Homo sapiens,IgA1 protease,,,literature
neisseria gonorrhoeae,Homo sapiens,NGO1985,,,literature
neisseria gonorrhoeae,Homo sapiens,NGO1559,,,literature
neisseria gonorrhoeae,Homo sapiens,NGO1344,,,literature
neisseria gonorrhoeae,Homo sapiens,NgMIP,,,literature
neisseria gonorrhoeae,Homo sapiens,PilN,,,literature
neisseria gonorrhoeae,Homo sapiens,Slam2,,,literature
neisseria gonorrhoeae,Homo sapiens,SliC,,,literature
neisseria gonorrhoeae,Homo sapiens,ZnuD,,,literature
neisseria gonorrhoeae,Homo sapiens,Outer membrane phospho-lipase A,PldA,,literature
neisseria gonorrhoeae,Homo sapiens,Neisseria gonorrhoeae phospho-lipase D,PLD,,literature
neisseria gonorrhoeae,Homo sapiens,PilC,pilC,,literature
neisseria gonorrhoeae,Homo sapiens,PilQ,pilQ,,literature
neisseria gonorrhoeae,Homo sapiens,Porin,porB,,literature
neisseria gonorrhoeae,Homo sapiens,Opacity proteins,opa,,literature
neisseria gonorrhoeae,Homo sapiens,OpcA,opcA,,literature
neisseria gonorrhoeae,Homo sapiens,Outer membrane protein A,ompA,,literature
neisseria gonorrhoeae,Homo sapiens,Neisseria heparin binding antigen,nhba,,literature
neisseria gonorrhoeae,Homo sapiens,Transferrin-binding protein B,tbpB,,literature
neisseria gonorrhoeae,Homo sapiens,Lactoferrin-binding protein A,lbpA,,literature
neisseria gonorrhoeae,Homo sapiens,Lactoferrin-binding protein B,lbpB,,literature
neisseria gonorrhoeae,Homo sapiens,Ferric entero-bactin transporter A,fetA,,literature
neisseria gonorrhoeae,Homo sapiens,Ferric entero-bactin transporter B,fetB,,literature
neisseria gonorrhoeae,Homo sapiens,TonB-dependent family J,tdfJ,,literature
neisseria gonorrhoeae,Homo sapiens,TonB-dependent family H,tdfH,,literature
neisseria gonorrhoeae,Homo sapiens,Anaerobically induced protein A,aniA,,literature
neisseria gonorrhoeae,Homo sapiens,"Alpha-2,3-sialy-transferase",lst,,literature
neisseria gonorrhoeae,Homo sapiens,Neisserial surface protein A,nspA,,literature
neisseria gonorrhoeae,Homo sapiens,Lipooligo-saccharide  epitope 2C7,lgtG,,literature
neisseria gonorrhoeae,Homo sapiens,IgA1-specific protease,iga,,literature
neisseria gonorrhoeae,Homo sapiens,Macro-phage Infectivity Potentiator (MIP) lipoprotein,mip,,literature
neisseria gonorrhoeae,Homo sapiens,Methionine sulfoxide reductase,mrsAB,,literature
neisseria gonorrhoeae,Homo sapiens,Multiple transferable resistance protein E,mtrE,,literature
neisseria gonorrhoeae,Homo sapiens,Filamentous bacteriophage proteins,NgoΦ6,,literature
neisseria gonorrhoeae,Homo sapiens,Adhesin complex protein,acp,,literature
neisseria gonorrhoeae,Homo sapiens,IgA2 protease,iga2,,literature
neisseria gonorrhoeae,Homo sapiens,Beta-barrel assembly machinery protein A,bamA,,literature
neisseria gonorrhoeae,Homo sapiens,Beta-barrel assembly machinery protein E,bamE,,literature
neisseria gonorrhoeae,Homo sapiens,Curl-specific gene G,csgG,,literature
neisseria gonorrhoeae,Homo sapiens,Lipoprotein outer membrane localization lipoprotein B,lolB,,literature
neisseria gonorrhoeae,Homo sapiens,Lipoprotein I,lprI,,literature
neisseria gonorrhoeae,Homo sapiens,Lipopolysaccharide assembly protein D,lptD,,literature
neisseria gonorrhoeae,Homo sapiens,Lipopolysaccharide assembly protein E,lptE,,literature
neisseria gonorrhoeae,Homo sapiens,Multiple adhesin family A,mafA,,literature
neisseria gonorrhoeae,Homo sapiens,Methionine binding lipoprotein Q,metQ,,literature
neisseria gonorrhoeae,Homo sapiens,Outer membrane porin protein U,ompU,,literature
neisseria gonorrhoeae,Homo sapiens,Surface-exposed lysozyme inhibitor of c-type lysozyme,silC,,literature
neisseria gonorrhoeae,Homo sapiens,Trans-location and assembly module A,tamA,,literature
neisseria gonorrhoeae,Homo sapiens,-,NGO0416,,literature
neisseria gonorrhoeae,Homo sapiens,-,NGO0425,,literature
neisseria gonorrhoeae,Homo sapiens,-,NGO0690,,literature
neisseria gonorrhoeae,Homo sapiens,-,NGO0778,,literature
neisseria gonorrhoeae,Homo sapiens,-,NGO0948,,literature
neisseria gonorrhoeae,Homo sapiens,-,NGO1043,,literature
neisseria gonorrhoeae,Homo sapiens,-,NGO1215,,literature
neisseria gonorrhoeae,Homo sapiens,-,NGO1251,,literature
neisseria gonorrhoeae,Homo sapiens,-,NGO1701,,literature
neisseria gonorrhoeae,Homo sapiens,-,NGO2054,,literature
neisseria gonorrhoeae,Homo sapiens,tbpA,,,literature
neisseria gonorrhoeae,Homo sapiens,fbpC,,,literature
neisseria gonorrhoeae,Homo sapiens,fbpB,,,literature
neisseria gonorrhoeae,Homo sapiens,fbpA,,,literature
neisseria gonorrhoeae,Homo sapiens,tdfF,,,literature
neisseria gonorrhoeae,Homo sapiens,tdfG,,,literature
neisseria gonorrhoeae,Homo sapiens,exbD,,,literature
neisseria gonorrhoeae,Homo sapiens,exbB,,,literature
neisseria gonorrhoeae,Homo sapiens,fur,,,literature
neisseria gonorrhoeae,Homo sapiens,tonB,,,literature
neisseria gonorrhoeae,Homo sapiens,FarAB,,,literature
neisseria gonorrhoeae,Homo sapiens,fatty acid resistance system,,,literature
neisseria gonorrhoeae,Homo sapiens,HmbR,,,literature
neisseria gonorrhoeae,Homo sapiens,haemoglobin receptor,,,literature
neisseria gonorrhoeae,Homo sapiens,HpuA,,,literature
neisseria gonorrhoeae,Homo sapiens,haemoglobin-heptaglobin utilization,,,literature
neisseria gonorrhoeae,Homo sapiens,HpuB,,,literature
