Subject,ML Score,MERCI Score,BLAST Score,Hybrid Score,Prediction
antigen_183|Q83D09|UPF0422|BBL37018.1|tpos:19-483,0.275,0.5,0.0,0.775,Allergen
antigen_134|B6J238|DNA-directed|BBL37539.1|tpos:1-327,0.064,0.0,-0.5,-0.436,Non-Allergen
antigen_135|B6IZD8|Phosphoglucosamine|BBL36636.1|tpos:1-446,0.089,0.5,-0.5,0.089,Non-Allergen
antigen_185|Q83DN9|Uncharacterized|BBL37209.1|tpos:1-143,0.148,0.0,0.0,0.148,Non-Allergen
antigen_186|A9KC14|Co-chaperonin|BBL36325.1|tpos:21-116,0.172,0.0,0.0,0.172,Non-Allergen
antigen_187|Q83BV3|Uridylate|BBL36605.1|tpos:1-243,0.086,0.0,-0.5,-0.414,Non-Allergen
antigen_50|B6IZF7|Large|BBL36658.1|tpos:1-64,0.095,0.0,-0.5,-0.405,Non-Allergen
antigen_51|A9KD30|Large|BBL37564.1|tpos:2-206,0.065,0.0,-0.5,-0.435,Non-Allergen
antigen_52|Q83D18|Pyridoxine/pyridoxamine|BBL37010.1|tpos:1-196,0.11,0.0,0.0,0.11,Non-Allergen
antigen_53|B6J031|tRNA-cytidine(32)|BBL37116.1|tpos:1-256,0.042,0.0,-0.5,-0.458,Non-Allergen
antigen_2|A9KGU5|Proline--tRNA|BBL37699.1|tpos:3-566,0.026,0.5,-0.5,0.026,Non-Allergen
antigen_144|Q83DD0|Valine--tRNA|BBL36909.1|tpos:1-920,0.037,0.5,-0.5,0.037,Non-Allergen
antigen_165|B6J8F9|UPF0434|BBL37366.1|tpos:1-56,0.223,0.5,0.0,0.723,Allergen
antigen_166|Q83C31|UPF0125|BBL36679.1|tpos:1-101,0.036,0.0,0.0,0.036,Non-Allergen
antigen_38|B6J4E1|Probable|BBL36276.1|tpos:1-205,0.026,0.5,-0.5,0.026,Non-Allergen
antigen_132|B6J1K0|3-deoxy-manno-octulosonate|BBL37365.1|tpos:5-253,0.143,0.5,-0.5,0.143,Non-Allergen
antigen_133|A9KBK7|NADH-quinone|BBL36551.1|tpos:1-417,0.068,0.0,0.0,0.068,Non-Allergen
antigen_193|A9KC35|3-hydroxyacyl-[acyl-carrier-protein]|BBL37245.1|tpos:4-145,0.127,0.0,-0.5,-0.373,Non-Allergen
antigen_130|A9KBS8|tRNA|BBL36140.1|tpos:1-627,0.029,0.0,0.0,0.029,Non-Allergen
antigen_88|B6J3V5|Phosphoenolpyruvate|BBL37835.1|tpos:1-517,0.09,0.0,-0.5,-0.41,Non-Allergen
antigen_3|B6J4Q5|Small|BBL36298.1|tpos:1-139,0.207,0.0,-0.5,-0.293,Non-Allergen
antigen_136|B6J3N7|Methionine--tRNA|BBL36348.1|tpos:1-546,0.162,0.5,-0.5,0.162,Non-Allergen
antigen_123|B6J8M6|Elongation|BBL36604.1|tpos:1-296,0.231,0.0,-0.5,-0.269,Non-Allergen
antigen_124|B6IZ52|NADH-quinone|BBL36555.1|tpos:1-340,0.026,0.5,-0.5,0.026,Non-Allergen
antigen_182|A9KH31|ATP-dependent|BBL37776.1|tpos:19-465,0.036,0.0,0.0,0.036,Non-Allergen
antigen_112|B6J289|DNA|BBL36067.1|tpos:1-357,0.02,0.0,-0.5,-0.48,Non-Allergen
antigen_84|Q83BS0|Transcription|BBL36563.1|tpos:1-503,0.082,0.0,-0.5,-0.418,Non-Allergen
antigen_23|Q83E11|3-phosphoshikimate|BBL37316.1|tpos:1-438,0.069,0.0,-0.5,-0.431,Non-Allergen
antigen_27|Q83AC1|Universal|BBL37746.1|tpos:1-144,0.043,0.5,-0.5,0.043,Non-Allergen
antigen_173|B6J0J1|Alanine|BBL36963.1|tpos:1-364,0.037,0.5,-0.5,0.037,Non-Allergen
antigen_4|B6J929|Succinyl-diaminopimelate|BBL37201.1|tpos:1-374,0.51,0.5,-0.5,0.51,Allergen
antigen_95|B6J5D8|Small|BBL37559.1|tpos:1-227,0.084,0.0,-0.5,-0.416,Non-Allergen
antigen_96|A9KET3|Transcriptional|BBL37663.1|tpos:9-160,0.033,0.0,-0.5,-0.467,Non-Allergen
