# SignalP-5.0	Organism: euk	Timestamp: 20250821202408
# ID	Prediction	SP(Sec/SPI)	OTHER	CS Position
antigen_126|Q1JK54|Xaa-Pro|NZ_CP035427.1|tpos:481863-482622	OTHER	0.001192	0.998808	
antigen_0|P69882|Adenylate|NZ_CP035427.1|tpos:24311-24522	OTHER	0.032222	0.967778	
antigen_44|Q1J776|Ferredoxin--NADP|NZ_CP035427.1|tpos:266322-266648	OTHER	0.000603	0.999397	
antigen_39|Q5XDM4|ATP-dependent|NZ_CP035427.1|tpos:67370-67549	OTHER	0.003105	0.996895	
antigen_59|A2RGF2|Tagatose-6-phosphate|NZ_CP035427.1|tpos:235206-235459	OTHER	0.000887	0.999113	
antigen_81|P0DG47|Lysine--tRNA|NZ_CP035427.1|tpos:181670-182087	OTHER	0.000530	0.999470	
antigen_83|P0DA37|ATP-dependent|NZ_CP035427.1|tpos:243439-243847	OTHER	0.000493	0.999507	
antigen_129|A2RG72|ATP-dependent|NZ_CP035427.1|tpos:67370-67549	OTHER	0.003105	0.996895	
antigen_130|B5XJ57|Adenylate|NZ_CP035427.1|tpos:24311-24522	OTHER	0.032222	0.967778	
antigen_5|Q5XD71|HPr|NZ_CP035427.1|tpos:164936-165245	OTHER	0.001719	0.998281	
antigen_172|A2RF47|Ferredoxin--NADP|NZ_CP035427.1|tpos:266322-266648	OTHER	0.000603	0.999397	
antigen_187|P0DE91|Small|NZ_CP035427.1|tpos:21880-22096	OTHER	0.000891	0.999109	
antigen_152|Q99Y58|Xaa-Pro|NZ_CP035427.1|tpos:481863-482622	OTHER	0.001192	0.998808	
antigen_69|Q5XC82|NAD|NZ_CP035427.1|tpos:287204-287481	OTHER	0.000262	0.999738	
antigen_70|P63548|Adenine|NZ_CP035427.1|tpos:258409-258580	OTHER	0.000719	0.999281	
antigen_74|Q48V70|Protease|NZ_CP035427.1|tpos:103870-104167	OTHER	0.018191	0.981809	
antigen_143|Q5XEK9|DNA|NZ_CP035427.1|tpos:10439-10689	OTHER	0.000356	0.999644	
antigen_183|A2RCY1|Serine--tRNA|NZ_CP035427.1|tpos:147920-148156	OTHER	0.003272	0.996728	
antigen_170|B5XL39|Adenine|NZ_CP035427.1|tpos:258409-258580	OTHER	0.000719	0.999281	
antigen_171|Q1JHF5|Ferredoxin--NADP|NZ_CP035427.1|tpos:266322-266624	OTHER	0.000603	0.999397	
antigen_173|Q48UD0|UDP-N-acetylglucosamine|NZ_CP035427.1|tpos:209097-209519	OTHER	0.001074	0.998926	
antigen_104|A2RFS6|HPr|NZ_CP035427.1|tpos:164936-165245	OTHER	0.001719	0.998281	
antigen_148|Q1JKN7|S-ribosylhomocysteine|NZ_CP035427.1|tpos:425753-425912	OTHER	0.000356	0.999644	
antigen_175|Q48VD6|Putative|NZ_CP035427.1|tpos:80874-81107	OTHER	0.000999	0.999001	
antigen_112|Q5XDX3|Small|NZ_CP035427.1|tpos:84295-84584	OTHER	0.004184	0.995816	
antigen_33|P65522|Putative|NZ_CP035427.1|tpos:80874-81107	OTHER	0.000999	0.999001	
antigen_93|Q1JLY8|Elongation|NZ_CP035427.1|tpos:272122-272731	OTHER	0.000209	0.999791	
antigen_64|P0DD15|Probable|NZ_CP035427.1|tpos:114795-115105	OTHER	0.001057	0.998943	
antigen_65|A2RD01|Translation|NZ_CP035427.1|tpos:272119-272362	OTHER	0.000237	0.999763	
antigen_2|Q1J6Q6|Spermidine/putrescine|NZ_CP035427.1|tpos:55083-55318	OTHER	0.000620	0.999380	
antigen_16|Q48RU8|Translation|NZ_CP035427.1|tpos:272119-272362	OTHER	0.000237	0.999763	
antigen_50|Q48TU0|Elongation|NZ_CP035427.1|tpos:272122-272731	OTHER	0.000209	0.999791	
antigen_85|Q8P003|Methionyl-tRNA|NZ_CP035427.1|tpos:13441-13508	OTHER	0.003781	0.996219	
antigen_132|P66852|Single-stranded|NZ_CP035427.1|tpos:35569-35676	OTHER	0.002422	0.997578	
