query_accession,uniparc_upi,Uniprot_ID,organism
WP_000011823.1,UPI00000D9DCA,X5EHQ5,Staphylococcus aureus
WP_000011825.1,UPI00020F2A66,A0AAE8PAT4,Staphylococcus aureus
WP_000011826.1,UPI00000CAAC8,A0A0D1GC10,Staphylococcus aureus
WP_000011827.1,UPI00003B1641,A0AAJ4YZ26,Staphylococcus aureus
WP_000032836.1,UPI00000D7857,W8TMQ6,Staphylococcus aureus
WP_000034846.1,UPI00000C7F8A,A0A390PKN6,Staphylococcus aureus
WP_000034961.1,UPI00000522B0,W8UTZ7,Staphylococcus aureus
WP_000034964.1,UPI00020F17E7,A0AAE8PBB7,Staphylococcus aureus
WP_000034978.1,UPI00003B135E,A0A166NTM9,Staphylococcus aureus
WP_000036329.1,UPI00000D9BA6,A0A0D1IZ30,Staphylococcus aureus
WP_000036330.1,UPI00000CAAC2,A0A3A1VUR5,Staphylococcus aureus
WP_000036335.1,UPI00020F3290,A0AAE8PD46,Staphylococcus aureus
WP_000037433.1,UPI00000D9FD8,A0A641A618,Staphylococcus aureus
WP_000037434.1,UPI00020F2C52,A0AAE3D6P3,Staphylococcus aureus
WP_000037500.1,UPI00003B1964,A0A166MWQ0,Staphylococcus aureus
WP_000038220.1,UPI00003B1965,A0A166E754,Staphylococcus aureus
WP_000038527.1,UPI00000CAA41,A0A389V673,Staphylococcus aureus
WP_000038530.1,UPI00003B1392,A0A131JTH8,Staphylococcus aureus
WP_000038538.1,UPI0002598D5A,A0AAX2K0P1,Staphylococcus aureus
WP_000038541.1,UPI00000D9C14,A0A641AAA6,Staphylococcus aureus
WP_000041897.1,UPI00000CAD32,A0A391DPH1,Staphylococcus aureus
WP_000041898.1,UPI00000D9D89,A0A641AC27,Staphylococcus aureus
WP_000079140.1,UPI00003B1929,A0A0D1IH94,Staphylococcus aureus
WP_000089284.1,UPI00003B1A0E,A0A131HYC7,Staphylococcus aureus
WP_000110600.1,UPI00000D7758,A0A2W3XW02,Staphylococcus aureus
WP_000110603.1,UPI00000542B4,X5DST2,Staphylococcus aureus
WP_000111116.1,UPI00003B1992,A0A162H7Z8,Staphylococcus aureus
WP_000111117.1,UPI00000CAA48,A0A3A3AKD2,Staphylococcus aureus
WP_000111118.1,UPI00000DA004,X5DWZ3,Staphylococcus aureus
WP_000120296.1,UPI00000CA996,A0A9P2Z0D5,Staphylococcus aureus
WP_000120317.1,UPI00020F255F,A0AAE3D4M0,Staphylococcus aureus
WP_000120330.1,UPI00003B182B,A0AAJ5CTZ3,Staphylococcus aureus
WP_000141557.1,UPI00000CAB70,A0A3A2ZYW2,Staphylococcus aureus
WP_000160848.1,UPI00000AED64,P0C1S5,Staphylococcus aureus
