antigen_name,refseq,Uniprot_ID,position,percent_identity_to_SSL3
SSL3,YP_498973,Q2G0X7,127-326,100
SSL4,YP_498975,Q2G1S8,79-278,76
SSL1,YP_498971,Q2G0X9,1-196,40
SSL2,YP_498972,Q2G0X8,1-201,44
SSL5,YP_498976,Q2G1S6,1-204,39
SSL6,YP_498978,Q2G1S5,1-201,44
SSL7,YP_498979,Q2G2Y0,1-201,37
SSL8,YP_498980,Q2G2X9,1-202,40
SSL9,YP_498981,Q2G2X8,1-202,39
SSL10,YP_498982,Q2G2X7,1-197,31
SSL11,YP_498986,Q2G0X4,1-195,46
SSL12,YP_499668,Q2FZB3,1-205,25
SSL13,YP_499669,Q2FZB2,1-210,23
SSL14,YP_499670,Q2FZB1,1-209,23
