Subject,ML Score,MERCI Score,BLAST Score,Hybrid Score,Prediction
antigen_146|Q1JKN7|S-ribosylhomocysteine|WP_021299075.1|tpos:1-160,0.117,0.5,0.0,0.617,Allergen
antigen_103|Q9A1D5|Protease|WP_002985953.1|tpos:1-298,0.031,0.5,-0.5,0.031,Non-Allergen
antigen_104|Q9A206|Peptidyl-tRNA|WP_011017221.1|tpos:1-189,0.325,0.0,-0.5,-0.175,Non-Allergen
antigen_105|P0DC93|2-dehydropantoate|WP_011528500.1|tpos:1-307,0.206,0.0,-0.5,-0.294,Non-Allergen
antigen_147|P66021|Peptide|WP_002989155.1|tpos:1-514,0.337,0.0,-0.5,-0.163,Non-Allergen
antigen_57|P0DC65|NH(3)-dependent|WP_021299057.1|tpos:1-274,0.302,0.0,-0.5,-0.198,Non-Allergen
antigen_58|Q5XA26|tRNA|WP_011285149.1|tpos:1-342,0.068,0.0,-0.5,-0.432,Non-Allergen
antigen_59|A2RGF2|Tagatose-6-phosphate|WP_011529002.1|tpos:1-309,0.372,0.0,0.0,0.372,Allergen
antigen_187|Q48VY9|Bifunctional|WP_011017232.1|tpos:1-515,0.302,0.0,0.0,0.302,Allergen
antigen_188|P0DD86|DNA|WP_002986719.1|tpos:1-251,0.1,0.0,-0.5,-0.4,Non-Allergen
antigen_110|Q5XDX3|Small|WP_002991154.1|tpos:1-290,0.04,0.0,-0.5,-0.46,Non-Allergen
antigen_111|Q1JIB1|Protein|WP_011528310.1|tpos:1-139,0.319,0.0,0.0,0.319,Allergen
antigen_112|B5XJ51|Large|WP_002986629.1|tpos:1-178,0.286,0.0,0.0,0.286,Non-Allergen
antigen_166|P0DF10|Probable|WP_002992788.1|tpos:1-359,0.088,0.0,-0.5,-0.412,Non-Allergen
antigen_167|B5XL39|Adenine|WP_002990109.1|tpos:1-172,0.188,0.0,-0.5,-0.312,Non-Allergen
antigen_108|Q1J8D8|Ribosomal|WP_011528267.1|tpos:1-237,0.206,0.0,-0.5,-0.294,Non-Allergen
antigen_109|Q1JBD1|UvrABC|WP_011528712.1|tpos:1-663,0.066,0.0,0.0,0.066,Non-Allergen
antigen_65|Q1JFK8|Ribosomal|WP_042769754.1|tpos:1-316,0.181,0.0,-0.5,-0.319,Non-Allergen
antigen_66|B5XMF0|Shikimate|WP_002983735.1|tpos:1-292,0.097,0.0,-0.5,-0.403,Non-Allergen
antigen_67|Q8NZG7|tRNA|WP_011285149.1|tpos:1-342,0.068,0.0,-0.5,-0.432,Non-Allergen
antigen_8|A2RDN0|Exodeoxyribonuclease|WP_002992349.1|tpos:1-446,0.033,0.0,-0.5,-0.467,Non-Allergen
antigen_9|P0DF45|Ribosomal|WP_011528267.1|tpos:1-237,0.206,0.0,-0.5,-0.294,Non-Allergen
antigen_5|Q5XD71|HPr|WP_002990580.1|tpos:1-310,0.038,0.0,0.0,0.038,Non-Allergen
antigen_14|P0DB44|Cell|WP_002983626.1|tpos:1-108,0.209,0.0,0.0,0.209,Non-Allergen
antigen_15|Q1J8Y8|Small|WP_001118387.1|tpos:1-127,0.185,0.0,0.0,0.185,Non-Allergen
antigen_16|Q48RU8|Translation|WP_011528896.1|tpos:1-953,0.137,0.5,-0.5,0.137,Non-Allergen
antigen_36|P0DG70|UTP--glucose-1-phosphate|WP_002986125.1|tpos:1-298,0.275,0.0,0.0,0.275,Non-Allergen
antigen_37|P0CZ51|Holo-[acyl-carrier-protein]|WP_002983199.1|tpos:1-118,0.169,0.0,-0.5,-0.331,Non-Allergen
antigen_38|A2RD12|Galactose-6-phosphate|WP_002983517.1|tpos:1-171,0.645,0.5,-0.5,0.645,Allergen
antigen_39|Q5XDM4|ATP-dependent|WP_002985850.1|tpos:1-196,0.157,0.0,-0.5,-0.343,Non-Allergen
antigen_78|Q1JE33|DNA-directed|WP_002986607.1|tpos:1-312,0.126,0.0,-0.5,-0.374,Non-Allergen
antigen_79|P0DG47|Lysine--tRNA|WP_002990562.1|tpos:1-497,0.129,0.5,-0.5,0.129,Non-Allergen
antigen_80|A2RFZ5|Pyrrolidone-carboxylate|WP_011017474.1|tpos:1-215,0.239,0.0,0.0,0.239,Non-Allergen
antigen_81|P0DA37|ATP-dependent|WP_002984948.1|tpos:1-409,0.146,0.0,-0.5,-0.354,Non-Allergen
antigen_92|Q1JID3|UPF0298|WP_002990928.1|tpos:1-91,0.133,0.0,0.0,0.133,Non-Allergen
antigen_177|P0CZ71|Arginine|WP_002982171.1|tpos:1-145,0.091,0.0,-0.5,-0.409,Non-Allergen
antigen_178|P65245|Ribose-phosphate|WP_002986722.1|tpos:1-320,0.043,0.0,-0.5,-0.457,Non-Allergen
antigen_179|P0CZ88|Glutamate|WP_002985906.1|tpos:1-264,0.107,0.0,-0.5,-0.393,Non-Allergen
antigen_54|B5XHV2|Ribosome-binding|WP_012560889.1|tpos:1-116,0.136,0.0,-0.5,-0.364,Non-Allergen
antigen_55|Q5XA61|Small|WP_002983117.1|tpos:1-96,0.088,0.0,-0.5,-0.412,Non-Allergen
antigen_180|A2RCY1|Serine--tRNA|WP_011528900.1|tpos:1-425,0.028,0.0,-0.5,-0.472,Non-Allergen
antigen_181|Q5XCC0|UvrABC|WP_002984829.1|tpos:1-598,0.097,0.5,-0.5,0.097,Non-Allergen
antigen_138|Q1J592|Acetyl-coenzyme|WP_011528901.1|tpos:1-288,0.138,0.0,-0.5,-0.362,Non-Allergen
antigen_139|Q1J736|Phosphopentomutase|WP_011528519.1|tpos:1-403,0.256,0.0,-0.5,-0.244,Non-Allergen
antigen_88|Q48SL4|Cell|WP_021299320.1|tpos:1-218,0.1,0.5,-0.5,0.1,Non-Allergen
antigen_89|Q5XCS5|Large|WP_002985110.1|tpos:4-97,0.219,0.0,0.0,0.219,Non-Allergen
antigen_90|P0DD83|Protein|WP_002992179.1|tpos:1-378,0.21,0.5,-0.5,0.21,Non-Allergen
antigen_62|Q1JA49|Holo-[acyl-carrier-protein]|WP_002983199.1|tpos:1-118,0.169,0.0,-0.5,-0.331,Non-Allergen
antigen_63|P0DD15|Probable|WP_002990948.1|tpos:1-311,0.289,0.0,-0.5,-0.211,Non-Allergen
antigen_64|A2RD01|Translation|WP_011528896.1|tpos:1-953,0.137,0.5,-0.5,0.137,Non-Allergen
antigen_18|Q1J8A8|Segregation|WP_002985894.1|tpos:1-183,0.052,0.0,-0.5,-0.448,Non-Allergen
antigen_1|Q8P109|Ribonuclease|WP_011017771.1|tpos:1-263,0.227,0.5,-0.5,0.227,Non-Allergen
antigen_0|P69882|Adenylate|WP_011054106.1|tpos:1-212,0.14,0.0,-0.5,-0.36,Non-Allergen
antigen_82|Q48SZ3|D-alanine--D-alanyl|WP_011528711.1|tpos:1-512,0.138,0.0,-0.5,-0.362,Non-Allergen
antigen_120|Q5X9I4|UPF0473|WP_002982199.1|tpos:1-101,0.271,0.0,-0.5,-0.229,Non-Allergen
antigen_121|Q1JGR7|Probable|WP_011054506.1|tpos:1-294,0.149,0.0,0.0,0.149,Non-Allergen
antigen_122|Q8P0H4|Uncharacterized|WP_021299180.1|tpos:1-450,0.194,0.0,-0.5,-0.306,Non-Allergen
antigen_85|P0DB23|Glycerol-3-phosphate|WP_002986123.1|tpos:1-338,0.131,0.5,-0.5,0.131,Non-Allergen
antigen_86|Q5X9I0|Protein|WP_002992179.1|tpos:1-378,0.21,0.5,-0.5,0.21,Non-Allergen
antigen_87|Q8NZ20|Aspartate--tRNA|WP_021299104.1|tpos:1-582,0.021,0.0,-0.5,-0.479,Non-Allergen
antigen_151|P0DB58|dITP/XTP|WP_011284524.1|tpos:1-328,0.215,0.5,-0.5,0.215,Non-Allergen
antigen_152|A2RGJ5|D-aminoacyl-tRNA|WP_010922691.1|tpos:1-147,0.266,0.0,0.0,0.266,Non-Allergen
antigen_153|Q48RY7|Gamma-glutamyl|WP_021299082.1|tpos:1-416,0.053,0.5,0.0,0.553,Allergen
antigen_113|P60452|Large|WP_002986659.1|tpos:1-208,0.243,0.0,0.5,0.743,Allergen
antigen_114|P0DC28|Protein-ADP-ribose|WP_011528672.1|tpos:1-270,0.057,0.0,0.0,0.057,Non-Allergen
antigen_144|P0DE27|Large|WP_002986636.1|tpos:1-101,0.399,0.5,-0.5,0.399,Allergen
antigen_145|Q48U40|CCA-adding|WP_011528507.1|tpos:1-402,0.029,0.5,-0.5,0.029,Non-Allergen
antigen_156|Q5XDS5|Serine/threonine|WP_002985964.1|tpos:1-404,0.04,0.0,-0.5,-0.46,Non-Allergen
antigen_157|P67575|Asparagine--tRNA|WP_011528431.1|tpos:1-448,0.241,0.0,-0.5,-0.259,Non-Allergen
antigen_123|A2RCV8|Aspartyl/glutamyl-tRNA(Asn/Gln)|WP_011528910.1|tpos:1-479,0.133,0.0,-0.5,-0.367,Non-Allergen
antigen_124|Q1JK54|Xaa-Pro|WP_011528953.1|tpos:1-760,0.047,0.5,0.0,0.547,Allergen
antigen_117|Q99Y13|Galactose-6-phosphate|WP_011529003.1|tpos:1-171,0.563,0.0,-0.5,0.063,Non-Allergen
antigen_93|P0DC38|Peptide|WP_002985759.1|tpos:1-169,0.345,0.0,-0.5,-0.155,Non-Allergen
antigen_94|Q5XCB7|tRNA|WP_011528598.1|tpos:1-458,0.12,0.0,-0.5,-0.38,Non-Allergen
antigen_161|Q1J4K0|Ribosomal|WP_021299281.1|tpos:1-317,0.247,0.0,-0.5,-0.253,Non-Allergen
antigen_162|Q8P0G7|UDP-N-acetylglucosamine|WP_011528739.1|tpos:1-419,0.097,0.0,-0.5,-0.403,Non-Allergen
antigen_61|P0C0I6|Exotoxin|WP_011529047.1|tpos:112-231,0.18,0.0,0.5,0.68,Allergen
antigen_4|Q1J492|Holliday|WP_002992186.1|tpos:1-198,0.361,0.0,-0.5,-0.139,Non-Allergen
antigen_10|Q48S05|Holliday|WP_002983622.1|tpos:1-202,0.213,0.0,-0.5,-0.287,Non-Allergen
antigen_11|P0DG21|tRNA|WP_002990222.1|tpos:1-239,0.092,0.0,-0.5,-0.408,Non-Allergen
antigen_24|Q7CMS1|Galactose-6-phosphate|WP_011529004.1|tpos:1-142,0.275,0.0,-0.5,-0.225,Non-Allergen
antigen_25|B5XMM1|Probable|WP_002983569.1|tpos:1-214,0.347,0.5,0.5,1.347,Allergen
antigen_191|Q8P1D1|Thymidylate|WP_011017679.1|tpos:1-279,0.109,0.0,-0.5,-0.391,Non-Allergen
antigen_192|P0DE64|Small|WP_001118387.1|tpos:1-127,0.185,0.0,0.0,0.185,Non-Allergen
antigen_193|Q1JN21|GTPase|WP_003047080.1|tpos:1-298,0.114,0.5,-0.5,0.114,Non-Allergen
antigen_106|Q5XCB9|Putative|WP_011528596.1|tpos:1-200,0.153,0.5,-0.5,0.153,Non-Allergen
antigen_107|Q1JP12|Large|WP_002986651.1|tpos:1-114,0.145,0.0,-0.5,-0.355,Non-Allergen
antigen_3|Q1J6I6|Probable|WP_011054506.1|tpos:1-294,0.149,0.0,0.0,0.149,Non-Allergen
antigen_46|Q48V07|Protein|WP_011528310.1|tpos:1-139,0.319,0.0,0.0,0.319,Allergen
antigen_47|B5XK66|Peptide|WP_002985759.1|tpos:1-169,0.345,0.0,-0.5,-0.155,Non-Allergen
antigen_70|B5XM46|S-adenosylmethionine:tRNA|WP_011528763.1|tpos:1-342,0.272,0.0,-0.5,-0.228,Non-Allergen
antigen_19|B5XKU0|Large|WP_002985149.1|tpos:1-119,0.133,0.0,0.0,0.133,Non-Allergen
antigen_20|Q1JDW9|V-type|WP_002986419.1|tpos:1-471,0.039,0.5,-0.5,0.039,Non-Allergen
antigen_21|Q9A0I1|Phenylalanine--tRNA|WP_011528461.1|tpos:1-347,0.149,0.0,-0.5,-0.351,Non-Allergen
antigen_30|Q1JJZ6|Galactose-6-phosphate|WP_011529003.1|tpos:1-171,0.563,0.0,-0.5,0.063,Non-Allergen
antigen_31|P0DC23|Elongation|WP_010922253.1|tpos:1-610,0.169,0.0,-0.5,-0.331,Non-Allergen
antigen_184|P0DE91|Small|WP_000529929.1|tpos:1-217,0.115,0.0,-0.5,-0.385,Non-Allergen
antigen_91|Q1JLY8|Elongation|WP_010922253.1|tpos:1-610,0.169,0.0,-0.5,-0.331,Non-Allergen
antigen_154|Q5XD18|Putative|WP_011017561.1|tpos:1-325,0.079,0.0,0.0,0.079,Non-Allergen
antigen_155|Q5X9K2|Formimidoylglutamase|WP_002982269.1|tpos:1-328,0.262,0.0,-0.5,-0.238,Non-Allergen
antigen_75|Q1J7A2|Large|WP_002985116.1|tpos:1-104,0.39,0.0,-0.5,-0.11,Non-Allergen
antigen_76|Q1JHP3|DNA|WP_011528457.1|tpos:1-652,0.077,0.0,-0.5,-0.423,Non-Allergen
antigen_12|Q1JFM4|UPF0398|WP_011285056.1|tpos:1-171,0.158,0.5,0.0,0.658,Allergen
antigen_13|B5XKP9|ATP|WP_002985238.1|tpos:1-502,0.067,0.5,-0.5,0.067,Non-Allergen
antigen_129|A2RCI0|Small|WP_002986049.1|tpos:1-137,0.166,0.0,-0.5,-0.334,Non-Allergen
antigen_130|P66852|Single-stranded|WP_002983122.1|tpos:1-163,0.233,0.0,-0.5,-0.267,Non-Allergen
antigen_131|Q1JDK8|Small|WP_002986049.1|tpos:1-125,0.14,0.0,-0.5,-0.36,Non-Allergen
antigen_168|Q1JHF5|Ferredoxin--NADP|WP_011528499.1|tpos:1-330,0.338,0.5,-0.5,0.338,Allergen
antigen_169|A2RF47|Ferredoxin--NADP|WP_011528499.1|tpos:1-330,0.338,0.5,-0.5,0.338,Allergen
antigen_148|Q1J7G2|ATP|WP_011528459.1|tpos:1-178,0.067,0.0,-0.5,-0.433,Non-Allergen
antigen_149|P0DA05|ATP|WP_011017611.1|tpos:1-468,0.083,0.5,-0.5,0.083,Non-Allergen
antigen_150|Q99Y58|Xaa-Pro|WP_011528953.1|tpos:1-760,0.047,0.5,0.0,0.547,Allergen
antigen_140|Q1J6G8|UPF0122|WP_002989745.1|tpos:1-110,0.228,0.0,-0.5,-0.272,Non-Allergen
antigen_141|Q5XEK9|DNA|WP_002986719.1|tpos:1-251,0.1,0.0,-0.5,-0.4,Non-Allergen
antigen_142|Q1JD58|Ribosome-recycling|WP_002985763.1|tpos:1-185,0.161,0.0,-0.5,-0.339,Non-Allergen
antigen_143|P0DG78|Putative|WP_011017561.1|tpos:1-325,0.079,0.0,0.0,0.079,Non-Allergen
antigen_174|Q5XCK7|Orotate|WP_002984920.1|tpos:1-209,0.264,0.5,-0.5,0.264,Non-Allergen
antigen_175|P0DB81|Isopentenyl-diphosphate|WP_010922169.1|tpos:1-329,0.162,0.0,0.0,0.162,Non-Allergen
antigen_176|P0DG49|Methionine--tRNA|WP_011528307.1|tpos:2-666,0.115,0.5,-0.5,0.115,Non-Allergen
antigen_158|Q8NZY8|NH(3)-dependent|WP_021299057.1|tpos:1-274,0.302,0.0,-0.5,-0.198,Non-Allergen
antigen_102|A2RFS6|HPr|WP_002990580.1|tpos:1-310,0.038,0.0,0.0,0.038,Non-Allergen
antigen_172|Q48VD6|Putative|WP_011528225.1|tpos:1-234,0.194,0.0,0.0,0.194,Non-Allergen
antigen_173|P0C0H6|Inosine-5'-monophosphate|WP_011529148.1|tpos:1-493,0.13,0.5,-0.5,0.13,Non-Allergen
