source_organism,host_organisms,antigen_name,gene_name,Uniprot_ID,source
"['Staphylococcus aureus', 'Staphylococcus aureus Cowan 1']","['Homo sapiens (human)', 'Oryctolagus cuniculus (rabbit)']",['Other Staphylococcus aureus protein'],,,IEDB
['Staphylococcus phage PVL (Staphylococcus aureus bacteriophage PVL)'],"['Homo sapiens (human)', 'Mus musculus BALB/c']",['LukS-PV (UniProt:O80066)'],,O80066,IEDB
"['Staphylococcus aureus', 'Staphylococcus aureus subsp. aureus COL', 'Staphylococcus aureus subsp. aureus NCTC 8325 (Staphylococcus aureus subsp. aureus str. NCTC 8325)', 'Staphylococcus aureus subsp. aureus str. Newman (Staphylococcus aureus subsp. aureus strain Newman)']","['Homo sapiens (human)', 'Mus musculus BALB/c', 'Mus musculus (mouse)', 'Oryctolagus cuniculus New Zealand White']",['Fibronectin-binding protein A (UniProt:P14738)'],,P14738,IEDB
['Staphylococcus aureus subsp. aureus COL'],['Homo sapiens (human)'],['Neutral metalloproteinase (UniProt:Q2FUX4)'],,Q2FUX4,IEDB
['Staphylococcus aureus subsp. aureus COL'],['Homo sapiens (human)'],['Clumping factor B (UniProt:Q2FUY2)'],,Q2FUY2,IEDB
['Staphylococcus aureus'],['Homo sapiens (human)'],['SSD domain-containing protein (UniProt:Q2FV70)'],,Q2FV70,IEDB
['Staphylococcus aureus'],['Homo sapiens (human)'],['Ferrous iron transport protein B (UniProt:Q2FV72)'],,Q2FV72,IEDB
['Staphylococcus aureus subsp. aureus N315'],['Homo sapiens (human)'],"['Membrane protein, putative (UniProt:Q2FVH8)']",,Q2FVH8,IEDB
['Staphylococcus aureus subsp. aureus COL'],['Homo sapiens (human)'],['Bcr/CflA family efflux transporter (UniProt:Q2FVI5)'],,Q2FVI5,IEDB
"['Staphylococcus aureus', 'Staphylococcus aureus subsp. aureus USA300_FPR3757', 'Staphylococcus aureus subsp. aureus USA300_TCH1516 (Staphylococcus aureus subsp. aureus str. USA300_TCH1516)']","['Homo sapiens (human)', 'Mus musculus BALB/c', 'Mus musculus C57BL/6', 'Mus musculus (mouse)', 'Mus musculus ND4 Swiss Webster']",['Gamma-hemolysin component C (UniProt:Q2FVK2)'],,Q2FVK2,IEDB
