,ACC,Localization,Cell wall & surface,Extracellular,Cytoplasmic,Cytoplasmic Membrane,Outer Membrane,Periplasmic
0,antigen_6|O25571|Outer|WRF37967.1|tpos:1-531,Outer Membrane,0.0002,0.1391,0.0000,0.0514,0.8039,0.0054
1,antigen_7|O25578|Uncharacterized|WRF37972.1|tpos:1-229,Cytoplasmic Membrane,0.0002,0.0653,0.0001,0.8427,0.0916,0.0000
2,antigen_13|P56130|Putative|WRF38790.1|tpos:1-418,Cytoplasmic,0.0000,0.0002,0.8728,0.0003,0.1263,0.0004
3,antigen_14|A0A1Q9J9W6|Outer|WRF39081.1|tpos:1-304,Outer Membrane,0.0000,0.0107,0.0001,0.2507,0.7384,0.0002
4,antigen_19|A0A060CUG4|Cag|WRF38650.1|tpos:38-408,Extracellular,0.0001,0.9232,0.0001,0.0011,0.0748,0.0006
5,antigen_5|O25537|Lipid-A-disaccharide|WRF38952.1|tpos:1-360,Cytoplasmic,0.0001,0.0017,0.7827,0.1078,0.1068,0.0009
6,antigen_8|O25606|Conserved|WRF38003.1|tpos:1-218,Cytoplasmic,0.0000,0.0005,0.8870,0.0003,0.1120,0.0001
7,antigen_10|O25658|7-alpha-hydroxysteroid|WRF38914.1|tpos:1-262,Cytoplasmic,0.0012,0.0047,0.4607,0.1404,0.3789,0.0140
8,antigen_11|O25794|tRNA(Ile)-lysidine/2-thiocytidine|WRF38163.1|tpos:1-253,Cytoplasmic,0.0010,0.0015,0.8113,0.0352,0.1380,0.0131
9,antigen_20|P43313|DNA|WRF38753.1|tpos:1-144,Cytoplasmic,0.0002,0.0031,0.8357,0.0002,0.1531,0.0077
10,antigen_21|A0A060PT92|LPP20|WRF38373.1|tpos:1-175,Outer Membrane,0.0000,0.0000,0.0000,0.0016,0.9981,0.0003
11,antigen_16|A0A060PRJ6|Outer|WRF38158.1|tpos:1-387,Extracellular,0.0002,0.9273,0.0000,0.0001,0.0654,0.0069
12,antigen_17|A0A238GT21|Outer|WRF38513.1|tpos:1-365,Extracellular,0.0009,0.9783,0.0001,0.0020,0.0132,0.0054
13,antigen_0|O25204|Competence|WRF38520.1|tpos:1-87,Cytoplasmic Membrane,0.0001,0.0011,0.0009,0.9871,0.0108,0.0001
14,antigen_15|A0A219MBY0|DupA|WRF38521.1|tpos:177-787,Outer Membrane,0.0001,0.1256,0.3194,0.0177,0.5363,0.0009
15,antigen_18|A0A238GVV7|KatA|WRF38945.1|tpos:1-291,Outer Membrane,0.0002,0.0926,0.0019,0.0181,0.5332,0.3540
16,antigen_23|Q70NT5|Heat|WRF38514.1|tpos:94-273,Cytoplasmic,0.0012,0.0039,0.9358,0.0120,0.0463,0.0008
17,antigen_24|J0IQC3|Outer|WRF38513.1|tpos:1-664,Extracellular,0.0138,0.7528,0.0004,0.0182,0.2083,0.0065
18,antigen_25|P0A0R3|Co-chaperonin|WRF38515.1|tpos:1-118,Outer Membrane,0.0000,0.0001,0.4926,0.0000,0.5061,0.0011
19,antigen_12|P56105|DNA|WRF38386.1|tpos:1-893,Cytoplasmic,0.0000,0.0003,0.9821,0.0001,0.0175,0.0000
20,antigen_2|O25249|Plasminogen-binding|WRF37925.1|tpos:1-434,Outer Membrane,0.0050,0.0112,0.0195,0.2591,0.6820,0.0232
21,antigen_3|O25522|Conserved|WRF38846.1|tpos:22-219,Cytoplasmic Membrane,0.0002,0.0068,0.0098,0.9650,0.0180,0.0001
22,antigen_1|O25233|Potassium|WRF37940.1|tpos:1-378,Cytoplasmic Membrane,0.0000,0.0000,0.0002,0.9985,0.0013,0.0000
23,antigen_4|O25532|Urease|WRF38958.1|tpos:1-242,Cytoplasmic Membrane,0.0000,0.0001,0.0000,0.9920,0.0076,0.0003
24,antigen_26|Q6DT22|Adhesin|WRF37954.1|tpos:152-404,Extracellular,0.0002,0.9525,0.0000,0.0003,0.0079,0.0392
25,antigen_27|Q9AI97|BabB|WRF38215.1|tpos:151-321,Extracellular,0.0001,0.9883,0.0000,0.0000,0.0088,0.0027
26,antigen_28|Q7X2K0|SabA|WRF38158.1|tpos:4-61,Extracellular,0.0005,0.5558,0.0003,0.0012,0.4198,0.0223
27,antigen_29|Q75X90|Cag|WRF37912.1|tpos:1-330,Cytoplasmic,0.0000,0.0008,0.5579,0.1323,0.3090,0.0000
28,antigen_30|Q9ZHT1|Vacuolating|WRF37947.1|tpos:1-1291,Extracellular,0.0002,0.6698,0.0000,0.0012,0.3285,0.0003
29,antigen_22|G1UIZ3|Neutrophil-activating|WRF38753.1|tpos:1-144,Cytoplasmic,0.0002,0.0031,0.8357,0.0002,0.1531,0.0077
